Commodity,Unit,2014-15,,2015-16,,2016-17,,2017-18,
"22041000-Sparkling
wine",Liter,110538,40120,76463,18497,104682,26339,127941,29696
"22042100-Wine
other grape must
cont <=2 liter",Liter,55006,15874,74558,20158,84789,22228,47663,18589
"22051000-
Vermouth/other wine
cont <=2 liter",Liter,-,-,96,82,-,-,219,80
"22060000-
Fermented beverage,
other not cider",Liter,21637,6608,4934,1855,2982,655,5483,1908
"2208200 Ethyl
alchol/other spirit
denatured",Liter,-,-,1586,654,9280,10597,25730,13154
22083000-Whiskies,Liter,670639,360071,724676,346268,784150,338331,920211,337483
"22084000-Rum and
Tafia",Liter,8254,3066,8222,2931,3616,2377,19028,16166
"22071000-
Undenatured ethyl
alcohol other",Liter,319368,50829,297746,63974,303346,58233,303838,60526
"22090000
Vinegar/substi from",Liter,88213,6370,140559,7810,234698,14632,266010,24889
"23040000-Soyabean
oil-cake",Kg,155935,7441173,410145994,14982109,539381607,17597749,61368375,24450797
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"23091000-Preparations
use in animal feed nec",Kg,104358,10911,127622,14376,216390,26632,298678,31226
"24011000-Tobacco
N/stem/strip flucure
virginia",Kg,90200,14434,60056,9641,38637,15980,60629,10116
"24012000-Tobacco
whole/part",Kg,1814855,717944,131579,534155,1372199,643242,1435883,833266
stem/strip virg,,,,,,,,,
"31021000-Urea
Aqueous solution or not",Kg,1436177716,41082022,1386140022,30911887,905607914,19338684,1113967245,26894036
,Kg,,,,,,,,
"31022100-Ammonium
sulphate",Kg,13239042,232894,12307574,190517,11525317,179965,21660374,365269
,Kg,,,,,,,,
"3103-Super phosphate
fertilizer",Kg,677666219,24777246,572934236,20180259,554077380,13954058,77009*7440,20545530
,Kg,,,,,,,,
"31039000-
Mineral/chemical
fertilizer nec",Kg,-,-,-,-,3,2,29,49
,Kg,,,,,,,,
"31042000-Potassium
chloride",Kg,625837805,16872942,715512216,18332802,826341096,15855064,832766455,17150228
,Kg,,,,,,,,
"310430000-Potassiam
sulphate",Kg,8728010,500978,8187316,411493,10230142,420924,10641386,461781
"38085000-Malathion,",Kg,-,-,-,-,-,-,12,124
"38089110-Insecticides,
nec",Kg,11481214,5145709,11415101,5828273,12310965,6243057,14132799,8746413
"38092010-Fungicides
for agricultural purpose",Kg,23547402,4459253,24777105,5550495,30065559,6675939,35545839,2846363
3808401-Disinfectants,Kg,-,-,-,-,-,-,,
"40011000-Nturl rubber
latex vulcan or not",Kg,1459964,222948,672959,96314,575571,95365,607698,103666
"40012110 Smoked
sheet of natural rubber",Kg,20160,2869,4325324,517621,103920,16052,5389160,743849
"40013000-Balata Gutta-
percha guavule chicle",Kg,-,-,36534,4328,41796,7595,524,223
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"440320000-Wood in
the rough, other","Cu-
Mtr",937738,347694,8681512,261156,20555967,725554,14103770,442963
"45031000-Corks and
stoppers, natural",Kg,0,3,172,271,2716,668,28165,7540
"47020000-Wood pulp
chemical dissolving
grade",Kg,-,-,-,-,-,-,8,10
"47032100 Wood pulp
chem semiblch/blch
coni",Kg,13598675,791914,25482814,1261838,30441587,1482781,35368930,2230008
"47032900 Wood pulp
chem semiblch/blch
N/coni",Kg,160688052,3777327,232240439,16772999,308771357,12970991,282045667,10756992
"47041100 Wood pulp
chem sulphite blech
conifer",Kg,-,-,-,-,30441587,1482781,5,3
"47072900 Wood pulp
chem sulphite blch
N/conifer",Kg,-,-,-,-,308771357,12970991,1936728,132907
"5002-Raw silk (not
thrown)",Kg,47783,138785,15218,22409,40380,27808,49156,33340
5105-Wool top,Kg,891792,214443,269099,142126,315980,200846,1289362,246076
"5201 Cotton American
RG(rolled ginned)",M.ton,1252376,181967925,1388587489,178247179,1480627211,220551743,1653073383,270090055
"84081000 Agri
pistonengine
disel/semi-disel",No.,1338,1314604,16334,2135141,3006228,2146952,4964149,2821601
"84089090
Internal piston engine
comp igni other",No,199,236792,1106,93435,170292,193091,1955975,2169397
"84136000 Rotary
pumps",No.,11089033,3436707,13624786,3863120,20266264,5448645,17382338,4866906
"84248190
Appliance other
Agri/horticultural",No.,18459,77798,1181,35235,306672,109725,58812,14055
"84248110-Spraying
machine used in Agri",No.,17944,301811,14142,284340,2120292,307481,15000,3110
8432-Ploughs,No.,40199252,5870085,4425578,4251974,33973292,50232320,38247091,5833501
"84322100-Disc
harrows",No.,140,2557,69,1310,9160,1735,22860,3285
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"84329000
Parts, Agri horti
mchnry exel tractor",KG,4293765,254259,3433,126039,6815188,434290,6401324,409310
"84361000
Mchnry preparing
animal feed stuff",No.,39979,1991553,5739,2548604,5518797,2520784,11014609,4644517
"843621000
Poultry-keep mchnry
incubator broodr",No.,256,271530,286,164296,1113077,1015729,864603,720984
"84362900-Poultry
farming machinery",No.,889476,366392,257,143660,264913,107190,874483,309370
"84378010-Machry
other for the working
of rice",No.,126,27341,4885,141285,4743039,1110525,139685,30853
"84379010--Parts nec
of mchnry for rice
huller",Kg,2282537,174593,2958091,239838,2800138,263138,1907544,187792
"84379090-Parts nec
of grain milling
machnry",Kg,825238,137568,1023989,232943,710411,116188,850143,179757
"8701-Tractor
pedestrian control
Agri, wheel",No.,11885,4052023,507,5429989,16199,7289761,31264054,7897858
