Commodity,Unit,2015-16,,2016-17,,2017-18,,2018-19,
"2203000-Beer
made from malt",Liter,4791874,314000,4469634,237783,3156610,180013,3487336,202740
"22041000-
Sparkling wine",Liter,76463,18497,104682,26339,127941,29696,144018,30091
"22042100-Wine
other grape must
cont <=2 liter",Liter,74558,20158,84789,22228,47663,18589,73618,21792
"22051000-
Vermouth/other
wine cont <=2 liter",Liter,96,82,-,-,219,80,,
"22060000-
Fermented
beverage, other
not cider",Liter,4934,1855,2982,655,5483,1908,1780,265
"2208200 Ethyl
alchol/other spirit
denatured",Liter,1586,654,9280,10597,25730,13154,8832,7757
"22083000-
Whiskies",Liter,724676,346268,784150,338331,920211,337483,1039557,393283
"22084000-Rum
and Tafia",Liter,8222,2931,3616,2377,19028,16166,6222,1732
"22071000-
Undenatured ethyl
alcohol other",Liter,297746,63974,303346,58233,303838,60526,453355,82422
"22090000
Vinegar/substi
from",Liter,140559,7810,234698,14632,266010,24889,274240,27913
"23040000-
Soyabean oil-cake",Kg,410145994,14982109,539381607,17597749,61368375,24450797,412082198,16893117
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,3,4,5,6,7,8,9,10
"23091000-
Preparations use in
animal feed nec",Kg,127622,14376,216390,26632,298678,31226,322550,29327
"24011000-Tobacco
N/stem/strip flucure
virginia",Kg,60056,9641,38637,15980,60629,10116,210014,83259
"24012000-Tobacco
whole/part",Kg,131579,534155,1372199,643242,1435883,833266,1059890,612844
stem/strip virg,,,,,,,,,
"31021000-Urea
Aqueous solution or
not",Kg,1386140022,30911887,905607914,19338684,1113967245,26894036,1480427158,46561812
,Kg,,,,,,,,
"31022100-
Ammonium
sulphate",Kg,12307574,190517,11525317,179965,21660374,365269,23727399,436563
,Kg,,,,,,,,
"3103-Super
phosphate fertilizer",Kg,572934236,20180259,554077380,13954058,77009*7440,20545530,610050533,20785763
,Kg,,,,,,,,
"31039000-
Mineral/chemical
fertilizer nec",Kg,-,-,3,2,29,49,26500,440
,Kg,,,,,,,,
"31042000-
Potassium chloride",Kg,715512216,18332802,826341096,15855064,832766455,17150228,77039811,18749597
,Kg,,,,,,,,
"310430000-
Potassiam sulphate",Kg,8187316,411493,10230142,420924,10641386,461781,8551016,401572
"38085000-
Malathion,",Kg,-,-,-,-,12,124,,
"38089110-
Insecticides, nec",Kg,11415101,5828273,12310965,6243057,14132799,8746413,16070536,9761921
"38092010-
Fungicides for
agricultural purpose",Kg,24777105,5550495,30065559,6675939,35545839,2846363,,
"3808401-
Disinfectants",Kg,-,-,-,-,,,,
"40011000-Nturl
rubber latex vulcan
or not",Kg,672959,96314,575571,95365,607698,103666,760099,115072
"40012110 Smoked
sheet of natural
rubber",Kg,4325324,517621,103920,16052,5389160,743849,7086058,907467
"40013000-Balata
Gutta-percha
guavule chicle",Kg,36534,4328,41796,7595,524,223,57600,9415
