District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
40,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.00,0
4,"Khulna
Division",37138,15029,14.73,1.359,20417,43298,17522,9.65,0.890,15603
41,Jamalpur,1326,537,13.70,1.264,678,334,135,15.16,1.398,189
42,Mymensingh,72,29,12.75,1.176,34,0,0,0.00,0.00,0
43,Netrokona,367,149,17.50,1.614,240,356,144,16.74,1.544,222
44,Sherpur,238,96,13.87,1.279,123,341,138,14.17,1.307,180
5,"Mymensingh
Division",2003,811,14.38,1.327,1075,1031,417,15.38,1.418,592
45,Bogura,0,0,0.00,0.000,0,0,0,0.00,0.00,0
46,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.00,0
47,Naogaon,0,0,0.00,0.000,0,0,0,0.00,0.00,0
48,Natore,2100,850,13.56,1.251,1063,704,285,13.32,1.229,350
49,"Chapai
Nawabganj",19013,7694,15.37,1.418,10908,9138,3698,14.37,1.325,4901
50,Pabna,17572,7111,12.35,1.139,8101,17056,6902,11.41,1.052,7264
51,Rajshahi,2860,1157,15.46,1.426,1650,1249,505,14.93,1.377,696
52,Sirajganj,7087,2868,14.01,1.292,3706,5553,2247,14.29,1.318,2962
6,"Rajshahi
Division",48632,19680,14.01,1.292,25428,33700,13638,12.86,1.186,16173
53,Dinajpur,0,0,0.00,0.000,0,0,0,0,0,0
54,Gaibandha,0,0,0.00,0.000,0,120,49,18.62,1.718,83
55,Kurigram,1334,540,12.73,1.174,634,25,10,12.74,1.175,12
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0,0,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0,0,0
58,Panchagar,202,82,13.52,1.247,102,54,22,12.52,1.155,25
59,Rangpur,0,0,0.00,0.000,0,0,0,0,0,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0,0,0
7,"Rangpur
Divison",1536,622,12.83,1.184,736,199,80,16.23,1.497,120
61,Habiganj,1608,651,14.19,1.309,852,618,250,14.85,1.370,343
62,Moulvibazar,1722,697,13.47,1.242,866,500,202,15.62,1.441,292
63,Sunamganj,2016,816,15.16,1.398,1141,1291,523,17.97,1.658,866
64,Sylhet,8074,3267,13.44,1.240,4051,9509,3848,13.41,1.237,4759
8,"Sylhet
Division",13420,5431,13.79,1.272,6909,11918,4823,14.07,1.298,6260
Bangladesh,,433685,175503,14.93,1.377,241733,325364,131667,13.32,1.228,161714
