District/ Division,,2019-20,,,,,2020-2021,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,Production
22,Kishoreganj,12573,5088,15.03,1.386,7054,8048,3257,12.9,1.189,3875
23,Madaripur,19603,7933,16.41,1.514,12008,11367,4600,14.21,1.3107,6029
24,Manikganj,471,191,17.25,1.591,303,1655,670,10.09,0.930,623
25,Munshiganj,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,1687,683,16.30,1.504,1026,1747,707,11.92,1.099,777
27,Narsingdi,7394,2992,14.37,1.325,3966,15197,6150,15.62,1.440,8861
28,Rajbari,995,403,17.44,1.609,648,1025,415,18.05,1.664,691
29,Shariatpur,8580,3472,18.65,1.720,5973,8830,3573,16.71,1.541,5507
30,Tangail,16746,6777,16.70,1.540,10439,57383.88,23222,16.50,1.522,35343
3,"Dhaka
Division",99340,40201,16.86,17.283,62536,124923,60638,18.5534,1.426,86515
31,Bagerhat,90365,36569,11.82,1.090,39870,89394,36176,16.47,1.519,54971
32,Chuadanga,0,0,0.00,0.000,0,0,0,0,0,0
33,Jashore,3478,1407,16.56,1.527,2150,4157,1682,16.72,1.542,2594
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund
)","Hector
s (M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
34,Jhenaidah,0,0,0.00,0.000,0,0,0,0,0,0
35,Khulna,49304,19952,20.42,1.884,37581,49866,20180,23.69,2.184,44089
36,Kushtia,,0,19.54,0.000,0,3343,1353,17.38,1.603,2169
37,Magura,1027,416,19.39,1.789,743,1889,764,19.63,1.811,1384
38,Meherpur,0,0,0.00,0.000,0,0,0,0,0,0
39,Narail,14631,5921,17.22,1.588,9404,11737,4750,12.01,1.107,5262
40,Satkhira,6418,2597,10.30,0.950,2468,5711,2311,17.15,1.581,3656
4,"Khulna
Division",165223,66862,14.95,0.558,92216,166097,67216,18.41,1.6979,114124
41,Jamalpur,53312,21574,17.51,1.615,34845,46399,18777,16.74,1.544,28993
42,Mymensingh,106804,43221,14.77,1.362,58884,100124,40518,17.64,1.627,65933
43,Netrokona,62607,25336,15.43,1.423,36059,52140,21100,17.22,1.588,33522
44,Sherpur,69453,28106,19.97,1.842,51772,64604,26144,19.19,1.770,46281
5,"Mymensingh
Division",292176,118237,16.65,0.621,181560,263267,106538,17.78,1.640,174729
45,Bogura,18044,7302,17.21,1.587,11592,16889,6835,14.7,1.355,9267
46,Joypurhat,1696,686,18.14,1.673,1149,1730,700,19.26,1.776,1244
47,Naogaon,1676,678,20.71,1.910,1296,61315,24813,21.81,2.011,49917
48,Natore,9679,3917,17.87,1.648,6456,1908,772,17.14,1.580,1221
49,"Chapai
Nawabganj",2855,1155,17.44,1.609,1859,5125,2074,18.54,1.710,3547
50,Pabna,1676,678,14.16,1.306,886,1668,675,13.55,1.249,844
51,Rajshahi,1361,551,14.55,1.342,739,1169,473,16.52,1.523,721
52,Sirajganj,9679,3917,18.95,1.748,6846,11337,4588,15.45,1.425,6538
6,"Rajshahi
Division",46666,18885,17.69,1.632,30822,101141,40929,19.42,1.790,73298
53,Dinajpur,8041,3254,23.47,2.165,7045,15934,6448,20.38,1.879,12121
54,Gaibandha,46035,18629,16.64,1.535,28594,21436,8675,12.55,1.157,10042
55,Kurigram,35709,14451,17.76,1.638,23673,30217,12228,19.25,1.775,21712
56,Lalmonirhat,3009,1218,15.21,1.403,1708,111,45,16.55,1.526,69
57,Nilphamari,35611,14411,18.81,1.735,25003,1231,498,17.99,1.659,826
58,Panchagar,35709,14451,14.04,1.295,18714,1339,542,17.86,1.647,893
59,Rangpur,1035,419,15.22,1.404,588,1686,682,15.63,1.441,984
60,Thakurgaon,108,44,16.83,1.552,68,3101,1255,16.89,1.557,1955
7,"Rangpur
Divison",165257,66876,17.09,1.576,105393,75054,30373,17.35,1.600,48602
61,Habiganj,6879,2784,20.25,1.868,5200,5436,2200,19.73,1.820,4004
62,Moulvibazar,3719,1505,17.77,1.639,2467,3544,1434,18.89,1.742,2499
63,Sunamganj,41386,16748,17.59,1.622,27174,40854,16533,15.75,1.453,24018
64,Sylhet,85899,34761,10.19,0.940,32673,79120,32018,12.06,1.112,35617
8,"Sylhet
Division",137883,55798,13.12,1.210,67513,128954,52185,13.74,1.267,66138
Bangladesh,,2071387,838245,15.93,1.470,1232057,1957768,802350,16.74,1.524,1223034
