District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,Production
22,Kishoregonj,159799,64667,32.65,3.012,194753,178280,72146,31.85,2.937,211953
23,Madaripur,15371,6220,30.20,2.786,17327,17023,6900,33.44,3.079,21249
24,Manikgonj,19788,8008,29.26,2.699,21612,12192,4934,32.47,2.995,14777
25,Munsigonj,1178,477,27.25,2.514,1198,1103,446,25.65,2.365,1056
26,Narayangonj,4426,1791,29.39,2.711,4856,5214,2110,26.80,2.472,5216
27,Narsingdi,82239,33280,32.97,3.041,101211,80187,32450,30.63,2.825,91681
28,Rajbari,104067,42114,25.94,2.393,100765,109792,44430,25.40,2.342,104095
29,Shariatpur,4301,1741,31.41,2.897,5043,4358,1764,32.41,2.989,5272
30,Tangail,172205,69688,29.32,2.704,188468,151528,61320,28.57,2.635,161595
3,"Dhaka
Division",873884,353642,30.57,2.820,997335,850754,344293,30.44,2.807,966626
31,Bagerhat,87342,35345,32.32,2.981,105371,87677,35481,29.26,2.698,95746
32,Chuadanga,81295,32898,28.12,2.594,85331,85718,34688,29.38,2.71,94005
33,Jashore,322179,130379,34.04,3.140,409368,334730,135458,30.90,2.850,386094
34,Jhenaidah,252018,101986,32.55,3.002,306203,252930,102355,36.69,3.384,346395
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
35,Khulna,173335,70145,31.97,2.949,206850,173613,70257,33.31,3.0728,215888
36,Kushtia,214914,86971,34.23,3.157,274599,222629,90093,32.38,2.986,269082
37,Magura,140365,56803,31.80,2.933,166615,141541,57279,28.59,2.636,151030
38,Meherpur,63458,25680,29.43,2.715,69711,82524,33396,34.27,3.161,105565
39,Narail,79924,32343,30.24,2.789,90217,63882,25852,34.08,3.143,83265
40,Satkhira,213696,86478,32.07,2.958,255813,202033,81758,30.05,2.771,226618
4,"Khulna
Division",1628526,659029,32.41,2.989,1970078,1647277,666617,32.07,2.957,1971688
41,Jamalpur,208455,84357,27.71,2.556,215614,219388,88782,27.41,2.527,224435
42,Mymensingh,543761,220048,28.72,2.649,582935,563610,228081,27.51,2.537,578657
43,Netrokona,258120,104456,29.79,2.748,287025,249808,101092,31.74,2.927,295922
44,Sherpur,141072,57089,29.35,2.707,154553,137784,55758,28.49,2.628,146548
5,"Mymensingh
Division",1151408,465950,28.85,2.662,1240125,"1170590.44
1",473712,28.5058,2.629,1245563
45,Bogura,430299,174133,29.68,2.738,476718,426118,172441,32.63,3.010,519008
46,Joypurhat,185876,75220,30.86,2.847,214115,168996.1,68389,30.60,2.822,193030
47,Naogaon,409502,165716,31.37,2.894,479510,406738.1,165645,30.08,2.757,456688
48,Natore,141914,57429,30.62,2.824,162203,154651,62895,32.53,2.985,187786
49,"Chapai
Nawabganj",123079,49807,28.51,2.630,130981,135540,54850,30.64,2.826,155018
50,Pabna,121590,49205,33.37,3.078,151454,135861,54980,29.42,2.713,149199
51,Rajshahi,178883,72390,30.29,2.794,202253,181386,73403,34.24,3.158,231827
52,Sirajganj,167277,67693,31.33,2.890,195625,162263,65664,33.02,3.045,199997
6,"Rajshahi
Division",1758420,711594,30.67,2.829,2012859,1771553,718266.8,31.6443,2.913,2092555
53,Dinajpur,678573,274604,30.94,2.854,783690,629538,254760,29.12,2.686,684291
54,Gaibandha,266678,107919,31.35,2.892,312070,272555,110297,31.57,2.912,321186
55,Kurigram,236059,95528,32.15,2.966,283288,253293,102502,30.75,2.836,290734
56,Lalmonirhat,203120,82198,31.57,2.912,239362,189839,76824,30.58,2.820,216696
57,Nilphamari,217230,87908,30.01,2.768,243340,278350,112144,29.61,2.743,307650
58,Panchagarh,213802,86521,32.22,2.972,257137,244823,99075,33.48,3.088,305960
59,Rangpur,404160,163555,33.48,3.088,505087,403369,163235,29.32,2.704,441462
60,Thakurgaon,319735,129390,31.37,2.894,374397,319735,129390,29.15,2.688,347901
7,"Rangpur
Division",2539357,1027622,25.76,2.918,2998370,2591501,1048226,30.1433,2.781,2915879
61,Habiganj,185476,75058,32.16,2.966,222654,185664,75134,32.83,3.028,227523
62,Moulvibazar,247370,100105,30.41,2.805,280796,246181,99624,31.91,2.943,293230
63,Sunamganj,156961,63519,33.92,3.129,198735,157704,63819,28.15,2.596,165710
64,Sylhet,234501,94897,32.10,2.961,280981,241181,97601,34.64,3.195,311852
8,"Sylhet
Division",824308,333579,31.95,2.947,983166,830730,336178,32.19,2.970,998315
Bangladesh,,11093529,4489308,30.69,2.831,12707824,11318953,4581448,30.61,2.823,12933509
