District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
30,Tangail,413840.8,167472,43.65,4.026,674292,420470,170155,46.86,4.32,735536
3,"Dhaka
Division",1857299,751608,47.36,4.368,3283128,"185583
4",751015,47.82,4.41,3312358
31,Bagerhat,144443,58453,49.79,4.592,268437,145439,58856,49.50,4.57,268754
32,Chuadanga,77565,31389,41.19,3.799,119258,82100,33224,40.84,3.77,125157
33,Jashore,391749,158532,50.14,4.625,733189,388502,157218,48.48,4.47,703045
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
34,Jhenaidah,200233,81030,48.96,4.516,365940,197602,79965,46.08,4.25,339889
35,Khulna,145922,59051,45.88,4.232,249918,142077,57495,45.87,4.23,243273
36,Kushtia,84391,34151,44.02,4.061,138682,86620,35053,46.22,4.26,149437
37,Magura,90565,36650,39.73,3.665,134315,86301,34924,41.14,3.79,132515
38,Meherpur,49938,20209,41.73,3.849,77792,47938,19399,43.06,3.97,77060
39,Narail,121723,49259,48.11,4.438,218593,116842,47283,49.55,4.57,216119
40,Satkhira,186918,75642,41.88,3.863,292231,185546,75086,42.68,3.94,295593
4,"Khulna
Division",1493447,604365,46.61,4.299,2598355,"147896
7",598505,46.21,4.26,2550842
41,Jamalpur,318066,128714,43.31,3.995,514230,322186,130382,45.86,4.230,551535
42,Mymensingh,644381,260767,41.70,3.846,1002998,645176,261089,44.73,4.126,1077242
43,Netrokona,451943,182891,48.13,4.439,811917,449438,181878,44.70,4.123,749905
44,Sherpur,231382,93635,44.02,4.061,380208,225451,91235,44.82,4.134,377149
5,"Mymensingh
Division",1645772,666008,44.10,4.068,2709354,"164225
1",664583,44.96,4.147,2755831
45,Bogura,459334,185882,42.08,3.882,721540,457983,185336,42.10,3.884,719759
46,Joypurhat,175371,70969,41.38,3.816,270850,169581,68626,44.08,4.066,279023
47,Naogaon,455511,184335,47.47,4.379,807132,458122,185392,47.88,4.416,818693
48,Natore,144341,58412,47.13,4.348,253950,148250,59994,46.68,4.306,258336
49,"Chapai
Nawabganj",115236,46633,45.29,4.177,194796,118339,47889,48.30,4.455,213342
50,Pabna,128094,51837,44.62,4.116,213368,134501,54430,46.82,4.319,235085
51,Rajshahi,163475,66155,41.73,3.850,254667,161465,65341,44.02,4.060,265300
52,Sirajganj,347443,140603,46.75,4.313,606362,347176,140495,45.83,4.228,593982
6,"Rajshahi
Division",1988805,804826,44.76,4.128,3322665,"199541
7",807502,45.43,4.190,3383521
53,Dinajpur,426619,172643,44.50,4.105,708694,429961,173996,44.35,4.091,711737
54,Gaibandha,320017,129504,43.06,3.972,514340,321264,130008,43.68,4.029,523837
55,Kurigram,280520,113520,43.98,4.057,460534,276736,111989,43.06,3.971,444758
56,Lalmonirhat,110257,44619,43.53,4.016,179168,114112,46179,45.05,4.156,191901
57,Nilphamari,206092,83401,46.43,4.282,357147,204505,82759,47.23,4.356,360529
58,Panchagar,76935,31134,45.74,4.219,131368,77506,31365,41.54,3.832,120184
59,Rangpur,328659,133001,47.81,4.410,586531,326394,132084,48.15,4.441,586599
60,Thakurgaon,144258,58378,41.83,3.859,225252,144862,58622,42.22,3.895,228318
7,"Rangpur
Divison",1893357,766200,44.76,4.128,3163036,"189534
0",767003,44.78,4.130,3167863
61,Habiganj,295694,119661,37.33,3.443,411976,295677,119654,39.64,3.657,437550
62,Moulvibazar,131039,53029,38.24,3.527,187026,138015,55852,35.16,3.244,181159
63,Sunamganj,533537,215911,40.14,3.702,799346,546442,221133,40.20,3.708,819988
64,Sylhet,203841,82490,32.82,3.027,249732,204408,82719,32.83,3.028,250496
8,"Sylhet
Division",1164111,471090,37.93,3.498,1648080,"118454
2",479358,38.20,3.524,1689194
,Bangladesh,11767700,4762130,44.72,4.125,19645334,11829150,4786998,45.04,4.154,19885283
