District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
20,Gazipur,23421,9478,54.50,5.027,47646,25582,10352,50.16,4.626,47894
21,Gopalganj,103913,42051,63.06,5.817,244596,108169,43774,61.07,5.633,246565
22,Kishoreganj,65664,26573,47.38,4.370,116131,69667,28193,44.50,4.105,115734
23,Madaripur,7173.05,2903,53.28,4.915,14266,7646,3094,54.19,4.999,15468
24,Manikganj,915,370,48.75,4.497,1665,2127,861,49.60,4.575,3938
25,Munshiganj,192,78,49.65,4.580,356,483,195,46.13,4.255,832
26,Narayanganj,232,94,47.15,4.349,408,1625,658,45.16,4.166,2739
27,Narsingdi,1117,452,45.59,4.205,1901,3108,1258,47.54,4.385,5515
28,Rajbari,2369,959,44.08,4.066,3898,2445,989,45.68,4.214,4169
29,Shariatpur,424,172,57.89,5.340,916,1437,582,55.17,5.089,2959
30,Tangail,10429.3,4221,45.46,4.193,17697,48290,19542,47.86,4.415,86269
3,"Dhaka
Division",216853,87756,55.77,5.144,451430,272344,110211,52.69,4.860,535598
31,Bagerhat,95833,38782,52.90,4.879,189234,101561,41100,52.81,4.871,200216
32,Chuadanga,3830,1550,52.94,4.883,7569,5802,2348,49.91,4.604,10809
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
33,Jashore,57893,23428,64.90,5.986,140248,64979,26296,62.93,5.804,152632
34,Jhenaidah,8521,3448,53.70,4.953,17080,17532,7095,54.43,5.021,35623
35,Khulna,82741,33483,51.03,4.707,157606,84261,34099,50.56,4.663,159013
36,Kushtia,8571,3468,47.25,4.358,15117,10980,4443,48.99,4.519,20079
37,Magura,8195,3316,47.89,4.417,14649,12096,4895,48.90,4.511,22080
38,Meherpur,2630,1064,50.78,4.684,4985,2630,1064,50.37,4.647,4945
39,Narail,49164,19896,51.05,4.709,93685,55590,22496,52.67,4.858,109286
40,Satkhira,38126,15429,42.29,3.901,60185,42213,17083,45.59,4.205,71834
4,"Khulna
Division",355504,143865,52.78,4.868,700358,397644,160918,52.99,4.888,786516
41,Jamalpur,94421,38210,51.34,4.736,180947,114004,46135,54.19,5.00,230584
42,Mymensingh,120165,48628,47.36,4.368,212431,131285,53128,49.89,4.60,244464
43,Netrokona,54546,22074,57.19,5.275,116442,98586,39896,53.62,4.95,197336
44,Sherpur,120526,48774,47.20,4.354,212349,107969,43693,46.25,4.27,186386
5,"Mymensingh
Division",389658,157686,49.65,4.580,722169,451844,182851,50.92,4.70,858771
45,Bogura,41871,1405,42.31,47.066,66128,41053,16613,42.15,3.89,64586
46,Joypurhat,17132,3205,48.17,9.611,30804,12372,5007,48.51,4.47,22402
47,Naogaon,17621,25265,53.68,1.397,35308,25853,10462,52.19,4.81,50363
48,Natore,1874,2005,56.87,1.984,3977,8638,3496,53.59,4.94,17279
49,"Chapai
Nawabganj",1289,21512,47.58,0.106,2289,2364,957,49.49,4.56,4367
50,Pabna,3738,11500,46.50,0.564,6488,3960,1603,45.85,4.23,6778
51,Rajshahi,10266,38411,49.86,0.497,19106,11604,4696,50.68,4.67,21951
52,Sirajganj,24199,24075,45.07,1.691,40711,32428,13123,43.86,4.05,53096
6,"Rajshahi
Division",117990,47748,46.50,4.289,204812,138272,55956,46.66,4.30,240822
53,Dinajpur,30497,12341,50.65,4.672,57659,40513,16395,51.38,4.74,77704
54,Gaibandha,81591,33018,48.66,4.488,148198,90052,36442,48.82,4.50,164101
55,Kurigram,97794,39575,47.84,4.413,174635,96791,39169,46.67,4.30,168613
56,Lalmonirhat,55598,22499,46.89,4.325,97312,59815,24206,47.05,4.34,105055
57,Nilphamari,99640,40322,51.09,4.713,190019,98892,40019,52.44,4.84,193566
58,Panchagar,17145,6938,48.69,4.491,31161,20510,8300,46.77,4.31,35808
59,Rangpur,126874,51343,56.43,5.205,267245,118784,48069,58.63,5.41,259947
60,Thakurgaon,20608,8340,55.70,5.138,42847,22171,8972,54.98,5.07,45501
7,"Rangpur
Divison",529747,214377,51.03,4.707,1009075,547528,221573,51.39,4.74,1050295
61,Habiganj,104655,42352,41.54,3.832,162276,109395,44270,42.05,3.88,171713
62,Moulvibazar,4358,1764,46.21,4.262,7517,9230,3735,39.58,3.65,13637
63,Sunamganj,88505,35816,45.41,4.189,150019,93901,38000,42.16,3.89,147771
64,Sylhet,13917,5632,42.14,3.887,21891,19184,7763,42.65,3.93,30538
8,"Sylhet
Division",211435,85563,43.30,3.994,341703,231710,93768,42.05,3.88,363659
,Bangladesh,2189336,885976,50.50,4.658,4127145,2453421,992846,50.52,4.66,4626947
