Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
84,",,",Cross botom,-,-,-,-,-,-,-,-,-,-,-,-,-
85,",,",Smr,-,-,-,-,-,-,-,-,-,-,-,-,-
86,",,",Gor chhat,44.75,-,-,-,-,-,-,-,-,-,-,-,44.75
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
87,",,",Mesta gor chhat,67.40,64.00,73.00,73.00,-,-,-,-,-,-,-,-,69.35
88,Cotton,Shimul,443.87,449.29,436.34,440.04,448.19,434.05,432.66,455.83,-,-,-,-,442.53
89,",,",carpus,175.00,175.00,175.00,175.00,175.00,175.00,175.00,175.00,-,-,-,-,175.00
90,Tobbaco,Jati heavy,127.70,145.75,217.42,243.53,240.00,187.50,176.65,189.25,-,-,-,-,190.98
91,",,",Jati Medium,141.25,141.38,141.42,141.42,190.00,135.50,142.50,151.88,-,-,-,-,148.17
92,",,",Jati general,118.75,120.75,118.92,118.92,165.00,166.00,168.75,167.50,-,-,-,-,143.07
93,",,",Motihar heavy,141.31,142.78,146.44,127.18,134.12,135.12,130.39,128.57,-,-,-,-,135.74
94,",,",Motihar medium,119.65,123.44,121.44,121.62,199.61,181.20,139.07,199.93,-,-,-,-,150.75
95,",,",Moti general,76.25,77.25,77.25,77.25,292.50,251.40,138.25,293.00,-,-,-,-,160.39
96,",,",Varginia(heat),-,-,-,-,880.00,517.50,517.50,517.50,-,-,-,-,608.13
97,",,",Bangla-1 (heat),-,-,-,-,-,-,-,-,-,-,-,-,-
98,",,","Bangle-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
99,",,","Bangle-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
100,",,","Bangle-4 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
101,",,","Bangla-5 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
102,",,","Bangle-6 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
103,",,","Bang;a-7 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
104,",,","Bang;a-8 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
105,",,",Varginia(air),-,-,-,-,-,-,-,-,-,-,-,-,-
106,",,",Dv- 1(air),-,-,-,-,-,-,-,-,-,-,-,-,-
107,",,","DV-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
108,",,","DV-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
109,"Hide skin:
COW",Light,237.02,221.59,241.35,249.30,249.30,254.13,245.82,238.08,-,-,-,-,
,,,,,,,,,,,,,,,242.07
110,",,",Medium,363.32,358.21,693.71,695.44,695.44,364.94,368.07,364.54,-,-,-,-,487.96
111,",,",heavy,559.58,909.72,1026.00,1025.35,1025.35,544.03,568.25,577.65,-,-,-,-,779.49
112,",,",katachera,177.85,168.69,177.73,175.54,175.54,169.00,185.00,187.75,-,-,-,-,177.14
113,"Hide skin
Bufello",heavy,490.00,512.50,515.00,518.75,518.75,728.00,725.00,728.75,-,-,-,-,
,,,,,,,,,,,,,,,592.09
114,",,",medium,480.00,514.58,487.00,502.50,502.50,610.31,635.16,2459.38,-,-,-,-,773.93
115,",,",katachera,-,-,-,-,-,-,-,-,-,-,-,-,-
116,Hide skin,Sheep,33.00,38.23,38.45,38.77,38.77,57.50,39.53,38.71,-,-,-,-,40.37
117,",,",Goat,41.41,44.55,45.38,45.04,45.04,107.45,69.99,60.158,-,-,-,-,57.38
118,"Chemical
fertilizer",Uria 50 kg,16.00,15.96,15.95,15.96,15.96,15.96,15.96,15.96,-,-,-,-,
,,,,,,,,,,,,,,,15.96
119,",,","TSP ,,",22.03,21.96,21.96,21.96,21.96,21.96,21.95,21.96,-,-,-,-,21.97
120,",,","DAP ,,",16.00,15.94,15.92,15.94,15.94,15.93,15.93,15.91,-,-,-,-,15.94
121,",,","MP ,,",15.17,15.18,15.17,15.18,15.18,15.18,15.16,15.16,-,-,-,-,15.17
122,",,",Zinc LOCAL,121.89,130.20,130.17,130.20,130.20,123.03,121.90,121.56,-,-,-,-,126.14
123,",,",Zinc foreign,170.68,170.22,170.38,170.22,170.22,149.48,152.24,152.30,-,-,-,-,163.22
124,",,",Zipsum,10.06,10.32,10.35,10.32,10.32,19.73,17.90,14.99,-,-,-,-,13.00
125,"Organic
fertilizer",Cowdung,3.20,3.38,3.40,3.38,3.38,3.34,3.44,3.38,-,-,-,-,
,,,,,,,,,,,,,,,3.36
126,Powder milk,Bag,542.50,557.92,558.33,558.33,558.33,583.33,593.75,592.97,-,-,-,-,568.18
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
127,Cow Milk,liquid,60.74,69.74,64.90,61.91,61.91,61.62,64.88,64.94,-,-,-,-,63.83
128,",,",milkvita,68.13,68.88,69.03,69.00,69.00,71.15,70.65,70.16,-,-,-,-,69.50
129,Gawa ghee,-,927.73,959.72,1224.62,1133.88,1133.88,996.34,1002.78,1006.03,-,-,-,-,1048.12
130,Dano,--,563.48,629.91,640.69,630.88,630.88,654.58,745.67,759.56,-,-,-,-,656.96
131,Red cow,-,578.27,608.23,658.41,657.83,657.83,734.77,859.88,863.57,-,-,-,-,702.35
132,Anchor,-,555.50,666.75,580.13,565.75,565.75,565.75,618.25,604.50,-,,,,590.30
133,"Condensed
milk",One kartoon,48.73,49.64,53.63,53.71,53.71,53.65,54.56,54.95,-,-,-,-,
,,,,,,,,,,,,,,,52.82
134,"Hen/chicken-
Live",Local large(900gm+),358.00,363.00,386.00,398.00,410.00,413.00,577.41,403.00,392.00,-,-,-,
,,,,,,,,,,,,,,,411.16
135,",,",",, medium(700gm+)",365.00,369.00,390.00,404.00,415.00,415.00,411.33,403.00,387.00,-,-,-,395.48
136,",,",",, small(500gm+)",366.00,369.00,389.00,400.00,406.00,415.00,404.60,401.00,385.00,-,-,-,392.84
137,",,",Farm broiler,123.00,135.00,143.00,142.00,139.00,134.00,131.41,125.00,133.00,-,-,-,133.93
138,",,",Duck,-,219.00,279.00,282.00,271.00,234.00,231.42,214.00,236.00,-,-,-,245.80
139,Meat,Cow,295.00,296.00,324.00,321.00,322.00,321.00,320.40,339.00,366.00,-,-,-,322.71
140,",,",Goat,536.00,540.00,545.00,548.00,552.00,556.00,557.34,560.00,561.00,-,-,-,550.59
141,Egg,Chicken local,752.00,758.00,763.00,768.00,769.00,772.00,772.57,774.00,772.00,-,-,-,766.73
142,",,",Farm red,49.00,50.00,50.00,50.00,50.00,50.00,49.99,50.00,56.00,-,-,-,
,,,,,,,,,,,,,,,50.55
143,",,",Farm white,30.00,30.00,30.00,30.00,30.00,32.00,32.99,33.00,35.00,-,-,-,31.44
144,",,",duck,30.00,32.00,32.00,33.00,33.00,77.00,34.44,45.00,37.00,-,-,-,39.27
145,Fish (Ka):Fresh,Rui local big(5+kg),47.00,47.00,47.00,46.00,46.00,45.00,48.67,46.00,48.00,-,-,-,46.74
146,",,","Rui local
(2.5+kg)medium",386.00,348.00,348.00,377.00,377.00,433.00,361.00,358.00,394.00,-,-,-,
,,,,,,,,,,,,,,,375.78
147,",,","Rui local small
(1.5+kg)",311.00,305.00,308.00,308.00,305.00,313.00,317.93,309.00,310.00,-,-,-,
,,,,,,,,,,,,,,,309.66
148,",,","Imported
medium(2.5+kg)",262.00,264.00,266.00,266.00,266.00,266.00,265.48,263.00,266.00,-,-,-,
,,,,,,,,,,,,,,,264.94
149,",,",Imported small,260.00,259.00,266.00,267.00,264.00,261.00,267.38,269.00,271.00,-,-,-,264.93
150,",,",Katal large,228.00,224.00,224.00,224.00,223.00,226.00,224.83,225.00,236.00,-,-,-,226.09
151,",,",medium,378.00,395.00,369.00,394.00,432.00,438.00,437.50,376.00,393.00,-,-,-,401.39
152,",,",small,305.00,301.00,300.00,301.00,307.00,309.00,307.66,308.00,304.00,-,-,-,304.74
153,Fish (Ka):Live,Mrigel large,240.00,242.00,240.00,240.00,241.00,244.00,239.03,241.00,243.00,-,-,-,241.11
154,",,",small,220.00,223.00,217.00,217.00,217.00,223.00,222.19,224.00,215.00,-,-,-,219.80
155,",,",Airr large,166.00,166.00,162.00,162.00,162.00,161.00,160.98,163.00,163.00,-,-,-,162.89
156,",,",small,667.00,688.00,679.00,679.00,681.00,710.00,715.23,708.00,688.00,-,-,-,690.58
157,",,",Boal large,502.00,503.00,500.00,500.00,499.00,508.00,509.40,514.00,517.00,-,-,-,505.82
158,",,",Small,590.00,601.00,638.00,628.00,628.00,634.00,657.73,708.00,665.00,-,-,-,638.86
159,",,",Chital large,431.00,434.00,442.00,425.00,423.00,448.00,460.74,472.00,486.00,-,-,-,446.86
160,",,",Chital small,681.00,608.00,526.00,526.00,526.00,548.00,570.00,570.00,683.00,-,-,-,582.00
161,",,",Pangush larges,309.00,274.00,306.00,306.00,307.00,287.00,340.83,334.00,475.00,-,-,-,326.54
162,",,",small,148.00,141.00,132.00,132.00,131.00,131.00,131.84,133.00,131.00,-,-,-,134.54
163,",,",Hilsha,109.00,109.00,110.00,110.00,108.00,111.00,109.27,110.00,113.00,-,-,-,109.92
164,",,",Prawn bagda,677.00,691.00,721.00,716.00,752.00,1018.00,802.08,824.00,804.00,-,-,-,778.00
165,",,",golda,662.00,661.00,666.00,666.00,667.00,695.00,709.88,718.00,719.00,-,-,-,684.88
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
166,",,",small,702.00,691.00,713.00,713.00,712.00,738.00,725.35,727.00,734.00,-,-,-,717.26
167,",,",Koii,464.00,462.00,467.00,467.00,468.00,482.00,488.65,500.00,513.00,-,-,-,479.07
168,",,",Magur,188.00,188.00,196.00,196.00,197.00,194.00,189.93,181.00,192.00,-,-,-,191.33
169,",,",Shing,609.00,608.00,606.00,589.00,572.00,556.00,574.77,-,570.00,-,-,-,585.60
170,",,",Silvar curp,493.00,492.00,485.00,485.00,495.00,480.00,476.88,481.00,481.00,-,-,-,485.43
171,",,",Grass curp,146.00,146.00,146.00,147.00,148.00,148.00,149.39,148.00,149.00,-,-,-,147.49
172,",,",Telapia,180.00,181.00,180.00,180.00,178.00,181.00,180.61,182.00,179.00,-,-,-,180.18
173,",,",Rupchada,133.00,133.00,134.00,134.00,133.00,135.00,135.45,137.00,136.00,-,-,-,134.49
174,Fish(Kha)Dry,Rupchada,683.00,722.00,733.00,733.00,733.00,764.00,738.39,743.00,751.00,-,-,-,733.38
175,",,",Loitta,1544.00,1558.00,1558.00,1544.00,1544.00,1568.00,1555.00,1485.00,1368.00,-,-,-,1524.89
176,",,",Puti,530.00,532.00,539.00,539.00,539.00,537.00,534.35,552.00,561.00,-,-,-,540.37
177,",,",Prawn,461.00,477.00,472.00,472.00,472.00,471.00,514.65,500.00,485.00,-,-,-,480.52
178,“,Kachki,819.00,785.00,777.00,777.00,776.00,782.00,767.63,814.00,806.00,-,-,-,789.29
179,,Salted Hilsha,481.00,489.00,489.00,485.00,484.00,488.00,490.31,486.00,489.00,-,-,-,486.81
180,Betel nut,-,348.00,350.00,372.00,375.00,377.00,388.00,391.00,394.00,404.00,-,-,-,377.61
181,"Betel leaves
bangla",Large,128.00,190.00,148.00,148.00,143.00,137.00,131.00,120.00,110.00,-,-,-,
,,,,,,,,,,,,,,,139.42
182,",,",Medium,89.00,88.00,106.00,104.00,102.00,99.00,96.00,86.00,79.00,-,-,-,94.33
183,",,",Small,53.00,75.00,63.00,61.00,60.00,58.00,56.00,51.00,49.00,-,-,-,58.34
184,",,",Sanchi,48.00,-,58.00,54.00,45.00,46.00,46.00,54.00,60.00,-,-,-,51.37
185,Fruits:,Mango Guti,-,-,-,-,54.00,45.00,46.00,63.00,65.00,-,-,-,54.38
186,,Gopalbhog,-,-,-,-,67.00,58.00,57.00,71.00,68.00,-,-,-,64.09
187,,Himsagor,-,-,-,-,68.00,58.00,58.00,65.00,65.00,-,-,-,62.68
188,,Langra,-,-,-,-,69.00,57.00,58.00,64.00,65.00,-,-,-,62.69
189,,Fazli,-,-,-,-,-,54.00,57.00,70.00,74.00,-,-,-,63.55
190,,Aswini,-,-,-,-,-,52.00,46.00,53.00,64.00,-,-,-,53.71
191,Jackfruits,Large(4+kg),-,-,-,-,165.00,135.00,118.00,137.00,133.00,-,-,-,137.65
192,,Small,-,-,-,115.00,112.00,85.00,75.00,81.00,83.00,-,-,-,91.96
193,Fruits,Green Coconut,42.00,38.00,44.00,48.00,52.00,52.00,52.00,52.00,54.00,-,-,-,48.34
194,,Batabi lebu,38.00,-,38.00,38.00,38.00,-,20.00,35.00,33.00,-,-,-,34.05
195,,Elachi lebu,20.00,-,30.00,32.00,26.00,20.00,18.00,18.00,22.00,-,-,-,23.14
196,,Kagozi lebu,21.00,40.00,29.00,30.00,24.00,19.00,18.00,18.00,18.00,-,-,-,24.11
197,",,",Guava,82.00,-,82.00,76.00,75.00,71.00,65.00,55.00,58.00,-,-,-,70.61
198,",,",Amra,46.00,-,-,48.00,49.00,-,34.00,36.00,34.00,-,-,-,41.21
199,",,",Orange,65.00,45.00,-,68.00,72.00,70.00,67.00,68.00,59.00,-,-,-,64.27
200,",,",Apple,144.00,133.00,-,150.00,157.00,158.00,158.00,161.00,162.00,-,-,-,152.83
201,",,",Boroi,81.00,80.00,-,69.00,71.00,74.00,67.00,57.00,57.00,-,-,-,69.83
202,",,",Water melon,-,-,-,133.00,160.00,177.00,173.00,199.00,213.00,-,-,-,175.84
203,Fruit:,Melon (Bangi),-,-,-,70.00,68.00,64.00,73.00,91.00,103.00,-,-,-,78.25
204,",,",Ripe Papaya,88.00,90.00,-,93.00,103.00,92.00,91.00,92.00,98.00,-,-,-,93.45
205,",,",Lychee,-,-,-,-,274.00,331.00,335.00,317.00,350.00,-,-,-,321.41
206,",,",Banana: Chapa,17.00,13.00,-,17.00,19.00,18.00,17.00,17.00,18.00,-,-,-,17.25
207,",,",Sabri,26.00,18.00,-,29.00,62.00,29.00,29.00,29.00,31.00,-,-,-,31.57
208,",,",Banana: Sagar,21.00,26.00,-,23.00,23.00,23.00,23.00,23.00,24.00,-,-,-,23.19
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
209,",,",Paineapple:Calender,55.00,-,-,50.00,45.00,42.00,50.00,59.00,62.00,-,-,-,51.79
210,",,",Jaldub,50.00,-,-,44.00,42.00,42.00,41.00,40.00,43.00,-,-,-,43.07
211,",,",Coconut,52.00,75.00,-,60.00,62.00,60.00,60.00,58.00,60.00,-,-,-,60.81
212,,Dates,249.00,-,`-,251.00,262.00,280.00,286.00,301.00,317.00,-,-,-,277.87
213,",,",Tamarind with seed,117.00,-,-,215.00,113.00,216.00,115.00,113.00,112.00,-,-,-,143.06
214,",,",without seed,162.00,-,-,137.00,145.00,155.00,148.00,145.00,161.00,-,-,-,150.43
215,Vegetable:,Potato: Local,26.90,21.38,21.38,21.88,20.90,22.87,24.09,24.40,22.91,-,-,-,22.94
216,",,",Holland White,23.09,16.43,16.43,17.01,16.78,18.33,19.73,20.22,18.69,-,-,-,18.52
217,",,",Red,24.67,17.65,16.56,18.36,17.07,18.36,19.73,20.25,19.84,-,-,-,19.17
218,Sweet Potato,,29.75,26.63,26.88,27.34,25.25,24.74,23.21,25.20,26.07,-,-,-,26.12
219,Vegetable:,Brinjal,27.11,25.67,26.96,40.01,31.81,37.72,38.31,37.97,45.22,-,-,-,34.53
220,",,",Patal,38.34,49.46,48.63,43.69,37.83,34.77,32.62,30.08,35.52,-,-,-,38.99
221,",,",Chalcumra,27.96,25.20,25.98,29.40,25.02,24.79,25.27,24.50,25.45,-,-,-,25.95
222,",,",Pumpkin,25.61,24.24,22.38,21.29,21.18,21.11,22.60,24.55,27.66,-,-,-,23.40
223,",,",Lao,23.50,21.56,20.86,22.45,21.89,24.94,25.63,26.30,26.08,-,-,-,23.69
224,",,",Uchehhe,48.91,59.74,48.59,45.67,43.33,49.56,49.97,47.99,48.26,-,-,-,49.11
225,",,",Karalla,43.27,46.41,45.57,44.86,41.12,47.03,48.63,42.63,41.95,-,-,-,44.61
226,Vegetable:,Green Papaya,24.04,23.69,23.47,26.01,28.66,31.93,29.70,24.20,20.86,-,-,-,25.84
227,",,",Mukhi kachu,36.79,40.00,43.00,51.50,54.75,47.89,41.14,32.04,29.77,-,-,-,41.91
228,",,",Pani kachu,74.94,66.50,59.67,53.85,72.22,97.45,82.67,89.94,74.18,-,-,-,74.60
229,",,",Kachur lati,36.30,40.52,46.32,46.43,41.93,40.38,38.21,35.83,37.46,-,-,-,40.38
230,",,",Kakrol,50.57,50.11,50.47,74.06,47.93,43.02,38.21,33.91,37.16,-,-,-,47.27
231,",,",Lady's Finger,44.90,47.77,51.63,45.36,36.90,33.59,33.68,33.20,38.28,-,-,-,40.59
232,",,",Sosha,31.76,30.16,33.19,37.70,34.75,36.76,36.46,31.50,35.97,-,-,-,34.25
233,",,",Khirai,28.16,25.69,25.39,27.70,26.55,31.11,30.56,28.25,31.96,-,-,-,28.37
234,",,",Beans,29.16,25.49,25.96,33.29,28.51,26.62,25.74,36.19,70.63,-,-,-,33.51
235,",,",Barbati,38.25,41.53,42.99,44.44,43.04,43.89,45.42,42.39,47.67,-,-,-,43.29
236,",,",Tomato Ripe,34.15,23.72,17.57,22.32,26.27,36.69,50.84,62.61,66.34,-,-,-,37.83
237,",,",Motorshooti,65.93,58.05,52.38,47.27,56.60,50.88,49.91,49.29,48.83,-,-,-,53.24
238,",,",Jinga,39.59,37.86,42.07,46.93,37.14,35.46,33.90,33.68,37.49,-,-,-,38.24
239,",,",Chichinga,34.78,36.67,38.60,37.41,33.22,31.91,30.60,28.15,32.11,-,-,-,33.72
240,",,",Dundol,33.42,32.83,34.61,35.97,29.92,31.25,29.14,27.91,29.64,-,-,-,31.63
241,",,",Radish Spinach,19.53,17.11,16.63,19.21,17.81,18.89,20.90,19.50,25.79,-,-,-,19.49
242,",,",Red Spinach,24.77,21.81,22.06,22.80,22.37,23.76,27.05,26.14,29.99,-,-,-,24.53
243,",,",Palongsak,18.78,18.40,18.76,19.69,19.05,20.09,19.01,21.21,24.67,-,-,-,19.96
244,",,",Indian Spinach,20.94,21.38,21.40,21.00,20.19,19.98,20.31,19.77,21.12,-,-,-,20.68
245,",,",Danta,21.63,21.69,23.10,22.95,20.95,20.14,21.15,21.66,24.87,-,-,-,22.02
246,",,",Cauliflower,19.04,15.36,15.59,15.73,15.04,15.71,18.06,16.07,37.64,-,-,-,18.69
247,",,",Cabbage,16.34,12.90,12.73,13.68,11.50,12.36,11.79,13.29,33.40,-,-,-,15.33
248,",,",Oal kopy,16.74,15.07,15.39,17.09,16.67,18.44,13.40,14.33,37.00,-,-,-,18.24
249,",,",Carrot,33.58,27.80,24.10,26.26,26.71,33.33,45.28,51.34,59.90,-,-,-,36.48
250,",,",Green Banana,24.17,24.75,24.84,26.22,26.25,26.77,27.12,26.65,29.03,-,-,-,26.20
251,",,",Radish,12.43,11.74,10.96,11.90,10.62,10.86,13.95,11.98,22.65,-,-,-,13.01
252,Bibidh:,Sugar-Local,63.91,64.46,66.17,66.82,67.06,67.84,68.58,71.16,75.54,-,-,-,67.95
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
