District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
49,Chapai Nawabganj,136,112,109.80,0,0,0,372,389,398.72,372,389,398.72
50,Pabna,337,353,66.87,0,69,68.06,643,527,538.73,643,596,606.79
51,Rajshahi,492,579,256.49,275,275,251.22,1575,1322,1101.48,1850,1597,1352.7
52,Sirajganj,396,591,42.79,0,0,0,1148,1132,648.64,1148,1132,648.64
6,Rajshahi Division,3234,3371,1104.28,312,384,366.10,9379,9114,8750.51,9691,9498,9116.61
53,Dinajpur,416,447,141,37,33,31.66,1279,1158,1118.34,1316,1191,1150
54,Gaibandha,269,285,64.85,0,0,0,389,410,453.46,389,410,453.46
55,Kurigram,172,147,48.72,0,0,0,406,416,411.25,406,416,411.25
56,Lalmonirhat,226,159,180.19,0,0,0,557,561,642.76,557,561,642.76
57,Nilphamari,228,396,88.64,0,0,18.05,1680,1429,1478.40,1680,1444,1496.45
58,Panchagar,516,480,185.41,206,190,155.59,1068,1234,1424.91,1274,1424,1580.50
59,Rangpur,607,601,114.29,0,0,0,1383,1320,1301.50,1383,1320,1301.50
60,Thakurgaon,303,315,105.19,86,89,88.28,392,408,415.14,478,497,503.42
7,Rangpur Divison,2737,2830,928.29,329,327,293.58,7154,6936,7245.76,7483,7263,7539.34
61,Habiganj,407,443,375.22,0,14,0,1502,821,1424.58,1502,835,1424.58
62,Moulvibazar,5454,4712,285.20,966,1064,1155.21,2264,5205,2619.09,3230,6269,3774.30
63,Sunamganj,502,497,107,54,53,0,760,700,3118,814,753,3118
64,Sylhet,473,654,516,301,160,223.79,5655,784,198.60,5956,944,422.39
8,Sylhet Division,6836,6306,1283.42,1321,1291,1379,10181,7510,7360.27,11502,8801,8739.27
BANGLADESH,,31280,31641,13969.98,5448,8236,8039.81,66662,72790,70626.01,72110,81026,78665.82
