District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
51,Rajshahi,730,930,677.74,0,34,89.07,70,2502,2613.93,2272,18713,2703
52,Sirajganj,0,45,30.52,0,0,0,8,393,208.47,305,419,208.47
6,Rajshahi Division,2432,2891,2856.78,0,2741,306.76,967,5584,7989.54,7610,54801,8296.3
53,Dinajpur,442,430,80.92,0,244,3.20,58,1,947.80,181,430,951
54,Gaibandha,153,140,41.15,0,0,0,17,158,138,60,209,138
55,Kurigram,179,137,36.95,0,0,0,34,180,176.24,91,327,176.24
56,Lalmonirhat,119,133,33.63,0,0,0,20,91,49.14,72,153,49.14
57,Nilphamari,84,115,8.03,0,0,0,21,79,80.32,38,147,80.32
58,Panchagar,33,30,5.54,0,0,0,12,17,18.63,16,15,18.63
59,Rangpur,248,148,38.47,0,0,0,23,144,149.40,81,380,149.4
60,Tahkurgaon,47,50,5.25,0,0,0,38,29,30.29,22,85,30.29
7,"Rangpur
Division",1305,1183,249.94,0,244,3.20,223,699,1589.82,561,1746,"1593.0
2"
61,Habigonj,0,46,46.00,0,28,10.09,0,96,33.91,110,0,44
62,Moulvibazar,0,20,20.00,0,0,0,0,24,39.13,41,0,39.13
63,Sunamganj,0,0,0.00,0,0,0,0,0,0,0,0,0
64,Sylhet,0,254,254.00,0,0,184.44,0,11,759.56,1,1,944
8,Sylhet Division,0,320,363.41,0,0,194.53,0,131,832.6,152,1,"1027.1
3"
BANGLADESH,,25979,26099,"23441.5
4",24,7626,2717.20,2697,27729,37470.51,24890,35355,"40187.
71"
