Zila,"All
Holdi
ngs",Non-Farm holdings,,,Farm holdings,,,,,,,"Total
Farm
holdings"
,,"With no
operati
ng
area","With no
cultivat
ed area","with
0.01-
0.04
acre
cultivate
d area","0.05-
0.49
acre","0.50
-
0.99
acre","1.00-
1.49
acre","1.50-
2.49
acre","Total
small","(2.50
-
7.49)
acre","(7.50
+)
acres",
1,2,3,4,5,6,7,8,9,10,11,12,13
Munshiganj,268766,10869,149795,6128,32113,26194,15453,14145,87905,12573,1496,101974
Narayanganj,532415,129466,266933,16537,51637,35894,14056,11753,"11334
0",5675,464,119479
Narsingdi,414892,14455,179891,8048,73275,63622,35746,26852,"19949
5",12481,522,212498
Faridpur,382686,2654,142072,16105,59849,50596,36224,39282,"18595
1",33550,2354,221855
Gopalganj,230494,942,66394,6696,28784,33883,27733,34194,"12459
4",30035,1833,156462
Madaripur,243774,1589,93874,7701,35917,36042,25736,24688,"12238
3",17203,1024,140610
Rajbari,216579,420,79621,6691,32798,30897,22086,23426,"10920
7",19390,1250,129847
Shariatpur,225523,743,61192,14981,46991,37403,23040,25118,"13255
2",15079,986,148607
Jamalpur,546075,2449,199066,7776,84447,87692,60580,58300,"29101
9",42649,3116,336784
Sherpur,335460,1843,127924,4008,44750,53516,35836,35706,"16980
4",29323,2554,201685
Kishoreganj,597752,8994,265941,14084,74200,77723,57463,51922,"26130
8",41302,6123,308733
Netrakona,458472,4457,158775,12589,50595,62018,51673,57677,"22196
3",53239,7449,282651
Mymensinghh,1103260,22660,408911,19077,"14339
5",173571,124467,"11762
0","55905
3",87352,6207,652612
Tangail,801637,1653,264492,34460,"13058
4",137234,88717,86402,"44293
7",54569,3626,501032
Khulna Division,3435470,46013,1107184,177343,"59348
4",469401,348221,"35112
3","17622
29","31329
3",29408,"210493
0"
Jashore,591030,21418,171368,23621,"11020
4",90577,61284,59329,"32139
4",49788,3441,374623
Jhenaidah,385860,1521,119739,8006,61640,58692,45450,47305,"21308
7",40672,2835,266594
Magura,189589,906,37549,10935,34704,30727,23221,26984,"11563
6",23283,1280,140199
Narail,151052,433,32544,8543,25337,22505,28259,21913,88014,20522,996,109532
Bagerhat,339217,2258,72803,31539,78042,43181,32246,35410,"18887
9",38317,5421,232617
Khulna,502835,8420,250611,36061,60437,40271,32272,34924,"16790
4",35146,4693,207743
Satkhira,436178,1757,137679,44706,84320,54580,37842,35678,"21242
0",34106,5510,252036
Chuadanga,254916,6071,37194,1953,41078,40795,32697,31654,"14622
4",25688,1788,173698
Kushtia,432249,2553,172920,11560,73439,60124,42753,37437,"21375
3",29188,2275,245216
Meherpur,152544,676,38777,419,24283,27949,22197,20489,94918,16585,1169,112672
,,,,,Small,,,,,"Medi
um","Larg
e",
,,"With no
operati
ng
area","With no
cultivat
ed area","with
0.01-
0.04
acre
cultivate
d area","0.05-
0.49
acre","0.50
-
0.99
acre","1.00-
1.49
acre","1.50-
2.49
acre","Total
small","(2.50
-
7.49)
acre","(7.50
+)
acres",
1,2,3,4,5,6,7,8,9,10,11,12,13
"Rajshahi
Division",7663035,104350,3018357,140701,1103599,"100661
2",733631,"73527
6","35791
18","73185
2",88657,"439962
7"
Bogura,791343,31064,300375,6757,"11893
6",113397,81513,74964,"38881
0",59025,5312,453147
Joypurhat,229123,8326,70701,1492,34438,35006,36612,36515,"12257
1",23921,2112,148604
Dinajpur,662677,2429,263742,4533,76292,84700,61121,70591,"29270
4",85334,13935,391973
Panchagarhh,203831,1524,60740,2722,23966,28667,24182,27045,"10386
0",30813,4172,138845
Thakurgaon,297962,908,95250,2883,35826,40337,31551,37336,"14505
0",46113,7758,198921
Pabna,533209,5372,229903,15036,69946,32096,50715,48478,"23123
5",46498,5165,282898
Sirajganj,656830,10376,207315,31124,94755,81430,60056,55439,"29168
0",46203,4406,342289
Naogaon,611822,7374,237015,6612,84226,78679,64755,67874,"29553
4",81877,13110,290521
Natore,392969,5488,140966,6794,65283,51209,39120,37131,"19274
3",40741,3237,239721
Chapinawabgonj,320388,3419,156674,3394,34435,29450,26031,27020,"11693
6",35327,4638,156901
Rajshahi,572365,10271,227207,13506,96552,73941,53054,47716,"27126
3",45513,4605,321381
Gaibandha,581289,5524,240485,8510,95773,84327,56192,48880,"28517
2",38118,3480,326770
Kurigram,469713,2071,175114,16852,83584,65303,44019,43034,"23594
0",36439,3297,275676
Lalmonirhat,274769,2123,90830,9668,46182,40912,27525,27855,"14247
4",27410,2264,172148
Nilphamari,484629,1887,174557,3982,52253,47650,30741,35989,"16663
3",34256,3314,204203
Rangpur,680116,6194,311457,6836,91152,89508,56444,59409,"29651
3",54264,4852,355629
Sylhet Division,1526006,24112,568862,104006,"21759
0",162375,117123,"14570
1","64278
9","16008
0",26157,829026
Hobiganj,342178,1801,129256,13978,40391,43014,33385,35491,"15228
1",38341,6521,197143
Moulvibazar,309441,1323,103716,24705,58689,40306,22227,29343,"15056
5",26046,3086,179697
Sunamganj,387205,1835,160540,18110,36761,35623,31459,41756,"14459
9",51407,10714,206720
Sylhet,487182,19153,175350,47213,82749,43432,30052,39111,"19534
4",44286,5836,245466
