District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
30,Tangail,401601,162519,43.71,4.032,655244,370511,149938,46.86,4.32,648100
3,"Dhaka
Division",1623070,656821,46.53,4.292,2819102,1568100,634576,47.26,4.36,2766141
31,Bagerhat,47783,19337,44.08,4.066,78622,43188,17477,42.20,3.89,68026
32,Chuadanga,73735,29839,40.58,3.743,111690,76298,30876,40.15,3.70,114348
33,Jashore,333856,135104,47.58,4.389,592940,323523,130923,45.58,4.20,550413
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
Ton)",(M. Ton)
34,Jhenaidah,191712,77582,48.75,4.497,348860,180070,72870,45.27,4.18,304266
35,Khulna,62965,25481,39.21,3.617,92156,57203,23149,39.26,3.62,83825
36,Kushtia,75820,30683,43.66,4.027,123565,75640,30610,45.82,4.23,129358
37,Magura,82370,33333,38.92,3.590,119666,74205,30029,39.87,3.68,110435
38,Meherpur,47308,19145,41.23,3.803,72807,45308,18335,42.64,3.93,72115
39,Narail,72517,29346,46.13,4.255,124868,61218,24774,46.74,4.31,106803
40,Satkhira,148792,60213,41.78,3.854,232047,143333,58004,41.82,3.86,223760
4,"Khulna
Division",1136858,460062,44.71,4.124,1897220,1079986,437047,43.74,4.03,1763350
41,Jamalpur,222527,90052,40.03,3.692,332503,207202,83850,41.42,3.820,320331
42,Mymensingh,523923,212020,40.41,3.727,790285,513605,207845,43.43,4.006,832527
43,Netrokona,396601,160496,46.93,4.329,694755,350391,141796,42.22,3.894,552187.9
44,Sherpur,110683,44791,40.60,3.745,167739,117354,47491,43.53,4.015,190668.7
5,"Mymensingh
Division",1253734,507359,42.42,3.913,1985282,1188552,480981,42.73,3.941,1895715
45,Bogura,415127,167993,42.19,3.892,653759,414760,167844,42.21,3.894,653557
46,Joypurhat,158239,64036,40.64,3.749,240046,157209,63619,43.73,4.034,256621
47,Naogaon,437890,177204,47.22,4.356,771824,432269,174930,47.62,4.392,768330.6
48,Natore,142443,57644,47.01,4.336,249953,139575,56483,46.26,4.267,241027.5
49,"Chapai
Nawabganj",113947,46112,45.26,4.175,192506,115975,46933,48.27,4.453,208975
50,Pabna,123340,49913,44.79,4.131,206211,129417,52372,47.09,4.343,227472
51,Rajshahi,153209,62000,41.19,3.799,235561,149861,60645,43.50,4.013,243349
52,Sirajganj,318063,128713,47.27,4.360,561211,309209,125130,46.48,4.287,536454
6,"Rajshahi
Division",1862258,753615,44.76,4.128,3111072,1848275,747956,45.45,4.192,3135786
53,Dinajpur,396122,160302,44.03,4.061,651036,389448,157601,43.61,4.023,634033.7
54,Gaibandha,236858,95851,41.29,3.809,365057,229332,92806,41.87,3.862,358442.9
55,Kurigram,179495,72638,42.34,3.905,283681,176957,71611,41.49,3.827,274052.3
56,Lalmonirhat,54659,22119,40.12,3.701,81856,54297,21973,42.85,3.952,86846.73
57,Nilphamari,106452,43079,42.06,3.880,167128,105613,42739,42.35,3.907,166963.1
58,Panchagar,59790,24196,44.90,4.142,100208,56996,23065,39.66,3.658,84375.49
59,Rangpur,201785,81658,42.39,3.910,319286,207610,84015,42.15,3.888,326651.3
60,Thakurgaon,123650,50038,39.52,3.645,182406,122691,49650,39.92,3.682,182817.6
7,"Rangpur
Divison",1358811,549881,42.40,3.911,2150657,1342944,543460,42.18,3.890,2114183
61,Habiganj,190900,77253,35.03,3.231,249617,186105,75313,38.25,3.528,265715.4
62,Moulvibazar,125918,50956,38.06,3.511,178889,127834,51732,34.97,3.225,166845.9
63,Sunamganj,435591,176274,39.54,3.647,642899,443060,179297,40.19,3.707,664658.5
64,Sylhet,168415,68154,33.87,3.124,212923,166739,67476,33.21,3.063,206688
8,"Sylhet
Division",920824,372637,37.37,3.447,1284328,923738,373817,37.82,3.488,1303908
,Bangladesh,9496436,3843000,43.61,4.022,15457679,9298315,3762824,43.80,4.040,15202276
