District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
35,Khulna,861,1059,1131,1256,1224,2069,1442,1070,1200,2698,2294,3269
36,Kushtia,357,369,370,344,411,411,1210,1396,1433,1554,1807,1844
37,Magura,265,280,275,474,415,468,134,196,76,608,611,544
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,28,35,32,0,0,0,40,76,69,40,76,69
39,Narail,388,411,412,1951,2275,2288,2553,1590,1705,4504,3865,3993
40,Satkhira,300,318,390,540,549,630,537,713,620,1077,1262,1250
4,Khulna Division,6887,7916,8145,8973,8324,10573,7590,7794,10619,16563,16118,21192
41,Jamalpur,727,769,765,453,461,493,1435,1541,1365,1888,2002,1858
42,Mymensingh,1149,2140,1933,62,1713,1672,3837,3409,3563,3899,5122,5235
43,Netrokona,419,443,468,172,461,235,966,2526,3071,1138,2987,3306
44,Sherpur,538,40,571,225,180,23,1681,1772,3534,1906,1952,3557
5,"Mymensingh
Division",2833,4015,3737,912,2815,2423,7919,9248,11533,8831,12063,13956
45,Bogura,145,152,153,44,41,29,829,830,654,873,871,683
46,Joypurhat,14,15,16,22,26,23,52,49,57,74,75,80
47,Naogaon,28,25,25,14,8,6,3288,181,195,3302,189,201
48,Natore,380,399,398,967,890,2624,2335,1970,582,3302,2860,3206
49,Chapai Nawabganj,3,3,3,0,0,0,7,11,10,7,11,10
50,Pabna,193,137,207,193,218,351,892,952,761,1085,1170,1112
51,Rajshahi,89,81,90,243,259,295,280,285,252,523,544,547
52,Sirajganj,84,89,51,0,13,8,652,629,237,652,642,245
6,Rajshahi Division,937,901,944,1483,1455,3336,8335,4907,2748,9818,6362,6084
53,Dinajpur,133,141,142,238,259,300,618,684,698,856,943,998
54,Gaibandha,713,1133,749,778,2594,2594,3017,1480,1709,3795,4074,4303
55,Kurigram,1082,3717,1161,3378,3365,4412,2114,351,2229,5492,3716,6641
56,Lalmonirhat,479,182,486,1992,1593,161,639,779,811,2631,2372,972
57,Nilphamari,492,412,482,2291,2567,2549,1017,830,1015,3308,3397,3564
58,Panchagar,594,579,532,1065,989,2262,2442,2762,831,3507,3751,3093
59,Rangpur,433,822,462,758,1270,1401,1084,755,1018,1842,2025,2419
60,Thakurgaon,24,39,25,23,24,29,86,88,87,109,112,116
7,Rangpur Divison,3948,7025,4039,10523,12661,13708,11017,7729,8398,21540,20390,22106
61,Habiganj,204,217,1545,364,437,461,634,435,321,998,872,782
62,Moulvibazar,405,430,428,193,290,949,776,682,22,969,972,971
63,Sunamganj,273,289,511,132,132,133,709,720,712,841,852,845
64,Sylhet,1793,1804,3353,3894,4099,5124,3138,2945,2608,7032,7044,7732
8,Sylhet Division,2675,2740,5837,4583,4958,6667,5257,4782,3663,9840,9740,10330
BANGLADESH,,76531,96190,96945,137062,155664,159222,78721,161051,169388,215783,316715,328610
