District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
24,Manikganj,74,322,348,1143,1182,1750,1752,2007,3180,2895,3189,4930
25,Munshiganj,3,99,93,28,28,34,742,742,708,770,770,742
26,Narayanganj,5,60,61,93,93,260,1342,1359,1192,1435,1452,1452
27,Narsingdi,105,257,257,1616,3968,7784,864,1095,2240,2480,5063,10024
28,Rajbari,671,280,290,2105,600,625,3472,576,551,5577,1176,1176
29,Shariatpur,0,0,50,0,0,538,969,969,1115,969,969,1653
30,Tangail,54,54,78,983,4000,0,3786,1710,9684,4769,5710,9684
3,Dhaka Division,1371,6248,5576,12681,17837,20038,24477,25304,32969,37158,43141,53007
31,Bagerhat,12,54,60,116,0,0,1219,1043,1044,1335,1043,1044
32,Chuadanga,132,141,141,2818,2630,2630,1078,1029,1042,3896,3659,3672
33,Jashore,513,874,410,13810,0,14480,4302,18546,4066,18112,18546,18546
34,Jhenaidah,128,441,282,1378,2079,2317,3312,4532,4294,4690,6611,6611
35,Khulna,65,62,87,360,431,435,2542,3018,2866,2902,3449,3301
36,Kushtia,84,204,187,2271,2233,2235,5048,6448,6524,7319,8681,8759
37,Magura,142,528,752,6951,0,51076,4670,79260,24863,11621,79260,75939
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,37,66,66,440,1193,1195,657,423,421,1097,1616,1616
39,Narail,42,363,363,217,1610,1609,2608,2218,2219,2825,3828,3828
40,Satkhira,58,310,405,1203,880,1196,1570,1330,1754,2773,2210,2950
4,Khulna Division,1213,3043,2753,29564,11056,77173,27006,117847,49093,56570,128903,126266
41,Jamalpur,45,44,75,891,2905,1848,3220,2040,3697,4111,4945,5545
42,Mymensingh,96,97,45,1609,1887,819,12653,15565,19899,14262,17452,20718
43,Netrokona,2,2,6,58,61,0,2344,2366,2835,2402,2427,2835
44,Sherpur,5,5,54,187,1120,96,1427,650,1391,1614,1770,1487
5,"Mymensingh
Division",148,148,180,2745,5973,2763,19644,20621,27822,22389,26594,30585
45,Bogura,463,414,310,4291,4291,4291,1421,1361,1361,5712,5652,5652
46,Joypurhat,22,22,60,508,588,569,737,676,729,1245,1264,1298
47,Naogaon,93,145,145,315,442,732,1510,1786,2996,1825,2228,3728
48,Natore,221,64,210,3933,2990,5694,4854,3818,3745,8787,6808,9439
49,Chapai Nawabganj,81,222,226,99,1280,2174,2400,1577,2688,2499,2857,4862
50,Pabna,82,83,190,1490,1851,2046,5551,5468,7673,7041,7319,9719
51,Rajshahi,959,1363,810,40288,47916,47808,6668,10213,10630,46956,58129,58438
52,Sirajganj,29,11,350,347,340,563,4494,4751,9410,4841,5091,9973
6,Rajshahi Division,1950,2324,2301,51271,59698,63877,27635,29650,39232,78906,89348,103109
53,Dinajpur,85,436,370,1437,1185,1135,3123,2684,2568,4560,3869,3703
54,Gaibandha,43,207,154,498,1430,687,1231,1036,807,1729,2466,1494
55,Kurigram,20,195,176,152,190,193,2611,2323,1953,2763,2513,2146
56,Lalmonirhat,25,57,60,286,527,534,1471,1300,1992,1757,1827,2526
57,Nilphamari,6,59,72,100,102,100,2105,2002,1855,2205,2104,1955
58,Panchagar,75,71,71,194,195,195,1617,1569,1629,1811,1764,1824
59,Rangpur,51,245,234,849,768,929,2391,2508,2410,3240,3276,3339
60,Thakurgaon,40,141,89,548,538,541,580,722,743,1128,1260,1284
7,Rangpur Divison,345,1411,1226,4064,4935,4314,15129,14144,13957,19193,19079,18271
61,Habiganj,4,9,32,32,32,87,494,494,217,526,526,304
62,Moulvibazar,0,134,110,0,0,0,1277,1277,280,1277,1277,1280
63,Sunamganj,0,131,74,0,0,76,952,930,443,952,930,519
64,Sylhet,35,35,105,560,360,370,1129,1190,938,1689,1550,1308
8,Sylhet Division,39,309,321,592,392,533,3852,3891,2878,4444,4283,3411
BANGLADESH,,5722,21776,19811,108747,109550,180593,147928,243266,210832,256675,352816,391425
