"Table: 2.1.1 Area, Yield Rate and Production of Crops 2017 to 2020.",,,,,,,,,
Crop,2017-18,,,2018-19,,,2019-20,,
,"Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield
(Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
DRUG & NARCOTICS,,,,,,,,,
Chalta,0,0,0,5,61,10,5,61.99,10
Dragon,0,0,0,0.018,2,0.035,0.058,4,0.141
Dalim,0,0,0,1,23,3,1,12,2
Khormchha,0,0,0,0.037,15,0.169,0.027,21,0.171
Sofeda,0,0,0,1,27,7,2,36.17,6
Sharifa,0,0,0,1,26,2,1,28,2
Malta,0,0,0,1,22,3,1,23,3
Other fruits,79,,12,0,,0,0,0,0
Other citrus fruits,522,,22,0,,0,0,0,0
"Total Permanent
Fruits",3615,912,,3667,-,-,809,-,3640
"Total Fruit
(Temporary +
Permanent)",1468,,4901,1106,-,4948,1007,-,4973
