District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
29,Shariatpur,10497,4248,16.89,1.558,6618,8580,3472,18.65,1.720,5973
30,Tangail,36521,14779,17.52,1.616,23884,16746,6777,16.70,1.540,10439
3,"Dhaka
Division",143199,57949,16.78,1.548,89709,99340,40201,16.86,17.283,62536
31,Bagerhat,95568,38674,10.45,0.964,37278,90365,36569,11.82,1.090,39870
32,Chuadanga,877,355,16.79,1.549,550,0,0,0.00,0.000,0
33,Jashore,3478,1407,16.23,1.497,2107,3478,1407,16.56,1.527,2150
34,Jhenaidah,0,0,0,0,0,0,0,0.00,0.000,0
35,Khulna,52748,21346,20.14,1.858,39655,49304,19952,20.42,1.884,37581
36,Kushtia,2851,1154,12.78,1.179,1360,,0,19.54,0.000,0
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
37,Magura,1515,613,19.72,1.819,1115,1027,416,19.39,1.789,743
38,Meherpur,33,13,15.01,1.385,18,0,0,0.00,0.000,0
39,Narail,12073,4886,16.78,1.548,7562,14631,5921,17.22,1.588,9404
40,Satkhira,4478,1812,10.11,0.933,1690,6418,2597,10.30,0.950,2468
4,"Khulna
Division",173621,70261,14.09,1.3,91335,165223,66862,14.95,0.558,92216
41,Jamalpur,56443,22841,17.05,1.573,35922,53312,21574,17.51,1.615,34845
42,Mymensingh,119128,48208,17.95,1.656,79819,106804,43221,14.77,1.362,58884
43,Netrokona,92393,37389,16.04,1.48,55319,62607,25336,15.43,1.423,36059
44,Sherpur,67718,27404,17.06,1.574,43123,69453,28106,19.97,1.842,51772
5,"Mymensingh
Division",335682,135843,17.09,1.577,214183,292176,118237,16.65,0.621,181560
45,Bogura,12865,5206,17.03,1.571,8178,18044,7302,17.21,1.587,11592
46,Joypurhat,1982,802,17.44,1.609,1290,1696,686,18.14,1.673,1149
47,Naogaon,53981,21845,20.41,1.883,41126,1676,678,20.71,1.910,1296
48,Natore,1372,555,15.73,1.451,806,9679,3917,17.87,1.648,6456
49,"Chapai
Nawabganj",8684,3514,18.3,1.688,5932,2855,1155,17.44,1.609,1859
50,Pabna,1677,679,14.52,1.339,909,1676,678,14.16,1.306,886
51,Rajshahi,2117,857,17.63,1.626,1393,1361,551,14.55,1.342,739
52,Sirajganj,12079,4888,20,1.845,9018,9679,3917,18.95,1.748,6846
6,"Rajshahi
Division",94757,38346,19.41,1.79,68651,46666,18885,17.69,1.632,30822
53,Dinajpur,8702,3522,19.42,1.791,6308,8041,3254,23.47,2.165,7045
54,Gaibandha,24980,10109,15.82,1.459,14751,46035,18629,16.64,1.535,28594
55,Kurigram,43280,17514,17.32,1.598,27981,35709,14451,17.76,1.638,23673
56,Lalmonirhat,267,108,15.03,1.386,150,3009,1218,15.21,1.403,1708
57,Nilphamari,1557,630,19.45,1.794,1130,35611,14411,18.81,1.735,25003
58,Panchagar,3451,1397,15.85,1.462,2042,35709,14451,14.04,1.295,18714
59,Rangpur,3213,1300,18.49,1.706,2218,1035,419,15.22,1.404,588
60,Thakurgaon,2199,890,16.56,1.527,1359,108,44,16.83,1.552,68
7,"Rangpur
Divison",87649,35470,17.1,1.577,55939,165257,66876,17.09,1.576,105393
61,Habiganj,7156,2896,17.23,1.589,4602,6879,2784,20.25,1.868,5200
62,Moulvibazar,3925,1588,15.06,1.389,2206,3719,1505,17.77,1.639,2467
63,Sunamganj,42560,17223,15.01,1.385,23846,41386,16748,17.59,1.622,27174
64,Sylhet,120780,48877,17.34,1.599,78176,85899,34761,10.19,0.940,32673
8,"Sylhet
Division",174421,70584,16.72,1.542,108830,137883,55798,13.12,1.210,67513
Bangladesh,,2155120,872130,15.76,1.454,1267655,2071387,838245,15.93,1.470,1232057
