District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
57,Nilphamari,0,228,396,0,0,0,1464,1680,1429,1464,1680,1444
58,Panchagar,0,516,480,0,206,190,1334,1068,1234,1334,1274,1424
59,Rangpur,0,607,601,0,0,0,1512,1383,1320,1512,1383,1320
60,Thakurgaon,0,303,315,0,86,89,695,392,408,695,478,497
7,Rangpur Divison,0,2737,2830,33,329,327,8131,7154,6936,8164,7483,7263
61,Habiganj,0,407,443,0,0,14,1502,1502,821,1502,1502,835
62,Moulvibazar,99,5454,4712,966,966,1064,2264,2264,5205,3230,3230,6269
63,Sunamganj,4,502,497,52,54,53,762,760,700,814,814,753
64,Sylhet,93,473,654,112,301,160,298,5655,784,410,5956,944
8,Sylhet Division,196,6836,6306,1130,1321,1291,4826,10181,7510,5956,11502,8801
BANGLADESH,,1046,31280,31641,4018,5448,8236,64119,66662,72790,68137,72110,81026
