District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
51,Rajshahi,178830,72369,29.41,2.713,196312,180244,72941,30.17,2.783,202992
52,Sirajganj,215486,87202,25.21,2.325,202740,207434,83944,28.27,2.607,218865
6,"Rajshahi
Division",1961568,793804,28.09,2.591,2057113,1927824,780148,29.31,2.704,2109395
53,Dinajpur,643425,260380,32.07,2.958,770155,686614,277858,30.85,2.846,790734
54,Gaibandha,309626,125299,30.26,2.791,349760,312713,126548,29.18,2.692,340664
55,Kurigram,286905,116104,29.38,2.710,314620,271768,109979,30.26,2.791,306961
56,Lalmonirhat,206199,83444,31.06,2.865,239059,206129,83416,31.33,2.890,241070
57,Nilphamari,277937,112475,32.68,3.014,338997,252841,102319,28.43,2.623,268343
58,Panchagar,238585,96550,32.11,2.962,285975,249511,100972,29.62,2.732,275851
59,Rangpur,409123,165563,32.08,2.959,489855,405195,163974,33.43,3.084,505675
60,Thakurgaon,332128,134405,31.07,2.866,385230,319843,129433,31.37,2.893,374465
7,"Rangpur
Divison",2703928,1094220,31.44,2.900,3173651,2704614,1094498,30.74,2.836,3103763
61,Habiganj,253580,102618,27.09,2.499,256459,232141,93942,28.79,2.655,249447
62,Moulvibazar,259729,105107,31.09,2.868,301451,255298,103314,29.95,2.763,285454
63,Sunamganj,184251,74562,27.94,2.577,192140,198392,80285,30.51,2.814,225927
64,Sylhet,356391,144224,26.62,2.455,354070,347257,140527,25.42,2.345,329544
8,"Sylhet
Division",1053951,426511,28.07,2.589,1104121,1033088,418068,28.28,2.608,1090372
,Bangladesh,13892398,5621949,27.10,2.500,14054872,13739227,5559964,27.69,2.555,14203197
