Commodity,Unit,2017-18,,2018-19,,2019-20,
"12075090 Mustard seeds broken
or not",Kg,20098041,979196,16232250,797228,5894444,265963
"1207 Oil seeds, other",Kg,107324,4638,16458639,867513,6338596,428243
"1208 Flours/meal of other oil
seeds nec",Kg,582839,35811,57531,37305,1844320,119916
"12091000Beet seed for sowing,
other",Kg,1373,5321,,23,113488,5107
"12099100Vegetable seeds for
sowing",Kg,1569401,1753761,1674723,1725494,150501920,1722239
"12099900 Seeds, for sowing
other",Kg,4393552,846312,6485277,1415987,4594232,783490
"1211 Plant & part etc use in
perfumery",Kg,20830274,1417352,21612217,1652515,21492892,1440187
"12119019 Plant & part herb etc
for medicine",Kg,24143,1922,181524,11498,653541,38604
"12119091 Plant & part for
insecticidal etc",Value,74231,7629,102380,9930,75911,7719
"13021900 Vegetable saps &
extract: other",Kg,55939,144613,54981,163720,454870,174500
13023100 Mucilages &thickners:,Kg,9616,11794,16580,17722,19226,12221
"14049091 Vegetable products,",kg,142283,14670,71965,7558,3300,1136
"other, nec degummed or not",kg,,,,,,
"1507 Soyabean oil/ fractions
other",Kg,1667775301,109596349,"193506474
7",114490388,1274851470,81219126
1508 Groundnut oil/fraction,Kg,19040,7076,2524797,9051,27239,8880
"15091000 other Olive oil, virgin",Kg,194955,58984,290171,81009,1291023,351517
15099000 Olive oil/fraction other,Kg,451278,88959,631989,114540,-,-
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
15111000 Palm oil crude,Kg,20302279,1183277,342921015,16752311,2875162968,152879778
"1511904 Palm oil/fractions,other",Kg,26637633,1654930,,,2630562661,141073458
15131100 Coconut (copra) oil/,Kg,60,12,2456801,180150,4402436,281702
75131900-fraction other,,575855,84344,1001865,141643,663056,92620
15132100 Palm kernel or,Kg,9242187,1077316,8956808,862397,8657027,811361
"babassu oil, crude",,,,,,,
15132900 Palm kernel/babasu,Kg,4723197,665168,4276507,616167,3292005,479455
oil/frcton other,,,,,,,
"15153000 Castor oil and its
fraction",Kg,236437,86412,268473,98670,307113,92435
"15155000 Sesame oil and its
fraction",Kg,90804,12882,136385,21714,95859,11951
"15162000 Veg fat oil/fraction
hydrogenated",Kg,12832325,1399572,13482110,1404040,12688093,1340312
"15161000 Animal/veg oil fat boil
oxid other",Kg,1213255,53728,546828,28985,225381,26593
1520 Glycerol (glycerine) crude,Liter,759,235,,236,-,79
"15211000 Vegetable waxes
refine/colour or not",Kg,37784,17074,48980,17085,52511,18521
"15219000 Beeswax and other
insect waxs",Kg,18612,6709,13235,9092,10465,6524
"17011400 Cane sugar raw not
add flavor/color",M.ton,2296049,71300242,"229502909
3",68301991,3424010816,103220692
"17011200 Beet sugar raw not
add flavor/color",M.ton,19806,2257,,22,-,1
"17019900 Sugar cane/beet
chem pure/solid other",M.ton,127238990,5179024,19714264,816637,12132629,4625887
"17021900 Sugar: Lactose, solid
form",kg,56245,44523,109714,81531,60060,35960
"17023090 Sugar glucose solid
<20% fructose",Kg,2207844,113367,17506537,87170,2528848,122970
"17026000 Sugar: glucose syrup
<=20% fructose",Kg,8907,1075,13338,3180,8071,893
"17024000 Sugar: fructose/syrup
50% + other",Kg,3,22,9719,945,34427,2765
"17041000 Chewing gum (sugar
coated or not)",Kg,62882,15287,,84,142122,38348
"1805Cocoa powder not added
sugar/sweet",Kg,1527146,2260006,1784010,248725,2177542,316662
"1806 Chocolate/food prep contain
coca",Kg,3386775,905059,2570309,707489,2114264,684510
"19011000 Malt/other prep for
infant/invalid",Kg,7589907,3051409,8014404,3123308,8067460,3343204
"1901901 Malt extract not for retail
sale",Kg,6310786,101663,12534733,2070242,1386887,184201
"1903 Tapioca subst from potato,
other",Kg,6455782,329030,8199664,426850,9314848,489516
"19053100 Sweet biscuits,waffles &
wafers",Kg,234303,51562,241613,70990,177298,66245
2006 Fruit nut fruit peel prsrv by,Kg,19810,15588,287943,18946,281029,20681
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
sugr,,,,,,,
"2007 Jam fruit jelly marma- led
fruit cook",Kg,135784,39635,120401,33328,137312,50454
"20084000 -Pears prep/prsrv /sugar
or not",Kg,1805,479,1148,256,1173,386
20091100 Orange juice other nec,Liter,48196,8248,30919,6521,40976,7751
20099000 Mixture of fruit juice,Liter,527647,69885,773362,101714,675382,91177
2102100 Active yeasts,Kg,4799470,757972,4839141,783553,5420286,861385
"21023000 Prepared baking
powders",Kg,581837,67588,566130,77748,481257,65508
"21039090 Sauces and
preparation, other",Kg,2708218,890457,2358061,342029,2338501,330974
"2104 Soup homogenise composite
food prep",Kg,725257,169814,679136,154610,754183,180887
"2105 Ice cream/Ice cont cocoa or
not",Kg,29414,21058,38993,28459,21438,16048
"2106 Food preparation, other",Kg,14973866,5481505,26972929,6743178,12847758,5935568
"22019000-Water, nec",Liter,394537,24215,237167,16368,244071,17646
"22021000-Mineral water cont
sugar/sweet/flvr",Liter,209834,18893,305607,20567,177713,16906
2203000-Beer made from malt,Liter,3156610,180013,3487336,202740,2436406,161694
22041000-Sparkling wine,Liter,127941,29696,144018,30091,82426,34509
"22042100-Wine other grape must
cont <=2 liter",Liter,47663,18589,73618,21792,73453,26908
"22051000-Vermouth/other wine
cont <=2 liter",Liter,219,80,,,-,16
"22060000-Fermented beverage,
other not cider",Liter,5483,1908,1780,265,-,6
"2208200 Ethyl alchol/other spirit
denatured",Liter,25730,13154,8832,7757,19741,19824
22083000-Whiskies,Liter,920211,337483,1039557,393283,772811,337034
22084000-Rum and Tafia,Liter,19028,16166,6222,1732,7153,2696
"22071000-Undenatured ethyl
alcohol other",Liter,303838,60526,453355,82422,1100512,180972
22090000 Vinegar/substi from,Liter,266010,24889,274240,27913,533605,54541
23040000-Soyabean oil-cake,Kg,61368375,24450797,412082198,16893117,375949421,13818860
"23091000-Preparations use in
animal feed nec",Kg,298678,31226,322550,29327,442648,21685
"24011000-Tobacco N/stem/strip
flucure virginia",Kg,60629,10116,210014,83259,13982,639
24012000-Tobacco whole/part,Kg,1435883,833266,1059890,612844,1688507,1015894
stem/strip virg,,,,,,,
"31021000-Urea Aqueous solution
or not",Kg,1113967245,26894036,"148042715
8",46561812,1194802525,31827256
31022100-Ammonium sulphate,Kg,21660374,365269,23727399,436563,22985443,420532
3103-Super phosphate fertilizer,Kg,77009*7440,20545530,610050533,20785763,586420430,18683839
"31039000-Mineral/chemical
fertilizer nec",Kg,29,49,26500,440,2720,64
31042000-Potassium chloride,Kg,832766455,17150228,77039811,18749597,828815493,20800326
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
310430000-Potassiam sulphate,Kg,10641386,461781,8551016,401572,9258465,428420
"38085000-Malathion,",Kg,12,124,,,-,-
"38089110-Insecticides, nec",Kg,14132799,8746413,16070536,9761921,16495814,9160799
"38092010-Fungicides for
agricultural purpose",Kg,35545839,2846363,,,--,-
3808401-Disinfectants,Kg,,,,,-,-
"40011000-Nturl rubber latex
vulcan or not",Kg,607698,103666,760099,115072,844347,150607
"40012110 Smoked sheet of natural
rubber",Kg,5389160,743849,7086058,907467,8533984,1117966
"40013000-Balata Gutta-percha
guavule chicle",Kg,524,223,57600,9415,19200,3211
"4403-Wood in the rough, other","Cu-
Mtr",14103770,442963,232647094,8150684,262086190,8570176
"45031000-Corks and stoppers,
natural",Kg,28165,7540,21196,4383,-,484
"47020000-Wood pulp chemical
dissolving grade",Kg,8,10,244666,19580,-,-
"47032100 Wood pulp chem
semiblch/blch coni",Kg,35368930,2230008,26668375,1901954,33057020,1877346
"47032900 Wood pulp chem
semiblch/blch N/coni",Kg,282045667,10756992,285212025,18093734,356371,15598793
"47041100 Wood pulp chem
sulphite blech conifer",Kg,5,3,,,-,-
"47072900 Wood pulp chem
sulphite blch N/conifer",Kg,1936728,132907,,,-,-
5002-Raw silk (not thrown),Kg,49156,33340,26648,20793,28727,22401
5105-Wool top,Kg,1289362,246076,135277,309113,224729,285012
"5201 Cotton American RG(rolled
ginned)",M.ton,1653073383,270090055,"152578915
8",268091695,1674773607,290565357
"84081000 Agri pistonengine
disel/semi-disel",No.,4964149,2821601,6114015,4149235,4895,3164073
"84089090-Internal piston engine
comp igni other",No,1955975,2169397,,294749,-,78854
84136000 Rotary pumps,No.,17382338,4866906,20828608,6019639,9214311,266412
"84242010-Appliance other
Agri/horticultural",No.,58812,14055,460367,202853,478170,381435
"84248110-Spraying machine used
in Agri",No.,15000,3110,,2054,-,277159
8432-Ploughs,No.,38247091,5833501,33159016,5091639,9417755,3562814
84322100-Disc harrows,No.,22860,3285,,1642,-,2800
"84329000-Parts, Agri horti mchnry
exel tractor",KG,6401324,409310,8490416,524341,9399107,626048
"84361000-Mchnry preparing
animal feed stuff",No.,11014609,4644517,6421,3451976,5268,2401074
"843621000-Poultry-keep mchnry
incubator broodr",No.,864603,720984,804,444230,1158,871101
"84362900-Poultry farming
machinery",No.,874483,309370,981,362674,1149,389664
"84378010-Machry other for the
working of rice",No.,139685,30853,1299,21085,-,26221
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"84379010--Parts nec of mchnry for
rice huller",Kg,1907544,187792,2895801,302318,2523159,304575
"84379090-Parts nec of grain
milling machnry",Kg,850143,179757,672621,2288101,1031704,179072
"8701-Tractor pedestrian control
Agri, wheel",No.,31264054,7897858,62558,9158358,1028,5456510
