SL:,Name of crops,2015-16,2016-17,2017-18,2018-19,2019-2020
60,Oalkopy,-,-,-,1330,1814
61,Jhinga,-,-,-,2494,2604
62,Chichinga,-,-,-,2156,2448
63,Cucumber,-,-,-,1955,2495
64,karala,-,-,-,2978,3570
65,Utchee,-,-,-,3595,4163
66,Pumpkin,-,-,-,1531,1747
67,Patal,-,-,-,2479,2636
68,Khirai,-,-,-,1629,1989
69,Dhundul,-,-,-,1815,2147
70,Mukhikachu,-,-,-,2284,3400
71,Green papaya,-,-,-,1350,1642
72,Kachur lati,-,-,-,2393,2650
73,Motor shuti,-,-,-,3117,4484
74,Red amaranth,-,-,-,1328,1401
75,Spinach,-,-,-,1323,1459
76,Indian spinach,-,-,-,1082,1152
77,Mula shak,-,-,-,832,1187
78,S.Potato,-,-,-,1804,1911
79,"Green Banana (80
piece)",-,-,-,294,326
80,Pani kachu,-,-,-,1943,2168
81,Chalkumra,-,-,-,-,1583
82,Watergourd,-,-,-,1496,1669
83,Duck/hen-live local,-,-,-,33095,33975
84,Farm(Broilar),-,-,-,12082,10745
85,Duck live,-,-,-,25109,23600
86,Egg-hen-local,-,-,-,975,1008
87,Egg-hen-Farm red (100),-,-,-,724,726
88,"Egg-hen-farm-
white(100)",-,-,-,720,720
89,Egg-duck-local (100),-,-,-,943,979
90,Fruits-Orange (100),-,-,-,1034,1007
91,Jackfruit (100),-,-,-,5827,6108
92,Bel (100),-,-,-,2165,1850
93,"Woodapple(Kadbel)
(100)",-,-,-,1497,1942
94,"Palmyra palm (Tal)
(100)",-,-,-,1644,2378
95,Melon (100),-,-,-,12190,8263
96,Green Coconut (100),-,-,-,2408,2791
97,Water melon (100),-,-,-,2792,3050
98,Litchi (100),-,-,-,188,1488
99,Coconut (100),-,-,-,2401,2711
100,Pineapple-Joldobe(100),-,-,-,1321,2129
101,Pineapple-,-,-,-,2571,2883
,Calender(100),,,,,
102,"Batabi lebu(Jambura)
(100)",-,-,-,1564,1481
103,Lemon kagozi(100),-,-,-,288,292
104,"Ripe Banana-
Chanpa(100)",-,-,-,200,209
105,"Ripe Banana-
Sagor(100)",-,-,-,285,298
106,"Ripe Banana-Sabri
(100)",-,-,-,360,373
107,Grapes,-,-,-,-,-
108,Tamarind,-,-,-,9574,9237
109,Guava,-,-,-,2919,3822
110,Black berry,-,-,-,8250,-
111,Hog palm(amra),-,-,-,2023,2383
112,Kul(boroi),-,-,-,3689,4268
113,Amloki,-,-,-,9394,5951
114,Kamranga,-,-,-,1858,3038
115,Lotkon,-,-,-,4638,6458
116,Safeda,-,-,-,5167,1750
117,Ripe papaya,-,-,-,3467,4423
118,Mango-Guti,-,-,-,2859,2753
119,Mango-Amrupali,-,-,-,4252,5694
120,Mango-Langra,-,-,-,3793,5866
121,Mango-Khirsapati,-,-,-,4550,7113
122,Mango-Fazli,-,-,-,4259,6093
123,Mango-Himsagor,-,-,-,4255,6431
124,Mango-Gopalbhog,-,-,-,3883,4363
125,Mango-Aswini,-,-,-,3061,5828
126,Spices- Onion,-,-,-,2542,6531
127,Garlic,-,-,-,4032,11189
128,Zinger,-,-,-,9329,13003
129,Turmeric,-,-,-,11302,11367
130,Chillies (dry),-,-,-,14626,17952
131,Chillies (green),-,-,-,3907,4092
132,Corriander Seeds,-,-,-,8083,8398
133,Cassia leaf,-,-,-,-,20000
134,Cinnamon,-,-,-,-,37750
135,Cumin,-,-,-,32591,32568
136,Fennel flower (Kalojira),-,-,-,14525,16600
137,Dry fish-Rupchanda,-,-,-,-,-
138,Loitta,-,-,-,-,-
139,Punti,-,-,-,-,-
140,Prawn,-,-,-,-,-
141,Salted Hilsa,-,-,-,-,-
142,Fish-fresh-Rui,-,-,-,22030,23715
143,Mrigel,-,-,-,14299,16026
144,Katol,-,-,-,20095,22014
145,Boal,-,-,-,56447,44613
146,Hilsa,-,-,-,43189,48317
147,koi,-,-,-,14857,14773
148,Cat fish (shing),-,-,-,45364,42962
149,Magur,-,-,-,49318,50719
150,Telapia,-,-,-,11068,11743
151,Sarpunti,-,-,-,11441,14303
152,Pangus,-,-,-,9798,10552
153,Shole,-,-,-,45484,37438
154,Grasscarp,-,-,-,13390,14274
155,Siver carp,-,-,-,11445,11997
156,Mola,-,-,-,21946,18999
157,Aire,-,-,-,-,-
158,Shrimp-Galda,-,-,-,47500,54900
159,Small prawn,-,-,-,34280,34523
160,Others-Betel nut,-,-,-,27209,27207
161,Gur-Sugarcane,-,-,-,6552,6510
162,Gur-dates,-,-,-,8162,8184
163,Muri,-,-,-,5617,5695
164,Chira,-,-,-,4030,3886
165,"Betel leaves (6400
Gadi)",-,-,-,5754,5779
