District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M. Tons),None_3,None_4,Production of Outside Garden (M. Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
20,Gazipur,250.00,251.00,214.00,,95.63,96.74,,782.37,785.26,848,878.00,882.00
21,Gopalganj,308.58,340.30,418.65,,136.27,0.00,,6515.26,5986.10,"6834.7
8",6651.53,5986.10
22,Kishoreganj,36.30,36.96,36.35,,0.00,0.00,,454.65,455.50,446.18,454.65,455.50
23,Madaripur,181.25,181.62,173.97,,0.00,0.00,,8005.52,7196.80,"9852.0
5",8005.52,7196.80
24,Manikganj,45.41,49.23,49.71,,0.00,0.00,,502.33,476.63,351.11,502.33,476.63
25,Munshiganj,14.33,14.68,17.10,,0.00,0.00,,283.02,303.61,280.91,283.02,303.61
26,Narayanganj,10.24,10.98,11.03,,0.00,0.00,,137.13,137.67,119.41,137.13,137.67
27,Narsingdi,42.67,42.74,42.79,,0.00,0.00,,850.25,801.74,857.79,850.25,801.74
28,Rajbari,67.00,68.00,74.23,,0.00,0.00,,2014.36,2079.56,1861.20,2014.36,2079.56
29,Shariatpur,188.20,186.80,184.40,,0.00,0.00,,818.00,846.50,706.29,818.00,846.50
30,Tangail,255.27,197.69,149.92,,33.48,0.00,,1672.82,1483.00,1697.98,1706.30,1483.00
Dhaka Division,None,1537.35,"1518.2
9","1514.4
7",,363.67,192.13,,25288.31,23785.33,27200.19,25651.98,23977.46
31,Bagerhat,92.34,102.54,141.03,,0.00,0.00,,3373.10,3388.06,"2801.9
0",3373.10,3388.06
32,Chuadanga,40.93,41.03,41.31,,6.38,6.55,,254.56,259.19,256.84,260.94,265.74
33,Jashore,196.81,202.89,204.80,,60.65,58.59,,1137.85,1272.66,"1226.8
0",1198.50,1331.25
34,Jhenaidah,154.93,151.91,154.59,,0.00,0.00,,951.31,973.93,953.57,951.31,973.93
35,Khulna,148.97,150.98,99.28,,10.13,0.00,,1550.97,1575.94,"2601.4
0",1561.10,1575.94
36,Kushtia,95.43,97.00,88.00,,0.00,0.00,,1062.00,1256.00,1060,1062.00,1256.00
37,Magura,139.24,140.36,130.79,,0.00,0.00,,826.15,825.98,841.35,826.15,825.98
None,None,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
38,Meherpur,36.14,36.58,37.78,,0.00,0.00,,109.48,114.29,104.16,109.48,114.29
39,Narail,167.92,167.15,167.27,,0.00,0.00,,615.69,613.52,621.95,615.69,613.52
40,Satkhira,493.80,485.45,485.95,,42.55,39.71,,1283.55,1310.84,"1316.7
0",1326.10,1350.55
Khulna Division,None,1566.51,1575.89,1550.80,,119.71,104.85,,11164.66,11590.41,11784.67,11284.37,11695.26
41,Jamalpur,46,48.00,37.00,,0.00,0.00,,532.00,190.00,507,532.00,190.00
42,Mymensingh,566,580.00,592.00,,0.00,0.00,,2632.00,2954.00,2488,2632.00,2954.00
43,Netrokona,55,66.00,58.00,,0.00,0.00,,175.00,181.00,143,175.00,181.00
44,Sherpur,54,56.00,56.00,,0.00,0.00,,291.00,296.00,287,291.00,296.00
Mymensingh Division,None,721,750.00,750.00,,0.00,0.00,,3630.00,3621.00,3425,3630.00,3621.00
45,Bogura,224,224.00,217.00,,0.00,0.00,,4829.00,4358.00,3397,4829.00,4358.00
46,Joypurhat,61,61.00,84.00,,0.00,0.00,,505.00,1068.00,508,505.00,1068.00
47,Naogaon,596,136.00,194.00,,0.00,0.00,,1573.00,1640.00,1905,1573.00,1640.00
48,Natore,193,193.00,246.00,,0.00,0.00,,1413.00,1534.00,1385,1413.00,1534.00
49,Chapai Nawabganj,75,138.00,145.00,,0.00,0.00,,214.00,185.00,192,214.00,185.00
50,Pabna,103,149.00,54.00,,0.00,0.00,,812.00,1087.00,1300,812.00,1087.00
51,Rajshahi,305,345.00,374.00,,0.00,0.00,,1591.00,1375.00,939,1591.00,1375.00
52,Sirajganj,64,65.00,66.00,,0.00,0.00,,1136.00,1135.00,1138,1136.00,1135.00
Rajshahi Division,None,1621,1311.00,1380.00,,0.00,0.00,,12073.00,12382.00,10764,12073.00,12382.00
53,Dinajpur,57,57.00,58.06,,0.00,0.00,,371.66,388.87,377,371.66,388.87
54,Gaibandha,17.36,16.86,17.65,,0.00,0.00,,61.88,60.87,60.49,61.88,60.87
55,Kurigram,8.42,6.70,6.74,,0.00,0.00,,30.30,30.79,23.63,30.30,30.79
56,Lalmonirhat,11.44,11.92,12.47,,0.00,0.00,,44.75,46.69,39.68,44.75,46.69
57,Nilphamari,3,2.55,3.00,,0.00,0.00,,17.39,17.21,17.63,17.39,17.21
58,Panchagar,2.28,3.44,3.80,,0.00,0.00,,0.00,4.65,0,0.00,4.65
59,Rangpur,22.16,21.59,22.07,,0.00,0.00,,393.76,409.41,404,393.76,409.41
60,Tahkurgaon,3.32,3.32,3.39,,0.00,0.00,,6.94,12.56,6.88,6.94,12.56
Rangpur Division,None,124.98,123.38,127.18,,0.00,0.00,,926.68,971.05,929.31,926.68,971.05
61,Habigonj,32.54,156.66,154.99,,0.00,0.00,,216.50,225.69,201.85,216.50,225.69
62,Moulvibazar,1.49,0.84,0.90,,0.00,0.00,,22.40,23.10,20.30,22.40,23.10
63,Sunamganj,86,87.10,87.40,,0.00,0.00,,618.00,600.00,605.03,618.00,600.00
64,Sylhet,0.20,0.40,0.40,,0.00,0.00,,10.16,10.28,5,10.16,10.28
Sylhet Division,None,120.23,245.00,243.69,,0.00,0.00,,867.06,859.07,832.18,867.06,859.07
BANGLADESH,None,12708.34,11176.57,20605.91,,623.88,437.64,,74681.98,,76957.40,75305.86,74593.94
None,None,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,2225.00,2085.00,2083.46,,0.00,0.00,,1461.44,1446.00,1246.68,1461.44,1446.00
2,Barishal,813.00,135.00,144.00,,0.00,0.00,,576.10,589.00,957.00,576.10,589.00
3,Bhola,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
4,Jhallokati,512.00,520.00,522.00,,0.00,0.00,,1054.97,951.00,1185.48,1054.97,951.00
5,Patuakhali,1244.00,1244.00,1246.00,,0.00,0.00,,3666.40,3565.00,3700.00,3666.40,"3565.0
0"
6,Pirojpur,695.00,651.00,649.01,,0.00,0.00,,4162.32,4165.65,4167.00,4162.32,"4165.6
5"
Barishal Division,None,5489.00,4635.00,4644.47,,0.00,0.00,,10921.23,10716.65,11256.16,10921.23,10716.65
7,Bandarban,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
8,Brahmanbaria,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
9,Chandpur,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
10,Chattogram,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
11,Cumilla,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
12,Cox’s Bazar,2.48,2.56,2.61,,0.00,0.00,,79.44,81.79,77.98,79.44,81.79
13,Feni,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
14,Khagrachari,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
15,Lakshmipur,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
16,Noakhali,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
17,Rangamati,5.23,5.38,5.50,,0.00,0.00,,9.70,9.85,9.86,9.70,9.85
Chattogram Division,None,7.71,7.94,8.11,,0.00,0.00,,89.14,91.64,87.84,89.14,91.64
18,Dhaka,6.10,6.27,6.10,,0.00,0.00,,122.32,114.63,122.96,122.32,114.63
19,Faridpur,168.00,172.00,170.00,,93.28,0.00,,2083.19,2182.41,2184.96,2176.47,2182.41
20,Gazipur,189.00,189.00,191.00,,0.00,0.00,,300.00,300.00,304.00,300.00,300.00
21,Gopalganj,120.90,122.11,121.74,,0.00,0.00,,1762.40,3534.72,1820.10,1762.40,3534.72
22,Kishoreganj,4.85,5.24,5.37,,0.00,0.00,,16.81,18.37,17.92,16.81,18.37
23,Madaripur,432.80,432.00,431.72,,0.00,0.00,,4988.43,4880.86,4932.40,14988.43,4880.86
24,Manikganj,41.11,39.66,40.45,,0.00,0.00,,143.07,150.46,192.81,143.07,150.46
25,Munshiganj,3.54,3.78,3.79,,0.00,0.00,,22.58,23.37,21.82,22.58,23.37
26,Narayanganj,3.19,3.17,3.14,,0.00,0.00,,39.22,39.09,39.72,39.22,39.09
27,Narsingdi,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
28,Rajbari,106.44,79.10,77.71,,0.00,0.00,,1048.95,1030.45,1367.00,1048.95,1030.45
29,Shariatpur,211.40,169.45,164.92,,0.00,0.00,,1330.00,1312.00,1456.00,1330.00,1312.00
30,Tangail,1.55,1.51,1.39,,0.00,0.00,,6.09,4.45,7.56,6.09,4.45
Dhaka Division,None,1288.88,1223.29,1217.33,,93.28,0.00,,11863.06,13590.81,12467.25,11956.34,13590.81
31,Bagerhat,131.01,124.24,126.83,,0.00,0.00,,3241.30,3235.28,3112.37,3241.30,3235.28
32,Chuadanga,33.80,33.78,33.78,,35.31,0.00,,1099.79,1071.95,1147.00,1135.10,1071.95
33,Jashore,162.78,153.78,151.23,,84.00,83.94,,3269.83,3346.00,2887.57,3353.83,3429.94
34,Jhenaidah,57.93,60.77,62.68,,256.26,255.89,,1246.82,1250.30,1492.64,1503.08,1506.19
35,Khulna,210.15,116.95,118.30,,0.00,0.00,,1298.02,1261.58,1251.60,1298.02,1261.58
36,Kushtia,16.00,16.00,20.00,,0.00,0.00,,705.00,1148.00,704.00,705.00,1148.00
37,Magura,117.41,105.14,93.51,,0.00,0.00,,1729.19,1770.61,1688.46,1729.19,1770.61
38,Meherpur,21.97,22.31,22.49,,0.00,0.00,,218.78,177.60,232.33,218.19,177.60
39,Narail,516.69,517.33,516.16,,0.00,0.00,,6365.67,6349.97,4548.47,6365.67,6349.97
40,Satkhira,804.64,804.27,800.20,,320.09,314.60,,4903.33,4864.38,5208.22,"5223.4
2","5178.9
8"
Khulna Division,None,2072.38,1954.57,1945.19,,695.66,654.44,,24077.73,24475.66,22272.66,24773.39,25130.09
None,None,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,43.00,56.00,52.00,,0.00,0.00,,12.00,40.00,10.57,12.00,40.00
42,Mymensingh,23.00,22.00,23.00,,0.00,0.00,,47.00,48.00,49.76,47.00,48.00
43,Netrokona,1.30,1.30,1.30,,0.00,0.00,,4.00,4.00,4.30,4.00,4.00
44,Sherpur,15.00,15.00,15.00,,0.00,0.00,,62.00,56.00,71.56,62.00,56.00
Mymensingh Division,None,82.30,94.30,91.30,,0.00,0.00,,125.00,148.00,136.19,125.00,148.00
45,Bogura,110.00,284.00,264.40,,0.00,0.00,,627.98,874.81,615.60,627.98,874.81
46,Joypurhat,25.00,25.00,38.61,,0.00,0.00,,278.97,293.00,272.00,275.97,293.00
47,Naogaon,178.00,178.00,236.05,,0.00,0.00,,2419.33,3436.16,2409.00,2419.33,3436.16
48,Natore,194.00,193.00,195.30,,0.00,0.00,,2019.31,1223.72,2016.66,2019.31,1223.72
49,Chapai Nawabganj,143.00,143.00,89.69,,0.00,0.00,,609.07,924.90,610.27,609.07,924.90
50,Pabna,157.00,157.00,48.05,,0.00,0.00,,653.96,553.13,655.62,653.96,553.13
51,Rajshahi,395.00,395.00,390.34,,0.00,0.00,,3547.78,3367.25,3538.99,3547.78,3367.25
52,Sirajganj,3.00,65.00,61.93,,0.00,0.00,,30.81,25.90,23.00,30.80,25.90
Rajshahi Division,None,1205.00,1440.00,1324.37,,0.00,0.00,,10184.21,10698.87,10141.14,10184.21,10698.87
53,Dinajpur,45.00,47.00,48.74,,0.00,0.00,,180.00,299.80,189.00,180.00,299.80
54,Gaibandha,7.60,8.03,8.41,,0.00,0.00,,26.55,25.47,25.98,26.55,25.47
55,Kurigram,2.47,2.50,3.00,,0.00,0.00,,6.15,6.00,6.14,6.15,6.00
56,Lalmonirhat,17.54,18.84,19.11,,0.00,0.00,,160.40,164.33,151.25,160.40,164.33
57,Nilphamari,1.98,1.95,2.11,,0.00,0.00,,21.09,21.65,18.49,21.09,21.65
58,Panchagar,0.81,2.93,3.57,,0.00,0.00,,2.75,2.03,1.50,2.75,2.03
59,Rangpur,13.52,16.21,17.25,,0.00,0.00,,124.50,261.08,113.55,124.50,261.08
60,Tahkurgaon,1.27,1.49,1.49,,0.00,0.00,,21.95,22.25,16.15,21.95,22.25
Rangpur Division,None,90.19,98.95,103.68,,0.00,0.00,,543.39,802.61,522.06,543.39,802.61
61,Habigonj,0,0,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,2.71,2.71,2.78,,0.00,0.00,,17.40,19.00,16.90,17.40,19.00
63,Sunamganj,0,0,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,2.71,2.71,2.78,,0.00,0.00,,17.40,19.00,16.90,17.40,19.00
BANGLADESH,None,10238.17,9456.76,9337.24,,788.94,654.44,,57821.16,60543.23,56900.20,58610.10,61197.67
