District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
Chattogram Division,None,16856,18014.09,20492.75,62807,62883.73,62190.61,127644,126100.37,125189.91,190451,188984.10,187380.52
18,Dhaka,216,1148.79,3741.14,1068,1094.96,1073.52,2573,11931.04,2691.33,3641,13026.00,3764.85
19,Faridpur,1353,1317.00,1321.00,1054,1054.32,1096.36,11837,11971.67,12152.90,12891,13025.99,"13249.2
6"
20,Gazipur,6684,6685.00,6714.00,14148,14153.83,14269.83,87603,87947.17,89065.17,101751,102101.00,103335.00
21,Gopalganj,183,204.83,211.63,412,454.02,0.00,2054,1959.78,2531.99,2466,2413.80,2531.99
22,Kishoreganj,230,962.11,1245.98,962,992.04,1015.96,24756,25307.16,25443.61,25718,26299.20,26459.57
23,Madaripur,197,195.20,196.33,0,0.00,0.00,2161,2467.55,2556.87,2161,2467.55,2556.87
24,Manikganj,1421,1108.55,1007.94,0,0.00,0.00,5887,6621.05,6554.14,5887,6621.05,6554.14
25,Munshiganj,59,59.61,62.13,0,0.00,0.00,826,832.25,866.86,826,832.25,866.86
26,Narayanganj,30,34.37,35.10,158,127.71,130.20,1847,1731.80,1745.16,2005,1859.51,1875.36
27,Narsingdi,1358,1442.44,1448.33,4486,4620.96,4461.04,22889,23569.77,23121.29,27375,28190.73,27582.33
28,Rajbari,562,563.72,500.62,8009,7190.17,3488.89,9703,9901.93,12591.96,17712,17092.10,16080.85
29,Shariatpur,177,176.39,169.13,0,0.00,0.00,1316,1446.00,1490.41,1316,1446.00,1490.41
30,Tangail,2556,2606.18,2782.82,13941,12420.44,11800.58,52559,46473.89,44210.08,66500,58894.33,56010.66
Dhaka Division,None,15026,16504.19,19436.15,44238,42108.45,37336.38,226011,232161.06,225021.77,270249,274269.51,262358.15
31,Bagerhat,139,138.22,146.78,126,100.70,0.00,2740,2267.57,2400.13,2866,2368.27,2400.13
32,Chuadanga,356,355.95,345.31,2601,2602.60,2613.67,2981,2975.39,2978.53,5582,5577.99,5592.20
33,Jashore,924,918.01,882.95,5309,5850.38,5798.79,5976,5993.61,5940.85,11285,11843.99,11739.64
34,Jhenaidah,762,799.42,803.90,5007,4950.07,4904.76,8713,8873.55,8835.68,13720,13823.62,13740.44
35,Khulna,528,552.84,182.60,290,289.39,304.25,3884,3901.55,3833.79,4174,4190.94,4138.04
36,Kushtia,536,649.00,3465.00,18090,18334.04,18601.98,57044,58244.96,56920.02,75134,76579.00,75522.00
37,Magura,435,358.33,544.09,1055,657.32,645.64,3545,2516.26,3567.63,4600,3173.58,4213.27
38,Meherpur,329,757.07,2238.29,4507,4348.40,4219.99,4846,4717.97,4993.81,9353,9066.37,9213.80
39,Narail,822,823.59,825.74,639,610.08,609.12,7293,7452.32,7457.62,7932,8062.40,8066.74
40,Satkhira,1340,1355.78,1353.45,2959,3007.64,2801.09,2994,2621.92,2773.05,5953,5629.56,5574.14
Khulna Division,None,6171,6708.21,10788.11,40583,40750.62,40499.29,100016,99565.10,99701.11,140599,140315.72,140200.40
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,2878,2784.00,2787.00,1380,1337.09,1337.09,27272,27456.91,27540.91,28652,28794.00,28878.00
42,Mymensingh,1019,1081.00,"10818.0
0",2837,2565.51,2518.72,31332,33264.49,33458.28,34169,35830.00,35977.00
43,Netrokona,986,1038.00,3240.00,0,0.00,0.00,27458,27034.00,24122.00,27458,27034.00,24122.00
44,Sherpur,286,992.00,1300.00,815,828.61,967.03,11312,11614.39,10861.97,12127,12443.00,11829.00
Mymensingh Division,None,5169,5895.00,18145.00,5032,4731.21,4822.84,97374,99369.79,95983.16,102406,104101.00,100806.00
45,Bogura,2169,2169.00,2155.00,2134,2955.82,3002.41,16591,26005.18,25829.59,18725,28961.00,28832.00
46,Joypurhat,231,257.00,203.00,380,428.40,221.28,2640,2981.60,2976.72,3020,3410.00,3198.00
47,Naogaon,591,532.00,502.00,839,726.66,778.16,11142,9588.34,10296.84,11981,10315.00,11075.00
48,Natore,1115,1573.00,1580.00,2545,"19315.4
3",1618.00,9471,3786.43,14175.00,12016,23101.86,15793.00
49,Chapai Nawabganj,722,729.00,1000.00,834,864.25,793.22,2215,2200.79,2022.78,3049,3065.04,2816.00
50,Pabna,1412,923.00,916.00,6541,5778.68,4609.54,22565,19958.32,20022.46,29106,25737.00,24632.00
51,Rajshahi,1130,1137.00,1111.00,2106,1888.60,1255.15,8702,8280.40,7883.85,10808,10169.00,9139.00
52,Sirajganj,366,380.00,396.00,3151,191.00,162.99,13794,15008.40,15406.01,16945,15199.40,15569.00
Rajshahi Division,None,7736,7700.00,7863.00,18530,32148.84,12440.75,87120,87809.46,98613.25,105650,119958.30,111054.00
53,Dinajpur,2526,2492.00,2534.00,10382,10096.60,9471.98,25433,23779.40,22436.02,35815,33876.00,31908.00
54,Gaibandha,601,607.08,611.10,0,0.00,0.00,11610,12485.00,12493.90,11610,12485.00,12493.90
55,Kurigram,698,700.25,699.00,354,366.55,368.28,9230,9880.15,9916.72,9584,10246.70,10285.00
56,Lalmonirhat,1021,1023.16,1026.80,380,276.51,269.16,9743,7183.75,7186.89,10123,7460.26,7456.05
57,Nilphamari,1270,1129.43,1127.69,734,919.77,816.79,30211,27418.02,24823.21,30945,28337.79,25640.00
58,Panchagar,545,570.89,1572.25,1093,975.44,854.36,23032,24919.06,25118.44,24125,25894.50,25972.80
59,Rangpur,710,704.27,706.55,1629,1663.85,1685.42,15694,15585.36,15795.48,17323,17249.21,17480.90
60,Thakurgaon,985,3161.00,994.25,4007,4060.66,4089.89,5135,5148.26,5206.15,9142,9208.92,9296.04
Rangpur Divison,None,8356,10388.08,9271.64,18579,18359.38,17555.88,130088,126399.00,122976.81,148667,144758.38,140532.69
61,Habiganj,947,949.70,10856.77,2642,2839.15,2806.25,21008,22224.99,21087.63,23650,25064.14,23893.88
62,Moulvibazar,987,1095.96,1102.78,3291,3273.29,3392.33,5420,7320.84,7623.72,8711,10594.13,11016.05
63,Sunamganj,1058,1063.00,1064.70,0,0.00,0.00,6197,6255.00,6553.00,6197,6255.00,6553.00
64,Sylhet,927,889.00,913.00,1295,1314.42,1815.97,4738,4927.58,7158.03,6033,6242.00,8974.00
Sylhet Division,None,3919,3997.66,13937.25,7228,7426.86,8014.55,37363,40728.41,42422.38,44591,48155.27,50436.93
BANGLADESH,None,69161,75842.04,112863.90,197530,208917.83,183366.94,852360,837044.85,841997.75,1049890,1062302.28,1025364.69
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
1,Barguna,152.00,2691.00,2625.00,72.19,189.69,150.86,696,668.31,603.94,,858.00,754.80
2,Barishal,190.00,658.00,424.00,420.00,147.02,126.27,2330,5420.98,4923.73,,5568.00,5050.00
3,Bhola,122.00,78.00,120.00,241.37,194.32,238.75,838,759.68,836.55,,954.00,1075.30
4,Jhallokati,156.00,164.00,166.00,10.32,24.48,29.84,300,1529.52,1617.16,,1554.00,1647.00
5,Patuakhali,242.00,765.00,742.00,0.00,0.00,0.00,877,345.00,409.55,,345.00,409.55
6,Pirojpur,328.00,42.00,42.00,162.58,142.16,243.40,775,620.84,1039.00,,763.00,1282.40
Barishal Division,None,1190.0,4398.00,4119.00,906.46,697.67,789.12,5816,9344.33,9429.93,,10042.00,10219.05
7,Bandarban,278.00,277.60,278.81,1341.56,1334.46,1358.73,3427,857.17,861.35,,2191.63,2220.09
8,Brahmanbaria,37.00,47.33,49.84,137.55,233.38,251.70,569,421.46,394.89,,654.84,646.60
9,Chandpur,250.00,251.24,251.24,15.46,0.00,0.00,1647,2502.53,2518.53,,2502.53,2518.53
10,Chattogram,255.00,256.06,235.70,657.41,709.99,766.18,3427,2084.32,2026.42,,2794.31,2792.60
11,Cumilla,344.00,944.00,1015.74,358.01,364.21,367.27,2168,2045.79,2060.44,,2410.00,2427.71
12,Cox’s Bazar,206.00,206.08,208.74,2558.14,2568.56,2548.36,5809,1824.51,1858.01,,4393.07,4406.37
13,Feni,137.00,131.80,75.62,0.00,0.00,0.00,493,614.00,397.50,,614.00,397.50
14,Khagrachari,104.00,344.62,362.87,1110.70,1218.04,1226.23,2326,1264.14,1236.80,,2482.18,2463.03
15,Lakshmipur,184.00,184.11,165.61,350.27,354.39,172.26,3048,3645.89,4330.18,,4000.28,4502.44
16,Noakhali,153.00,258.60,257.70,0.00,0.00,0.00,2032,2324.78,2403.56,,2324.78,2403.56
17,Rangamati,478.00,476.96,498.57,2800.89,3064.18,3064.18,4638,2181.52,2286.90,,5245.70,5351.08
Chattogram Division,None,2426.00,3378.40,3400.43,9329.99,9847.21,9754.91,29584,19766.11,20374.60,,29613.32,30129.51
18,Dhaka,304.67,130.61,132.40,719.74,318.00,322.37,1443,1453.54,1470.08,,1771.54,1792.45
19,Faridpur,111.00,112.00,110.00,201.95,236.37,427.11,580,906.63,1444.89,,1143.00,1872.00
20,Gazipur,299.00,300.00,302.00,971.19,1028.30,1267.47,1563,735.70,519.53,,1764.00,1787.00
21,Gopalganj,119.23,119.92,115.89,410.20,435.29,427.74,1551,684.31,697.00,,1119.60,1124.74
22,Kishoreganj,85.17,110.47,101.63,246.75,298.21,263.77,1105,1208.09,1056.13,,1506.30,1319.90
23,Madaripur,139.36,138.46,135.33,644.29,698.27,773.02,580,525.63,588.81,,1223.90,1361.83
24,Manikganj,160.39,162.00,165.20,271.88,277.85,287.34,1365,1496.91,1561.80,,1774.76,1849.14
25,Munshiganj,94.26,94.42,95.77,25.89,25.56,27.69,461,559.07,597.07,,584.63,624.76
26,Narayanganj,68.19,67.30,65.99,235.65,230.59,231.15,933,635.36,631.82,,865.95,862.97
27,Narsingdi,182.92,294.44,297.43,2075.71,2498.99,2671.54,1680,1351.41,1493.52,,3850.40,4165.06
28,Rajbari,102.76,105.49,102.55,936.85,1001.25,1121.51,729,1032.35,1110.72,,2033.60,2232.23
29,Shariatpur,236.77,185.84,194.69,20.90,24.75,29.17,1894,1968.35,1972.84,,1993.10,2002.01
30,Tangail,399.07,405.97,411.76,999.91,1046.01,1111.38,5719,3945.99,4105.62,,4992.00,5217.00
Dhaka Division,None,2302.79,2226.92,2230.64,7760.91,8119.44,8961.27,19603,16503.34,17249.82,,24622.78,26211.09
31,Bagerhat,92.98,82.57,117.69,23.22,22.88,37.59,1014,993.72,1676.93,,1016.60,1714.52
32,Chuadanga,71.51,71.99,71.91,1427.31,1380.53,1195.91,4104,582.17,450.63,,1962.70,1646.54
33,Jashore,242.08,171.29,175.78,1691.39,1086.14,1114.78,3242,2193.46,901.23,,3279.60,2016.01
34,Jhenaidah,111.27,115.88,120.90,732.84,768.27,796.92,1150,472.73,542.78,,1241.00,1339.70
35,Khulna,240.71,220.73,223.07,286.76,305.53,307.35,1020,1010.25,1074.85,,1315.78,1382.20
36,Kushtia,132.00,129.00,138.00,1452.46,1312.34,874.53,4779,4279.66,4163.47,,5592.00,5038.00
37,Magura,315.57,204.47,196.04,1441.88,1471.23,1479.63,2404,932.07,985.44,,2403.30,2465.07
38,Meherpur,53.55,61.64,56.08,935.60,1046.47,678.29,1073,430.41,300.06,,1476.88,978.35
39,Narail,202.34,203.13,204.55,647.34,647.74,546.88,1680,729.00,795.18,,1376.74,1342.06
40,Satkhira,362.94,366.16,364.71,749.15,751.08,793.75,2224,885.48,936.71,,1636.56,1730.46
Khulna Division,None,1824.95,1626.86,1668.73,9387.95,8792.21,7825.61,22690,12508.95,11827.29,,21301.16,19652.91
41,Jamalpur,342.00,363.00,371.00,797.47,438.92,454.69,2950,3751.08,3865.31,,4190.00,4320.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24
42,Mymensingh,417.00,918.16,922.00,860.81,860.91,971.15,3921,4985.09,5045.85,,5846.00,6017.00
43,Netrokona,113.00,121.07,123.00,59.23,152.58,165.79,1254,1316.42,1344.21,,1469.00,1510.00
44,Sherpur,112.00,109.64,111.00,37.60,8.00,6.40,1506,1229.00,1007.60,,1237.00,1014.00
Mymensingh Division,None,984.00,1511.87,1527.00,1755.11,1460.41,1598.04,9631,11281.59,11262.97,,12742.00,12861.00
45,Bogura,257.00,258.00,259.00,7485.97,1908.63,2065.21,4100,2010.37,1922.29,,3919.00,3987.51
46,Joypurhat,103.00,103.00,104.00,425.20,488.54,530.50,585,270.46,295.97,,759.00,826.47
47,Naogaon,134.00,138.00,142.00,145.63,283.25,271.24,1914,1772.75,1881.48,,2056.00,2152.72
48,Natore,516.00,515.00,521.00,4285.16,4620.60,4357.85,13049,3425.40,3351.67,,8046.00,7709.53
49,Chapai Nawabganj,85.00,65.00,211.00,530.37,594.78,325.37,1229,702.22,375.54,,1297.00,700.91
50,Pabna,446.00,257.00,192.00,590.22,590.38,681.90,3127,3941.62,3547.08,,4532.00,4228.98
51,Rajshahi,304.00,1382.00,1419.00,7485.97,7688.77,8047.96,7785,1911.23,1901.78,,9600.00,9949.74
52,Sirajganj,351.00,352.00,344.00,63.62,78.45,71.41,2986,3206.55,3191.21,,3285.00,3262.62
Rajshahi Division,None,2196.00,3070.00,3192.00,21012.14,16253.40,16351.45,34775,17240.60,16467.02,,33494.00,32818.47
53,Dinajpur,257.00,248.00,243.36,567.90,412.07,449.15,1884,1583.93,1724.71,,1996.00,2173.86
54,Gaibandha,155.61,164.00,162.21,648.93,664.99,711.49,1620,1142.41,1233.77,,1807.40,1945.26
55,Kurigram,104.49,103.78,110.00,68.92,73.62,89.55,1544,780.00,977.45,,853.62,1067.00
56,Lalmonirhat,94.44,94.44,102.42,135.63,132.85,147.23,741,669.26,705.43,,802.11,852.66
57,Nilphamari,75.09,77.70,79.93,171.30,169.95,169.02,1671,1072.28,1076.45,,1242.23,1245.47
58,Panchagar,67.76,68.91,70.05,451.42,477.81,489.28,1025,889.05,955.27,,1366.86,1444.55
59,Rangpur,108.32,115.17,125.35,379.14,507.78,558.27,1371,1217.42,1212.93,,1725.20,1771.20
60,Thakurgaon,42.58,126.40,42.74,37.04,38.44,38.19,524,569.46,586.45,,607.90,624.65
Rangpur Divison,None,905.29,998.40,936.06,2460.28,2477.51,2652.20,10380,7923.81,8472.45,,10401.32,11124.64
61,Habiganj,42.22,45.02,46.02,167.80,96.26,87.62,481,539.30,539.44,,635.56,627.06
62,Moulvibazar,171.54,164.75,142.20,49.04,50.89,54.69,1195,1002.79,1023.68,,1053.68,1078.37
63,Sunamganj,165.00,169.00,170.00,46.92,49.45,45.15,570,476.55,481.85,,526.00,527.00
64,Sylhet,92.00,392.59,247.91,299.45,314.45,79.72,1084,570.55,828.66,,885.00,908.38
Sylhet Division,None,470.76,771.36,606.13,563.21,511.05,267.18,3330,2589.19,2873.63,,3100.24,3140.81
,BANGLADESH,12299.79,17981.81,17679.99,53176.05,48158.90,48199.77,135809,97157.92,97957.71,,145316.82,146157.48
