District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
Mymensingh Division,None,2860.00,2838.00,2841.00,0.00,0.00,0.00,,24622.00,24643.00,24803.00,24622.00,24643.00
45,Bogura,329.00,326.00,329.26,0.00,0.00,18.07,,8986.00,9009.51,8695.00,8986.00,9027.58
46,Joypurhat,113.00,113.00,113.50,194.25,182.78,190.61,,1238.22,1298.55,1512.00,1421.00,1489.16
47,Naogaon,276.00,257.00,256.75,2.68,2.92,3.01,,2965.08,3090.49,2705.00,2968.00,3093.50
48,Natore,776.00,762.00,803.29,0.00,0.00,0.00,,10097.00,10216.72,10106.00,10097.00,10216.72
49,Chapai Nawabganj,109.00,160.00,135.60,0.00,0.00,0.00,,1009.00,1027.84,889.00,1009.00,1027.84
50,Pabna,727.00,153.00,159.83,1059.56,258.41,232.80,,9544.59,8637.60,11931.00,9803.00,8870.40
51,Rajshahi,875.00,876.00,878.08,1125.25,1094.52,1062.32,,10280.48,10082.57,11288.00,11375.00,11144.89
52,Sirajganj,176.00,168.00,170.00,0.00,0.00,0.00,,4679.00,4605.51,4670.00,4679.00,460.51
Rajshahi Division,None,3381.00,2815.00,2846.31,2381.74,1538.63,1506.81,,48799.37,47968.79,51796.00,50338.00,49475.56
53,Dinajpur,324.08,335.00,340.00,0.00,0.00,0.00,,2359.00,3557.00,2077.00,2359.00,3557.00
54,Gaibandha,580.68,580.68,575.32,0.00,0.00,0.00,,2206.98,2296.83,2206.98,2206.98,2296.83
55,Kurigram,85.93,93.39,64.00,0.00,0.00,0.00,,565.65,739.00,553.43,565.65,739.00
56,Lalmonirhat,74.89,75.00,69.30,0.00,0.00,0.00,,758.54,810.69,754.26,758.54,810.69
57,Nilphamari,106.04,108.33,110.99,1.74,1.64,1.58,,1697.11,1708.19,1655.44,1698.75,1709.77
58,Panchagar,127.43,125.31,125.96,56.71,48.64,52.97,,1777.25,1812.03,2054.67,1825.89,1865.00
59,Rangpur,154.20,155.75,156.54,0.00,0.00,0.00,,2390.92,2788.00,2311.00,2390.92,2788.00
60,Thakurgaon,58.30,58.34,58.44,0.00,0.00,0.00,,709.61,714.68,709.09,709.61,714.68
Rangpur Divison,None,1511.55,1531.80,1500.55,58.45,50.28,54.55,,12465.06,14426.42,12321.87,12515.34,14480.97
61,Habiganj,780.02,1020.35,1037.11,0.00,0.00,0.00,,4303.58,3749.01,3569.19,4303.58,3749.01
62,Moulvibazar,258.69,261.51,257.37,0.00,0.00,0.00,,4580.86,4363.47,4566.38,4580.86,4363.47
63,Sunamganj,187.00,178.00,178.00,0.00,0.00,0.00,,3352.00,3353.00,3120.00,3352.00,3353.00
64,Sylhet,1063.00,1059.00,1009.17,104.27,105.60,39.00,,1335.40,1717.33,1395.00,1441.00,1756.33
Sylhet Division,None,2288.71,2518.86,2481.65,104.27,105.60,39.00,,13571.84,13182.81,12650.57,13677.44,13221.81
,BANGLADESH,61093.89,55360.28,56665.53,33939.86,32470.10,29597.18,,424618.11,439562.14,458855.24,457088.21,469159.32
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,134.10,118.94,118.57,0.00,0.00,0.00,,36.20,44.00,35.36,36.20,44.00
2,Barishal,219.60,60.00,62.29,0.00,0.00,0.00,,235.00,247.00,245.00,235.00,247.00
3,Bhola,44.35,26.33,29.33,0.00,0.00,0.00,,96.25,94.88,97.95,96.25,94.88
4,Jhallokati,109.00,109.00,106.00,0.00,0.00,0.00,,71.00,76.00,80.00,71.00,76.00
5,Patuakhali,40.46,40.46,40.86,0.00,0.00,0.00,,40.83,42.35,52.44,40.83,42.35
6,Pirojpur,29.60,29.60,30.09,0.00,0.00,0.00,,96.79,100.01,95.89,96.79,100.01
Barishal Division,None,577.11,384.33,387.14,0.00,0.00,0.00,,576.07,604.24,606.64,576.07,604.24
7,Bandarban,291.50,292.00,292.00,28.16,28.18,28.48,,136.82,136.52,164.56,165.00,165.00
8,Brahmanbaria,74.19,64.23,65.50,6.71,0.00,0.00,,187.74,195.10,183.17,187.74,195.10
9,Chandpur,33.31,32.23,32.20,0.00,0.00,0.00,,169.56,170.70,169.56,169.56,170.70
10,Chattogram,65.53,67.04,66.50,0.00,0.00,0.00,,422.45,421.70,414.44,422.45,421.70
11,Cumilla,128.62,129.65,130.40,0.00,0.00,0.00,,507.00,508.80,488.38,507.00,508.80
12,Cox’s Bazar,24.58,32.39,33.50,0.00,0.00,0.00,,263.16,250.20,261.84,263.16,250.20
13,Feni,42.74,43.27,50.10,0.00,0.00,0.00,,47.04,52.60,45.48,47.04,52.60
14,Khagrachari,176.88,164.80,169.70,35.78,35.15,34.71,,446.93,460.89,475.11,482.08,495.60
15,Lakshmipur,47.96,50.57,44.00,0.00,0.00,0.00,,253.52,262.00,270.95,253.52,262.00
16,Noakhali,21.63,31.96,34.20,0.00,0.00,0.00,,143.46,149.90,131.95,143.46,149.90
17,Rangamati,461.50,464.28,466.90,10.05,9.90,9.58,,530.23,515.72,536.00,540.13,525.30
Chattogram Division,None,1368.44,1372.42,1385.00,80.70,73.23,72.77,,3107.91,3124.13,3141.44,3181.14,3196.90
18,Dhaka,9.02,26.82,23.64,0.00,0.00,0.00,,142.16,137.18,99.23,142.16,137.18
19,Faridpur,42.00,79.00,79.00,0.00,0.00,0.00,,85.65,101.39,65.68,85.65,101.39
20,Gazipur,91.00,92.00,95.00,8.64,8.40,8.43,,340.70,351.47,343.70,349.10,359.90
21,Gopalganj,13.74,12.20,14.09,0.00,0.00,0.00,,57.49,63.10,45.68,57.49,63.10
22,Kishoreganj,105.16,94.92,93.83,16.41,16.00,15.40,,492.92,475.83,525.13,508.92,491.23
23,Madaripur,4.04,4.07,3.95,0.00,0.00,0.00,,21.13,20.82,21.46,21.13,20.82
24,Manikganj,29.62,32.64,35.60,0.00,0.00,0.00,,104.00,117.00,107.30,104.00,117.00
25,Munshiganj,4.70,5.16,8.15,0.00,0.00,0.00,,28.94,45.11,26.45,28.94,45.11
26,Narayanganj,15.51,14.94,14.51,0.00,0.00,0.00,,98.50,97.63,99.69,98.50,97.63
27,Narsingdi,118.39,105.47,104.70,106.76,0.00,0.00,,905.44,875.51,778.74,905.44,875.51
28,Rajbari,5.17,5.13,5.57,0.00,0.00,0.00,,35.27,44.03,36.75,35.27,44.03
29,Shariatpur,10.95,11.13,10.34,0.00,0.00,0.00,,82.30,80.21,90.20,82.30,80.21
30,Tangail,83.85,85.42,83.59,58.96,60.86,59.57,,718.96,698.75,735.80,779.82,758.32
Dhaka Division,None,533.15,568.90,571.97,190.77,85.26,83.40,,3113.46,3108.03,2975.81,3198.72,3191.43
31,Bagerhat,32.83,33.76,34.52,0.00,0.00,0.00,,165.64,160.89,209.00,165.64,160.89
32,Chuadanga,3.90,3.93,7.37,0.00,0.00,0.00,,15.72,23.03,16.00,15.72,23.03
33,Jashore,80.40,79.42,77.19,28.43,6.77,6.23,,231.88,238.77,256.00,238.65,245.00
34,Jhenaidah,34.70,36.07,37.46,0.00,0.00,0.00,,76.75,80.54,73.00,76.75,80.54
35,Khulna,51.38,51.01,52.77,0.00,0.00,0.00,,128.97,130.17,132.00,128.97,130.17
36,Kushtia,3.00,3.00,2.00,0.00,0.00,0.00,,18.53,8.00,20.00,18.53,8.00
37,Magura,17.07,16.25,16.33,0.00,0.00,0.00,,101.08,101.96,98.00,101.08,101.96
38,Meherpur,3.09,3.48,4.67,0.00,0.00,0.00,,2.14,2.98,2.00,2.14,2.98
39,Narail,68.75,61.26,44.00,0.00,0.00,0.00,,28.10,29.00,26.00,28.10,29.00
40,Satkhira,78.63,79.77,80.18,0.00,0.00,0.00,,114.65,117.35,114.00,114.65,117.35
Khulna Division,None,373.75,367.95,356.49,28.43,6.77,6.23,,883.46,892.69,946.00,890.23,898.92
41,Jamalpur,201.00,201.00,207.00,0.00,0.00,0.00,,1133.0,1172.0,1136.0,1133.0,1172.0
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
,,,,,,,,,0,0,0,0,0
42,Mymensingh,551.00,551.00,571.00,0.00,0.00,0.00,,"2114.0
0","2199.0
0","2111.0
0","2114.0
0","2199.0
0"
43,Netrokona,201.00,130.00,134.00,0.00,0.00,0.00,,975.00,969.00,968.00,975.00,969.00
44,Sherpur,52.48,52.00,51.00,0.00,0.00,0.00,,498.00,496.00,489.00,498.00,496.00
Mymensingh Division,None,1005.48,934.00,963.00,0.00,0.00,0.00,,4720.00,4836.00,4704.00,4720.00,4836.00
45,Bogura,110.20,109.00,81.00,0.00,0.00,0.00,,492.00,318.00,480.00,492.00,318.00
46,Joypurhat,29.80,30.00,30.00,0.00,0.00,0.00,,187.00,197.00,194.00,187.00,197.00
47,Naogaon,61.40,58.00,55.00,29.34,38.56,40.58,,531.44,537.42,429.00,570.00,578.00
48,Natore,21.00,26.00,28.00,5.91,4.67,4.76,,168.33,174.24,173.00,173.00,179.00
49,Chapai Nawabganj,0.10,0.20,0.23,0.00,0.00,0.00,,1.00,1.00,0.41,1.00,1.00
50,Pabna,3.40,3.00,5.00,0.00,0.00,0.00,,31.00,45.00,28.00,31.00,45.00
51,Rajshahi,40.30,31.00,31.00,0.00,0.00,0.00,,128.00,111.00,145.00,128.00,111.00
52,Sirajganj,21.00,21.00,27.00,0.00,0.00,0.00,,313.00,328.00,281.00,313.00,328.00
Rajshahi Division,None,287.20,278.20,257.23,35.25,43.23,45.34,,1851.77,1711.66,1730.41,1895.00,1757.00
53,Dinajpur,56.00,42.00,44.00,0.00,0.00,0.00,,243.00,256.00,338.00,243.00,256.00
54,Gaibandha,31.05,20.14,20.71,0.00,0.00,0.00,,223.40,229.00,190.81,223.40,229.00
55,Kurigram,32.75,32.07,33.00,0.00,0.00,0.00,,174.20,179.00,184.29,174.20,179.00
56,Lalmonirhat,191.87,192.44,183.58,0.00,0.00,0.00,,853.57,745.47,772.92,853.57,745.47
57,Nilphamari,49.51,50.88,53.96,0.00,6.13,5.89,,428.86,438.39,439.85,434.99,444.28
58,Panchagar,46.23,47.54,49.00,0.00,0.00,0.00,,400.77,428.00,365.40,400.77,428.00
59,Rangpur,19.40,19.80,20.20,0.00,0.00,0.00,,275.57,292.99,247.23,275.57,292.99
60,Thakurgaon,23.79,22.09,23.07,0.00,0.00,0.00,,256.44,431.42,251.31,256.44,431.42
Rangpur Divison,None,450.60,426.96,427.52,0.00,6.13,5.89,,2855.81,3000.27,2789.81,2861.94,3006.16
61,Habiganj,40.40,47.73,48.59,0.00,0.00,0.00,,47.08,42.36,61.83,47.08,42.36
62,Moulvibazar,188.54,171.51,149.01,0.00,0.00,0.00,,520.24,665.13,520.45,520.24,665.13
63,Sunamganj,120.00,121.00,120.50,0.00,0.00,0.00,,694.00,698.70,669.00,694.00,698.70
64,Sylhet,156.55,121.43,132.66,13.79,18.09,3.90,,223.46,252.80,351.01,241.55,256.70
Sylhet Division,None,505.49,461.67,450.76,13.79,18.09,3.90,,1484.78,1658.99,1602.29,1502.87,1662.89
BANGLADESH,None,5101.22,4794.43,4799.11,348.94,232.71,217.53,,18593.26,18936.01,18496.40,18825.97,19153.54
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,1628,1394.38,1398.516,0,0.00,0.00,,1442.00,1471.20,1441,1442.00,1471.20
2,Barishal,1384,1302.00,1055,974,688.98,634.46,,4012.02,4398.54,5200,4701.00,5033.00
3,Bhola,149,145.41,145.49,68,43.95,43.49,,612.05,605.01,769,656.00,648.50
4,Jhallokati,1394,1393.00,1069,290,621.15,590.06,,4548.85,4768.94,4624,5170.00,5359.00
5,Patuakhali,402,424.48,425.785,0,0.00,0.00,,551.60,530.93,491,551.60,530.93
6,Pirojpur,396,396.81,394.647,1582,1580.43,1566.88,,3066.25,3100.12,4627,4646.68,4667.00
Barishal Division,None,5353,5056.08,4488.44,2914,2934.51,2834.90,,14232.77,14874.73,17152,17167.28,17709.63
7,Bandarban,129,129.80,130.70,38,38.54,38.82,,149.76,165.98,187,188.30,204.80
8,Brahmanbaria,18,15.38,15.07,0,0.00,0.00,,13.59,15.87,13.44,13.59,15.87
9,Chandpur,44,44.98,32.17,0,0.00,0.00,,288.20,222.26,275,288.20,222.26
10,Chattogram,109,110.00,108.66,0,0.00,0.00,,469.68,474.78,496,469.68,474.78
11,Cumilla,343,472.98,490.00,191,189.08,198.36,,165.92,211.45,359,355.00,409.81
12,Cox’s Bazar,148,112.39,111.22,0,15.90,0.00,,390.17,454.92,377,406.07,454.92
13,Feni,29,29.85,30.18,0,0.00,0.00,,58.50,94.50,56,58.50,94.50
14,Khagrachari,132,135.96,137.94,0,0.00,0.00,,291.89,299.13,282,291.89,299.13
15,Lakshmipur,76,99.00,102.00,0,0.00,0.00,,474.00,505.00,450,474.00,505.00
16,Noakhali,80,82.64,50.43,0,0.00,0.00,,580.80,598.52,693.23,580.80,598.52
17,Rangamati,137,137.37,139.43,7,7.70,7.56,,237.05,232.27,244,244.75,239.83
Chattogram Division,None,1245,1370.35,1347.80,236,251.22,244.74,,3119.56,3274.68,3432.67,3370.78,3519.42
18,Dhaka,20,20.14,19.77,0,0.00,0.00,,255.73,262.75,251,255.73,262.75
19,Faridpur,476,474.00,480.00,0,0.00,0.00,,668.56,714.41,674,668.56,714.41
20,Gazipur,41,41.85,44.00,26,28.05,0.00,,237.95,271.00,248,266.00,271.00
21,Gopalganj,55,60.73,61.42,0,0.00,0.00,,811.70,837.02,777,811.70,837.02
22,Kishoreganj,64,65.94,69.23,0,0.00,0.00,,605.91,612.22,625,605.91,612.22
23,Madaripur,35,36.15,36.67,0,0.00,0.00,,355.18,335.29,449,355.18,335.29
24,Manikganj,15,16.80,22.87,0,0.00,0.00,,78.86,69.42,76,78.86,69.42
25,Munshiganj,18,16.96,20.60,0,0.00,0.00,,152.10,161.73,144,152.10,161.73
26,Narayanganj,6,10.16,9.25,0,0.00,0.00,,89.05,88.71,137,89.05,88.71
27,Narsingdi,31,32.26,32.26,0,0.00,0.00,,229.92,232.00,228,229.92,232.00
28,Rajbari,150,136.47,138.24,0,0.00,0.00,,585.41,682.32,637,585.41,682.32
29,Shariatpur,80,85.62,84.33,0,0.00,0.00,,414.40,434.60,390,414.40,434.60
30,Tangail,82,60.25,63.07,0,0.00,0.00,,612.80,607.10,582,612.80,607.10
Dhaka Division,None,1073,1057.33,1081.71,26,28.05,0.00,,5097.57,5308.57,5218,5125.62,5308.57
31,Bagerhat,155,248.30,250.76,57,58.78,58.01,,1037.13,1022.57,1297,1095.91,1080.58
32,Chuadanga,91,91.80,92.58,0,0.00,0.00,,446.28,480.71,441,446.28,480.71
33,Jashore,230,203.54,198.93,68,74.72,82.95,,1282.28,1391.39,1293,1357.00,1474.34
34,Jhenaidah,124,125.44,126.73,208,213.65,219.18,,1254.96,1261.36,1458,1468.61,1480.54
35,Khulna,615,596.92,600.74,29,26.51,27.81,,905.41,924.32,1013,931.92,952.12
36,Kushtia,65,65.00,116.00,0,0.00,0.00,,649.00,666.75,605,649.00,666.75
37,Magura,125,121.54,126.00,0,0.00,0.00,,1099.49,1090.56,1083,1099.49,1090.56
38,Meherpur,102,111.14,130.40,0,0.00,0.00,,209.31,298.43,196,209.31,298.43
39,Narail,219,220.47,220.85,0,0.00,0.00,,1338.16,1341.34,1333,1338.16,1341.34
40,Satkhira,416,428.50,434.11,0,0.00,0.00,,1042.01,1108.60,1039,1042.01,1108.60
Khulna Division,None,2142,2212.65,2297.11,362,373.66,387.94,,9264.03,9586.02,9758,9637.69,9973.97
41,Jamalpur,89,65.00,68.00,0,0.00,0.00,,381.00,418.61,351,381.00,418.61
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,414,388.00,389.00,0,0.00,0.00,,800.00,805.53,773,800.00,805.53
43,Netrokona,72,72.00,73.00,0,0.00,0.00,,347.00,339.52,349,347.00,339.52
44,Sherpur,61,50.00,52.00,0,0.00,0.00,,286.00,409.03,446,286.00,409.03
Mymensingh Division,None,636,575.00,582.00,0,0.00,0.00,,1814.00,1972.69,1919,1814.00,1972.69
45,Bogura,235,252.97,200.86,0,0.00,0.00,,891.73,781.10,878,891.73,781.10
46,Joypurhat,38,38.75,32.02,0,0.00,0.00,,297.29,290.00,264,297.29,290.00
47,Naogaon,71,53.70,57.91,0,0.00,0.00,,559.96,610.81,398,559.96,610.81
48,Natore,88,93.48,84.10,0,0.00,0.00,,911.58,990.68,727,911.58,990.68
49,Chapai Nawabganj,74,75.40,68.88,0,0.00,0.00,,232.12,277.45,221.53,232.12,277.45
50,Pabna,73,39.83,43.54,16,15.08,0.00,,348.08,430.10,318,363.16,430.10
51,Rajshahi,177,184.00,193.00,0,0.00,0.00,,649.13,699.21,572.45,649.13,699.21
52,Sirajganj,22,22.62,22.72,0,0.00,0.00,,299.00,318.56,315.23,299.00,318.56
Rajshahi Division,None,778,760.75,703.03,16,15.08,0.00,,4188.89,4397.91,3694.21,4203.97,4397.91
53,Dinajpur,48,49.00,50.00,0,0.00,0.00,,603.00,636.44,584,603.00,636.44
54,Gaibandha,11,11.54,11.80,0,0.00,0.00,,92.34,95.96,100,92.34,95.96
55,Kurigram,27,27.10,25.16,0,0.00,0.00,,161.18,184.17,160,161.18,184.17
56,Lalmonirhat,8,9.21,9.55,0,0.00,0.00,,14.23,15.15,5.24,14.23,15.15
57,Nilphamari,6,6.44,6.64,0,0.00,0.00,,113.33,115.59,115,113.33,115.59
58,Panchagar,18,22.49,23.57,0,0.00,0.00,,199.87,210.84,189.43,199.87,210.84
59,Rangpur,13,13.77,14.85,0,0.00,0.00,,139.56,155.14,123.43,139.56,155.14
60,Thakurgaon,17,16.67,21.56,0,0.00,0.00,,116.15,117.57,112,116.15,117.57
Rangpur Divison,None,1628,1394.38,163.13,0,0.00,0.00,,1439.66,1530.86,1389.1,1439.66,1530.86
61,Habiganj,1384,1302.00,94.87,39,12.59,8.14,,131.11,83.72,250.37,143.70,91.86
62,Moulvibazar,149,145.41,86.91,0,0.00,0.00,,796.57,725.80,816.22,796.57,725.80
63,Sunamganj,1394,1393.00,47.00,0,0.00,0.00,,39.00,44.60,39,39.00,44.60
64,Sylhet,402,424.48,64.73,0,0.00,0.00,,142.51,133.08,132.55,142.51,133.08
Sylhet Division,None,396,396.81,293.51,39,12.59,8.14,,1109.19,987.20,1238.14,1121.78,995.34
BANGLADESH,None,11737,11261.25,10956.72,4067,3593,3475.72,,40265.67,41932.65,43801.12,43880.78,45408.37
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,66.36,67.55,67.55,0.00,0.00,0.00,,21.75,21.75,20.75,21.75,21.75
2,Barishal,237.83,57.00,57.00,0.00,0.00,0.00,,99.00,99.00,275.00,99.00,99.00
3,Bhola,21.17,21.07,21.07,0.00,0.00,0.00,,61.93,61.93,69.10,61.93,61.93
4,Jhallokati,56.00,54.00,54.00,0.00,0.00,0.00,,10.00,10.00,37.89,10.00,10.00
5,Patuakhali,11.13,11.13,11.13,0.00,0.00,0.00,,6.51,6.51,7.91,6.51,6.51
6,Pirojpur,20.46,21.01,21.01,0.00,0.00,0.00,,67.16,67.16,66.15,67.16,67.16
Barishal Division,None,412.95,231.76,231.76,0.00,0.00,0.00,,266.35,316.86,476.80,266.35,316.86
7,Bandarban,183.00,182.56,182.56,6.05,6.06,6.06,,90.62,90.62,97.00,96.68,96.68
8,Brahmanbaria,2.70,2.82,2.82,0.00,0.00,0.00,,6.65,6.65,6.53,6.65,6.65
9,Chandpur,1.65,1.66,1.66,0.00,0.00,0.00,,25.74,25.74,25.73,25.74,25.74
10,Chattogram,38.48,22.20,22.20,0.00,0.00,0.00,,256.74,256.74,210.82,256.74,256.74
11,Cumilla,22.35,22.24,22.24,0.00,0.00,0.00,,33.43,33.43,33.43,33.43,33.43
12,Cox’s Bazar,52.61,40.65,40.65,0.00,0.00,0.00,,140.25,140.25,129.59,140.25,140.25
13,Feni,129.25,129.54,129.54,0.00,0.00,0.00,,7.00,7.00,5.80,7.00,7.00
14,Khagrachari,192.24,190.65,190.65,0.00,0.00,0.00,,197.69,197.69,205.74,197.69,197.69
15,Lakshmipur,13.00,13.16,13.16,0.00,0.00,0.00,,35.21,35.21,34.58,35.21,35.21
16,Noakhali,7.28,7.71,7.71,0.00,0.00,0.00,,28.22,28.22,30.02,28.22,28.22
17,Rangamati,188.46,199.75,199.75,100.13,100.16,100.16,,320.16,320.16,421.69,420.32,420.32
Chattogram Division,None,831.02,812.94,812.94,106.18,106.22,1141.71,,"1141.7
1","1295.7
0","1200.9
3","1247.9
3","1406.6
9"
18,Dhaka,4.92,6.92,6.92,0.00,0.00,0.00,,24.41,24.41,26.93,24.41,24.41
19,Faridpur,14.00,9.00,9.00,0.00,0.00,0.00,,27.92,27.92,48.94,27.92,27.92
20,Gazipur,78.00,88.00,88.00,0.00,0.00,0.00,,117.30,117.30,107.50,117.30,117.30
21,Gopalganj,10.40,10.22,10.22,0.00,0.00,0.00,,14.71,14.71,17.19,14.71,14.71
22,Kishoreganj,7.68,7.54,7.54,0.00,0.00,0.00,,24.47,24.47,21.04,24.47,24.47
23,Madaripur,8.09,8.05,8.05,0.00,0.00,0.00,,39.03,39.03,45.28,39.03,39.03
24,Manikganj,0.94,0.94,0.94,0.00,0.00,0.00,,0.78,0.78,0.76,0.78,0.78
25,Munshiganj,1.51,1.62,1.62,0.00,0.00,0.00,,4.77,4.77,4.92,4.77,4.77
26,Narayanganj,2.65,2.64,2.64,6.95,6.98,6.98,,15.92,15.92,23.04,22.90,22.90
27,Narsingdi,3.21,3.12,3.12,0.00,0.00,0.00,,25.36,25.36,22.44,25.36,25.36
28,Rajbari,1.70,3.38,3.38,0.00,0.00,0.00,,43.42,43.42,37.90,43.42,43.42
29,Shariatpur,20.04,14.42,14.42,0.00,0.00,0.00,,51.45,51.45,48.05,51.45,51.45
30,Tangail,5.55,5.47,5.47,0.00,0.00,0.00,,22.74,22.74,23.92,22.74,22.74
Dhaka Division,None,158.69,161.32,161.32,6.95,6.98,412.28,,412.28,426.88,427.91,419.26,433.81
31,Bagerhat,21.25,24.71,24.71,0.00,0.00,0.00,,114.97,114.97,119.90,114.97,114.97
32,Chuadanga,6.41,6.41,6.41,0.00,0.00,0.00,,11.21,11.21,12.19,11.21,11.21
33,Jashore,3.97,4.29,4.29,0.00,0.00,0.00,,52.70,52.70,51.08,52.70,52.70
34,Jhenaidah,6.55,6.03,6.03,0.00,0.00,0.00,,17.94,17.94,16.21,17.94,17.94
35,Khulna,16.88,18.49,18.49,0.00,0.00,0.00,,45.75,45.75,43.43,45.75,45.75
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
37,Magura,3.42,3.75,3.75,0.00,0.00,0.00,,13.09,13.09,11.81,13.09,13.09
38,Meherpur,1.18,2.59,2.59,0.00,0.00,0.00,,1.93,1.93,0.58,1.93,1.93
39,Narail,5.35,17.17,17.17,0.00,0.00,0.00,,2.22,2.22,0.11,2.22,2.22
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
40,Satkhira,44.41,44.31,44.31,0.00,0.00,0.00,,38.09,38.09,38.35,38.09,38.09
Khulna Division,None,109.42,127.75,127.75,0.00,0.00,0.00,,297.90,306.23,293.66,297.90,306.23
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,13.00,13.00,13.00,0.00,0.00,0.00,,16.00,16.00,15.00,16.00,16.00
43,Netrokona,6.00,7.00,7.00,0.00,0.00,0.00,,17.00,17.00,14.00,17.00,17.00
44,Sherpur,1.30,1.00,1.00,0.00,0.00,0.00,,2.00,2.00,2.00,2.00,2.00
Mymensingh Division,None,20.30,21.00,21.00,0.00,0.00,0.00,,35.00,32.00,31.00,35.00,32.00
45,Bogura,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,5.00,5.00,5.00,0.00,0.00,0.00,,8.00,8.00,10.00,8.00,8.00
52,Sirajganj,14.00,14.00,14.00,0.00,0.00,0.00,,3.00,3.00,2.37,3.00,3.00
Rajshahi Division,None,19.00,19.00,19.00,0.00,0.00,0.00,,11.00,12.50,12.37,11.00,12.50
53,Dinajpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
54,Gaibandha,0.95,1.20,1.20,0.00,0.00,0.00,,2.7,2.7,2.26,2.7,2.7
55,Kurigram,9.25,9.43,9.43,0.00,0.00,0.00,,30.15,30.15,29.69,30.15,30.15
56,Lalmonirhat,5.79,6.03,6.03,0.00,0.00,0.00,,10.26,10.26,11.02,10.26,10.26
57,Nilphamari,5.15,5.36,5.36,0.00,0.00,0.00,,19.06,19.06,18.49,19.06,19.06
58,Panchagar,49.10,41.83,41.83,22.40,22.45,22.45,,36.83,36.83,58.72,59.28,59.28
59,Rangpur,2.02,2.11,2.11,0.00,0.00,0.00,,6.42,6.42,5.00,6.42,6.42
60,Thakurgaon,1.64,1.64,1.64,0.00,0.00,0.00,,7.35,7.35,7.00,7.35,7.35
Rangpur Divison,None,73.90,67.60,67.60,22.40,22.45,23.79,,112.77,141.42,132.18,135.22,165.22
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,2.25,2.27,2.27,0.00,0.00,0.00,,13.68,13.68,13.39,13.68,13.68
63,Sunamganj,4.00,4.90,4.90,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
64,Sylhet,7.31,7.87,7.87,0.00,0.00,0.00,,8.56,8.56,21.12,8.56,8.56
Sylhet Division,None,13.56,15.04,15.04,0.00,0.00,0.00,,22.24,27.49,34.51,22.24,27.24
BANGLADESH,None,1638.84,1456.41,1453.37,135.53,135.65,141.71,,2299.25,2299.25,2609.36,2434.90,2700.79
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,205.00,205.99,202.39,0.00,0.00,0.00,,354.96,341.82,352.00,354.96,341.82
2,Barishal,475.58,137.00,125.00,0.00,0.00,0.00,,1012.00,866.00,1005.00,"1012.0
0",866.00
3,Bhola,85.01,61.48,52.04,0.00,0.00,0.00,,574.54,557.60,549.60,574.54,557.60
4,Jhallokati,143.00,120.00,111.00,0.00,0.00,0.00,,247.00,222.00,282.00,247.00,222.00
5,Patuakhali,79.05,242.06,242.06,0.00,0.00,0.00,,1027.59,"1027.5
9",1013.59,"1027.5
9","1027.5
9"
6,Pirojpur,14.74,103.38,102.82,0.00,0.00,0.00,,508.84,506.06,506.81,508.84,506.06
