District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
64,Sylhet,337.27,306.00,292.00,0,0.00,0.00,281.24,282.67,281.85,281.24,282.67,281.85
Sylhet Division,None,1175.13,1151.00,1331.00,17.47,17.50,8.25,6191.78,5947.62,5722.55,6209.25,5965.12,5730.80
BANGLADESH,None,13357.29,12626.15,12824.85,951.13,858.43,687.01,53184.75,52485.50,52506.84,54135.88,53343.93,53193.85
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,26.58,24.58,29.79,0.00,0.00,0.00,,12.30,15.00,10.00,12.30,15.00
2,Barishal,113.00,82.00,66.38,7.98,0.00,0.00,,85.00,102.00,129.00,85.00,102.00
3,Bhola,2.67,7.66,8.01,0.00,0.00,0.00,,5.09,5.49,3.38,5.09,5.49
4,Jhallokati,26.00,26.00,26.00,0.00,0.00,0.00,,18.00,18.00,17.00,18.00,18.00
5,Patuakhali,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
6,Pirojpur,5.09,5.24,5.30,0.00,0.00,0.00,,13.60,13.60,12.99,13.60,14.00
Barishal Division,None,173.34,145.48,135.48,7.98,0.00,0.00,,133.99,14.00,172.37,133.99,154.49
7,Bandarban,33.40,31.00,77.80,0.00,0.00,0.00,,2.40,154.49,4.11,2.40,5.60
8,Brahmanbaria,26.04,26.04,26.15,0.00,0.00,0.00,,37.98,5.60,36.45,37.98,38.53
9,Chandpur,12.75,12.75,12.76,0.00,0.00,0.00,,42.76,38.53,42.44,42.76,44.76
10,Chattogram,43.69,41.09,29.71,0.00,0.00,0.00,,164.44,44.76,165.94,164.44,167.50
11,Cumilla,43.24,44.58,46.48,12.99,13.10,12.89,,41.08,167.50,58.27,52.85,58.94
12,Cox’s Bazar,12.74,13.53,13.18,0.00,0.00,0.00,,58.45,46.05,56.17,58.45,57.20
13,Feni,1.99,2.02,3.97,0.00,0.00,0.00,,3.39,5.70,3.38,3.39,5.20
14,Khagrachari,51.34,52.23,52.35,6.07,5.01,2.85,,55.31,54.67,60.16,60.32,57.52
15,Lakshmipur,10.31,10.20,10.57,0.00,0.00,0.00,,11.01,11.00,13.25,11.01,11.00
16,Noakhali,0.71,1.03,1.24,0.00,0.00,0.00,,0.68,0.80,0.15,0.68,0.80
17,Rangamati,109.66,119.44,119.25,1.40,1.42,1.03,,226.88,167.19,219.59,228.30,168.22
Chattogram Division,None,345.87,353.91,393.46,20.46,18.20,16.77,,644.38,599.00,659.91,662.58,615.77
18,Dhaka,27.08,29.22,27.26,0.00,0.00,0.00,,95.57,89.37,107.14,95.57,89.37
19,Faridpur,7.00,8.00,8.00,0.00,0.00,0.00,,27.99,30.25,25.77,27.99,30.25
20,Gazipur,16.00,18.00,17.00,0.00,0.00,0.00,,85.45,86.61,81.18,85.45,86.61
21,Gopalganj,3.22,3.35,3.57,0.00,0.00,0.00,,17.39,19.09,16.49,17.39,19.09
22,Kishoreganj,22.37,23.83,24.58,0.00,0.00,0.00,,78.18,80.91,76.10,78.18,80.91
23,Madaripur,11.49,11.62,11.60,0.00,0.00,0.00,,43.57,42.11,44.42,43.57,42.11
