District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
16,Noakhali,24.85,24.88,25.91,0,0.00,0.00,60.38,90.82,95.52,60.38,90.82,95.52
17,Rangamati,523.90,523.09,522.88,21.89,22.85,23.47,372.63,389.92,390.39,394.52,412.77,413.86
2,"Chattogram
Division",2566.67,2550.94,2071.44,77.92,81.98,107.01,1991.50,2322.40,2917.26,2069.42,"2404.3
8",3024.27
18,Dhaka,19.80,19.87,20.68,0,0.00,0.00,188.66,192.34,167.29,188.66,192.34,167.29
19,Faridpur,156.00,156.50,153.60,0,0.00,0.00,226.72,224.62,239.35,226.72,224.62,239.35
20,Gazipur,52.00,51.00,54.00,0,0.00,0.00,135.14,137.00,138.20,135.14,137.00,138.20
21,Gopalganj,35.27,99.78,99.27,0,0.00,0.00,141.92,206.44,240.27,141.92,206.44,240.27
22,Kishoreganj,46.19,37.75,34.13,0,0.00,0.00,128.97,120.33,119.74,128.97,120.33,119.74
23,Madaripur,36.80,31.42,31.29,0,0.00,0.00,308.43,248.28,227.20,308.43,248.28,227.20
24,Manikganj,17.97,18.49,20.76,0,0.00,0.00,58.36,64.90,71.52,58.36,64.90,71.52
25,Munshiganj,10.26,10.09,11.02,0,0.00,0.00,50.31,48.09,48.74,50.31,48.09,48.74
26,Narayanganj,10.45,11.80,11.83,0,0.00,0.00,108.40,94.76,93.89,108.40,94.76,93.89
27,Narsingdi,22.94,23.49,24.46,0,0.00,0.00,184.40,182.49,110.30,184.40,182.49,110.30
28,Rajbari,23.53,23.53,19.61,0,0.00,0.00,170.08,163.00,143.49,170.08,163.00,143.49
29,Shariatpur,31.15,29.80,31.03,0,0.00,0.00,126.10,125.10,119.90,126.10,125.10,119.90
30,Tangail,29.36,23.83,23.88,0,0.00,0.00,146.12,126.90,126.94,146.12,126.90,126.94
3,Dhaka Division,491.72,537.35,535.56,0,0.00,0.00,1973.61,1934.25,1846.83,1973.61,"1934.2
5",1846.83
31,Bagerhat,51.63,54.49,68.64,0,0.00,5.98,145.85,181.23,139.29,145.85,181.23,145.27
32,Chuadanga,7.67,7.53,7.40,0,0.00,0.00,56.74,55.75,54.76,56.74,55.75,54.76
33,Jashore,69.29,69.34,70.75,0,0.00,0.00,346,358.66,364.00,346,358.66,364.00
34,Jhenaidah,25.67,30.99,32.07,0,0.00,0.00,187,181.92,204.97,187,181.92,204.97
35,Khulna,131.51,107.64,101.53,0,0.00,0.00,265.53,253.80,256.77,265.53,253.80,256.77
36,Kushtia,51.63,60.00,60.00,0,0.00,0.00,154.84,413.00,405.00,154.84,413.00,405.00
37,Magura,18.19,20.94,20.01,0,0.00,0.00,88,79.70,94.42,88,79.70,94.42
38,Meherpur,25.60,25.41,25.30,0,0.00,0.00,32,34.53,34.20,32,34.53,34.20
39,Narail,107.90,105.66,304.00,0,0.00,0.00,94.54,94.83,93.00,94.54,94.83,93.00
40,Satkhira,580.00,591.21,593.00,0,0.00,0.00,273,290.19,303.42,273,290.19,303.42
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
4,Khulna Division,1069.09,1073.21,1282.70,0,0.00,5.98,1643.50,1943.61,1949.83,1643.50,"1943.6
1",1955.81
41,Jamalpur,65.00,67.00,68.00,0,0.00,0.00,126,132.00,138.00,126,132.00,138.00
42,Mymensingh,216.00,202.00,207.00,0,0.00,0.00,334,400.00,402.00,334,400.00,402.00
43,Netrokona,31.00,30.00,29.00,0,0.00,0.00,108,111.00,106.00,108,111.00,106.00
44,Sherpur,57.00,60.00,60.00,0,0.00,0.00,321,339.00,338.00,321,339.00,338.00
5,"Mymensingh
Division",369.00,359.00,364.00,0,0.00,0.00,889,982.00,984.00,889,982.00,984.00
45,Bogura,94.55,92.00,92.00,0,0.00,0.00,341.20,298.00,333.00,341.20,298.00,333.00
46,Joypurhat,17.19,16.00,16.00,0,0.00,0.00,82.89,86.00,78.00,82.89,86.00,78.00
47,Naogaon,26.39,32.00,36.00,0,0.00,0.00,170.93,182.00,209.00,170.93,182.00,209.00
48,Natore,47.47,31.00,38.00,0,0.00,0.00,204.38,184.00,174.00,204.38,184.00,174.00
49,Chapai Nawabganj,13.82,14.00,16.00,0,0.00,0.00,23.47,25.00,27.00,23.47,25.00,27.00
50,Pabna,306.30,279.00,220.00,0,0.00,0.00,338,358.00,377.00,338,358.00,377.00
51,Rajshahi,71.98,67.00,68.00,0,0.00,0.00,157.38,151.00,153.00,157.38,151.00,153.00
52,Sirajganj,8.66,9.00,8.00,0,0.00,0.00,155.93,134.00,129.00,155.93,134.00,129.00
6,Rajshahi Division,586.36,540.00,494.00,0,0.00,0.00,1474.18,1418.00,1480.00,1474.18,"1418.0
0",1480.00
53,Dinajpur,18.36,18.00,19.00,0,0.00,0.00,53.76,58.00,59.00,53.76,58.00,59.00
54,Gaibandha,23.34,11.96,12.05,2.64,2.86,2.88,24.83,26.07,25.54,27.47,28.93,28.42
55,Kurigram,17.19,11.77,11.56,0,0.00,0.00,30.62,32.77,32.73,30.62,32.77,32.73
56,Lalmonirhat,9.50,9.70,9.95,0,0.00,0.00,33.87,35.27,35.35,33.87,35.27,35.35
57,Nilphamari,5.83,6.53,6.87,0,0.00,0.00,31.58,33.84,32.33,31.58,33.84,32.33
58,Panchagar,10.55,10.61,10.55,0,0.00,0.00,29.58,29.78,28.94,29.58,29.78,28.94
59,Rangpur,19.98,19.77,20.02,0,0.00,0.00,119.30,119.30,127.90,119.30,119.30,127.90
60,Thakurgaon,5.14,5.22,5.22,0,0.00,0.00,42.28,46.93,48.83,42.28,46.93,48.83
7,Rangpur Divison,109.89,93.56,95.22,2.64,2.86,2.88,365.82,381.96,390.62,368.46,384.82,393.50
61,Habiganj,23.10,30.07,19.04,0,0.00,0.00,16.04,17.70,19.16,16.04,17.70,19.16
62,Moulvibazar,40.00,64.60,54.55,0,0.00,0.00,120.64,134.36,138.56,120.64,134.36,138.56
63,Sunamganj,11.00,6.00,6.00,0,0.00,0.00,11,12.00,13.00,11,12.00,13.00
64,Sylhet,17.01,14.90,14.78,1.02,0.00,0.00,23.98,12.14,22.00,25,12.14,22.00
8,Sylhet Division,91.11,115.57,94.37,1.02,0.00,0.00,171.66,176.20,192.72,172.68,176.20,192.72
BANGLADESH,,6279.99,6377.03,5872.06,81.58,84.84,115.87,9471.02,"10153.9
5","10728.4
1",9552.60,"10238.
79",10844.28
