District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
52,Sirajganj,94.32,723,750.01,9.07,10.37,32.00,473.68,480.63,477.16,482.75,491,509.16
6,Rajshahi Division,1716.32,2687,2983.07,2022.28,14892.65,20948.75,7439.26,6459.35,4214.62,9461.54,21352,25163.37
53,Dinajpur,348,248,209.05,126.55,125.12,289.06,610.45,661.88,593.88,737,787,882.94
54,Gaibandha,145.61,129.10,160.62,0,0,0.00,336.66,482.90,561.11,336.66,482.90,561.11
55,Kurigram,125.17,178.96,176.87,21.47,24.39,79.75,146.94,162.77,119.16,168.41,187.16,198.91
56,Lalmonirhat,130.6,80.7,81.59,51.51,41.1,386.08,308.59,240.25,99.41,360.1,281.35,485.49
57,Nilphamari,144.97,50.77,52.25,0,0,6.20,295.94,305.25,307.55,295.94,305.25,313.75
58,Panchagar,190.01,195.63,202.71,47.81,47.20,192.92,402.37,411.60,206.29,450.18,458.80,399.21
59,Rangpur,121.22,124.98,126.06,50.25,50.60,204.84,310.38,322.78,204.96,360.63,373.38,409.80
60,Thakurgaon,1225.25,1123.35,1126.20,89,91.84,219.82,237.14,240.66,130.32,326.14,332.50,350.14
7,Rangpur Divison,2430.83,2131.49,2135.35,386.59,380.25,1378.67,2648.47,2828.09,2222.68,3035.06,3208.34,3601.35
61,Habiganj,212.41,217.72,213.34,286.99,520.49,371.82,547.10,1541.85,720.18,834.09,"2062.3
4","1092.0
0"
62,Moulvibazar,1101,1347.67,1350.98,741.44,8393.39,5052.82,9156.56,4176.21,1894.18,9898,"12569.
60","6947.0
0"
63,Sunamganj,147,190.19,195.50,0,0,0.00,764,982.85,989.00,764,982.85,989.00
64,Sylhet,235,255.46,288.00,35.34,184.10,166.44,276.66,219.39,732.56,312,403.49,899.00
8,Sylhet Division,1695.41,2011.04,2047.82,1063.77,9097.98,5591.08,10744.32,6920.30,4335.92,11808.09,16018.28,9927.00
BANGLADESH,,"162242.6
9",30248.22,33087.57,20709.71,45281.24,49592.02,60894.75,50130.65,50338.85,81604.46,95411.89,99930.87
