District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Producti
on",Area,,Yield Rate,,"Productio
n"
34,Jhenaidah,88826,35947,33.86,3.123,112268,89379,36171,35.46,3.271,118305
35,Khulna,1033,418,24.35,2.246,939,2058,833,36.50,3.367,2804
36,Kushtia,65264,26412,31.76,2.929,77372,63634,25752,31.87,2.940,75700
37,Magura,11941,4832,22.43,2.069,9998,12606,5102,22.81,2.104,10733
38,Meherpur,48761,19733,22.47,2.073,40898,49866,20180,27.73,2.558,51616
39,Narail,6513,2636,28.90,2.666,7026,10139,4103,29.04,2.679,10991
,,Area,,,,Yield Rate,,"Producti
on",Area,,,,Yield Rate,,"Productio
n"
,,Acres,,,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,,,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
40,Satkhira,16181,,,6548,31.07,2.866,18766,15588,,,6308,31.60,2.915,18387
4,"Khulna
Division",384675,,,155676,30.59,2.821,439210,383098,,,155038,31.66,2.920,452677
41,Jamalpur,9091,,,3679,24.31,2.242,8249,8851,,,3582,24.50,2.260,8094
42,Mymensingh,47650,,,19284,29.81,2.750,53022,46783,,,18933,30.10,2.776,52563
43,Netrokona,1484,,,601,27.36,2.524,1516,670,,,271,28.60,2.638,715
44,Sherpur,9361,,,3788,27.52,2.538,9616,8827,,,3572,28.40,2.619,9357
5,"Mymensingh
Division",67586,,,27352,28.70,2.647,72403,65131,,,26358,29.09,2.683,70730
45,Bogura,45012,,,18216,28.36,2.616,47650,38964,,,15769,30.20,2.786,43924
46,Joypurhat,1045,,,423,24.79,2.287,967,540,,,219,29.60,2.730,597
47,Naogaon,,163808,,66292,32.00,2.952,195665,,136971,,55431,33.20,3.062,169744
48,Natore,21555,,,8723,28.74,2.651,23124,22853,,,9248,30.20,2.786,25762
49,"Chapai
Nawabganj",98669,,,39931,32.89,3.034,121136,98370,,,39810,34.67,3.198,127305
50,Pabna,39246,,,15883,25.90,2.389,37942,37014,,,14979,28.50,2.629,39377
51,Rajshahi,111288,,,45038,32.05,2.956,133138,112341,,,45464,35.38,3.263,148362
52,Sirajganj,11775,,,4765,28.09,2.591,12346,9650,,,3905,29.30,2.703,10554
6,"Rajshahi
Division",492398,,,199271,31.12,2.870,571968,456703,,,184825,33.18,3.060,565624
53,Dinajpur,26319,,,10651,29.72,2.741,29197,25595,,,10358,30.00,2.767,28662
54,Gaibandha,33684,,,13632,27.14,2.503,34124,32762,,,13259,30.10,2.776,36810
55,Kurigram,17355,,,7023,28.31,2.611,18340,14031,,,5678,30.30,2.795,15869
56,Lalmonirhat,26594,,,10762,31.66,2.920,31428,28162,,,11397,32.00,2.952,33639
57,Nilphamari,4182,,,1692,28.20,2.601,4402,3916,,,1585,31.20,2.878,4561
58,Panchagar,6457,,,2613,28.30,2.610,6821,6010,,,2432,30.16,2.782,6766
59,Rangpur,61065,,,24713,29.91,2.759,68177,57276,,,23179,31.82,2.935,68030
60,Thakurgaon,54340,,,21991,29.15,2.689,59127,50276,,,20346,31.37,2.893,58871
7,"Rangpur
Divison",229996,,,93078,29.31,2.703,251616,218028,,,88235,31.11,2.870,253208
61,Habiganj,116611,,,47192,28.99,2.674,126187,107483,,,43498,29.10,2.684,116751
62,Moulvibazar,116904,,,47310,31.00,2.859,135275,103293,,,41802,32.24,2.974,124306
63,Sunamganj,46350,,,18758,29.21,2.694,50537,34328,,,13892,32.20,2.970,41260
64,Sylhet,155110,,,62772,30.65,2.827,177459,61913,,,25056,32.10,2.961,74185
8,"Sylhet
Division",434975,,,176032,30.15,2.781,489458,307017,,,124248,31.11,2.869,356502
Bangladesh,,2615582,,,1058511,29.39,2.711,2869436,2412484,,,976319,30.86,2.846,2779007
