District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
28,Rajbari,6126,2479,18.17,1.676,4156,6862,2777,22.26,2.054,5703
29,Shariatpur,23775,9622,26.33,2.429,23371,20855,8440,26.95,2.486,20980
30,Tangail,4280,1732,19.70,1.817,3147,5258,2128,22.63,2.087,4441
3,Dhaka Division,147438,59667,25.19,2.324,138640,135185,54709,27.31,2.519,137829
31,Bagerhat,11900,4816,25.65,2.366,11392,8818,3569,27.17,2.506,8944
32,Chuadanga,97540,39474,30.87,2.848,112404,94846,38384,30.36,2.800,107485
33,Jashore,37305,15097,34.78,3.208,48436,36404,14732,35.20,3.247,47832
34,Jhenaidah,88826,35947,33.86,3.123,112268,89379,36171,35.46,3.271,118305
35,Khulna,7680,3108,14.58,1.345,4179,8558,3463,19.79,1.825,6322
36,Kushtia,67396,27275,31.24,2.881,78586,64602,26144,31.58,2.913,76160
37,Magura,12635,5113,21.95,2.024,10352,13043,5278,22.51,2.077,10961
38,Meherpur,48761,19733,22.47,2.073,40898,49866,20180,27.73,2.558,51616
39,Narail,18252,7386,20.26,1.869,13805,19789,8008,22.71,2.094,16772
40,Satkhira,16181,6548,31.07,2.866,18766,15588,6308,31.60,2.915,18387
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton)
4,"Khulna
Division",406476,164498,29.73,2.742,451086,400893,162239,30.93,2.852,462783
41,Jamalpur,9300,3764,24.10,2.223,8367,9032,3655,24.34,2.245,8207
42,Mymensingh,47650,19284,29.81,2.750,53022,46783,18933,30.10,2.776,52563
43,Netrokona,1615,654,26.52,2.446,1599,696,282,28.17,2.599,732
44,Sherpur,9411,3809,27.45,2.532,9643,8852,3582,28.35,2.614,9366
5,"Mymensingh
Division",67976,27510,28.62,2.640,72631,65363,26452,29.05,2.679,70868
45,Bogura,45372,18362,28.25,2.605,47837,38964,15769,30.20,2.786,43924
46,Joypurhat,1045,423,24.79,2.287,967,540,219,29.60,2.730,597
47,Naogaon,164064,66396,31.97,2.949,195779,136971,55431,33.20,3.062,169744
48,Natore,21822,8831,28.55,2.633,23255,23025,9318,30.08,2.774,25852
49,"Chapai
Nawabganj",104554,42312,31.76,2.929,123948,103068,41711,33.73,3.111,129767
50,Pabna,54458,22039,21.94,2.024,44603,50582,20470,24.16,2.228,45611
51,Rajshahi,112145,45384,31.94,2.946,133706,112671,45597,35.33,3.259,148600
52,Sirajganj,19009,7693,22.61,2.085,16043,15046,6089,25.23,2.327,14170
6,"Rajshahi
Division",522469,211440,30.05,2.772,586139,480867,194604,32.22,2.971,578264
53,Dinajpur,26319,10651,29.72,2.741,29197,25595,10358,30.00,2.767,28662
54,Gaibandha,33688,13633,27.14,2.503,34126,32769,13261,30.10,2.776,36814
55,Kurigram,17819,7211,27.92,2.575,18571,14391,5824,29.90,2.758,16064
56,Lalmonirhat,26594,10762,31.66,2.920,31428,28162,11397,32.00,2.952,33639
57,Nilphamari,4182,1692,28.20,2.601,4402,3916,1585,31.20,2.878,4561
58,Panchagar,6580,2663,28.05,2.587,6890,6084,2462,30.01,2.768,6816
59,Rangpur,61065,24713,29.91,2.759,68177,57276,23179,31.82,2.935,68030
60,Thakurgaon,54340,21991,29.15,2.689,59127,50276,20346,31.37,2.893,58871
7,"Rangpur
Divison",230587,93317,29.27,2.700,251919,218469,88413,31.08,2.867,253455
61,Habiganj,117456,47534,28.90,2.666,126720,107676,43576,29.08,2.682,116877
62,Moulvibazar,117337,47486,30.95,2.855,135557,103726,41977,32.18,2.968,124606
63,Sunamganj,47641,19280,28.91,2.667,51413,35250,14265,31.84,2.937,41899
64,Sylhet,163120,66014,29.98,2.765,182533,64006,25903,31.61,2.916,75533
8,"Sylhet
Division",445555,180314,29.84,2.752,496223,310658,125722,30.95,2.855,358914
Bangladesh,,2864087,1159080,28.07,2.589,3000857,2622404,1061273,29.64,2.734,2901156
