District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
55,Kurigram,1.47,8.42,6.70,0,0,0.00,4.69,23.63,30.30,4.69,23.63,30.30
56,Lalmonirhat,11.26,11.44,11.92,0,0,0.00,38.88,39.68,44.75,38.88,39.68,44.75
57,Nilphamari,4.33,3,2.55,0,0,0.00,16.84,17.63,17.39,16.84,17.63,17.39
58,Panchagar,4.08,2.28,3.44,0,0,0.00,0,0,0.00,0,0,0.00
59,Rangpur,21.63,22.16,21.59,0,0,0.00,404.82,404,393.76,404.82,404,393.76
60,Tahkurgaon,3.95,3.32,3.32,1.02,1.32,0.00,5.36,5.56,6.94,6.38,6.88,6.94
7,Rangpur Division,133.37,124.98,123.38,1.02,1.32,0.00,893.02,927.99,926.68,894.04,929.31,926.68
61,Habigonj,149.20,32.54,156.66,0,0,0.00,208.01,201.85,216.50,208.01,201.85,216.50
62,Moulvibazar,1.49,1.49,0.84,0,0,0.00,20.3,20.30,22.40,20.3,20.30,22.40
63,Sunamganj,85.50,86,87.10,0,0,0.00,606,605.03,618.00,606,605.03,618.00
64,Sylhet,0.20,0.20,0.40,0,0,0.00,4.88,5,10.16,4.88,5,10.16
8,Sylhet Division,236,120.23,245.00,0,0,0.00,839.19,832.18,867.06,839.19,832.18,867.06
BANGLADESH,,"12207.6
7","12708.
34","11176.
57",645.05,905.64,623.88,"78415.6
5","76051.7
6","74681.9
8","79060.
70","76957.4
0","75305.8
6"
