District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
18,Dhaka,277,255.38,264.77,18,19.3,19.05,877,981.98,1004.43,895,1001.28,1023.48
19,Faridpur,268,177,179,194,164.9,172.13,590,652.71,654.44,784,817.61,826.57
20,Gazipur,241,777.31,615,304,295.12,281.98,1044,1112.88,1140.02,1348,1408,1422
21,Gopalganj,241,553.30,313.49,149,179.75,227.92,466,372.66,451.97,615,552.41,679.89
22,Kishoreganj,495,569.91,534.63,167,126.87,138.9,1084,985.83,1283.99,1251,1112.7,1422.89
23,Madaripur,252,422.98,405,33,75.64,68.25,498,542.74,560.08,531,618.38,628.33
24,Manikganj,200,284.18,287.91,149,138.79,139.86,274,311.11,318.44,423,449.9,458.30
25,Munshiganj,30,80.66,107.66,0,0,0,212,243.38,245.31,212,243.38,245.31
26,Narayanganj,76,53.51,52.52,20,11.78,11.94,127,129.13,129.61,147,140.91,141.55
27,Narsingdi,74,80.66,82.47,7,5.52,5.32,321,290.12,238.87,328,295.64,244.19
28,Rajbari,674,801.29,754.19,1876,1057.60,2571.29,161,1206.04,2905.71,2037,2263.64,5477
29,Shariatpur,365,344.16,310.40,735,911.81,580.12,336,398.62,553.88,1071,1310.43,1134
30,Tangail,670,598.52,556.80,476,410.55,476.97,1571,1630.75,2205.11,2047,2041.3,2682.08
3,Dhaka Division,3863,4998.86,4463.84,4128,3397.63,4694,7561,8857.95,11691.86,11689,12255.58,16385.59
31,Bagerhat,4727,4459.31,4198.80,3432,3954.29,3634.78,4515,5466.86,5111.22,7947,9421.15,8746
32,Chuadanga,89,77.45,76.36,218,338.27,357.55,98,152.14,160,316,490.41,517.55
33,Jashore,536,1026,1037.50,990,795.53,940.55,400,501.46,590.45,1390,1296.99,1531
34,Jhenaidah,183,296.12,298.55,67,89.79,84.51,503,543.21,577.49,570,633,662
35,Khulna,1131,151.91,1526.70,2069,1623.09,1340.55,1200,1169.90,959.45,3269,2792.99,2300
36,Kushtia,370,333,317,411,412.29,412.38,1433,1458.71,1463.62,1844,1871,1876
37,Magura,275,317.94,302.77,468,221.27,247.03,76,315.73,180.97,544,537,428
38,Meherpur,32,70.51,70.44,0,0,0,69,68,65,69,68,65
39,Narail,412,858.44,857.49,2288,2255,2248.33,1705,1720.76,1733.67,3993,3975.76,3982
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
40,Satkhira,390,830.15,976.59,630,695.91,589.44,620,431,818.56,1250,1126.91,1408
4,Khulna Division,8145,8420.83,9662.20,10573,"10385.4
4",9855.12,10619,"11827.7
7",11660.43,21192,22213.21,21515.55
41,Jamalpur,765,1948,1959,493,617.84,624.19,1365,2092.16,2201.81,1858,2710,2826
42,Mymensingh,1933,6075,6045,1672,2304.67,2241.75,3563,4596.33,4737.25,5235,6901,6979
43,Netrokona,468,5734,1296,235,199.32,198.59,3071,1539.68,1700.41,3306,1739,1899
44,Sherpur,571,1466,1402,23,13.38,13.38,3534,2038.62,2054.62,3557,2052,2068
5,"Mymensingh
Division",3737,15223,10702,2423,3135.21,3077.91,11533,"10266.7
9",10694.09,13956,13402,13772
45,Bogura,153,221,220,29,28.66,29.95,654,628.62,628.56,683,657.28,658.51
46,Joypurhat,16,53,33,23,15.9,15.07,57,54.50,58.12,80,70.4,73.19
47,Naogaon,25,41,43,6,10.6,10.78,195,206.23,215.6,201,216.83,226.38
48,Natore,398,431,415,2624,775.91,633.72,582,1828.43,1503.13,3206,2604.34,2136.85
49,Chapai Nawabganj,3,12,12,0,0,0,10,21,19,10,21,19
50,Pabna,207,176,188,351,382.56,351.24,761,777.89,690.76,1112,1160.45,1042
51,Rajshahi,90,161,157,295,382.95,285.03,252,517.67,617.83,547,900.62,902.86
52,Sirajganj,51,75,70,8,0,0,237,215,179,245,215,179
6,Rajshahi Division,944,1170,1138,3336,1596.58,1325.79,2748,4249.34,3912,6084,5845.92,5237.79
53,Dinajpur,142,154.05,156,300,274.91,305.98,698,703.09,759.02,998,978,1065
54,Gaibandha,749,864.90,865,2594,2445.82,2629.92,1709,1915.73,1732.08,4303,4361.55,4362
55,Kurigram,1161,2158.35,1665.70,4412,4487.5,7390.94,2229,2246.59,2439.06,6641,6734.09,9830
56,Lalmonirhat,486,1026.3,1019,161,1578.25,1603.62,811,729.03,716.38,972,2307.28,2320
57,Nilphamari,482,387.77,391,2549,1667.18,1836.79,1015,742.82,611.21,3564,2410,2448
58,Panchagar,532,576.16,613,2262,2274.62,2274.65,831,887.50,921.35,3093,3162.12,3196
59,Rangpur,462,540.22,549,1401,1314.36,1658.01,1018,986.34,1073.99,2419,2300.7,2732
60,Thakurgaon,25,40.76,41,29,27.29,29.39,87,90.43,99.61,116,117.72,129
7,Rangpur Divison,4039,5748.51,5299.70,13708,"14069.9
3",17729.3,8398,8301.53,8352.7,22106,22371.46,26082
61,Habiganj,1545,214.80,224.55,461,44.81,46.81,321,875.05,922.69,782,919.86,969.50
62,Moulvibazar,428,1292.51,1136.01,949,622.75,739.14,22,2074.54,2488.15,971,2697.29,3227.29
63,Sunamganj,511,515.00,519.80,133,0,0,712,1332,1435.78,845,1332,1435.78
64,Sylhet,3353,2319,2250,5124,4619.64,4385.41,2608,2595.35,2389.59,7732,7214.99,6775
8,Sylhet Division,5837,4341.31,4130.36,6667,5287.2,5171.36,3663,6876.94,7236.21,10330,12164.14,12407.57
BANGLADESH,,96945,"115174.0
1","96757.1
0",159222,260056.92,243494.82,169388,85744.23,90229.24,328610,345801.15,333724.06
