Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
61,khail,Mustard,3513,3513,3547,3536,3535,3553,3546,3656,3603,3643,3819,3831,3608
62,",,",Til,3784,3834,3839,3840,3840,3816,3828,3953,3996,4000,4020,4034,3899
63,",,",Others,3571,3583,3594,3613,3625,3643,3625,3625,3468,2417,2417,2400,3298
64,Spice,Onion local,3184,2430,2989,2982,3059,3459,3597,3852,3970,5039,4847,4549,3663
65,",,",Onion imported,2495,2027,2466,2916,2788,3409,3422,3457,4025,4540,4468,4197,3351
66,",,",Garlic local,9149,8514,6333,6157,6080,6033,6049,5758,6867,6153,6038,4809,
67,",,",Garlic imported,9534,10272,101818,10156,10062,12030,10264,10203,11636,11581,11896,11434,10621
68,,Chilli dried,21223,20987,20539,20039,19889,19716,19668,18972,20302,18067,18015,17661,19587
69,",,",Green chilli,6362,4585,3015,2954,2839,2937,3228,6806,8721,10333,6112,4627,5210
70,",,",Ginger local,7241,6693,6608,7059,6996,7285,7703,8698,9301,9418,9140,7474,7801
71,",,",Ginger imported,7181,6336,6272,6400,6447,6874,6986,8070,10357,8759,8574,7962,7518
72,",,",Turmeric round,12720,12623,12695,12498,12800,12659,12439,12754,12384,12610,12633,12525,12612
73,",,",Turmeric long,12787,12365,12510,12768,12611,12778,12722,12801,14905,13025,13008,13025,12942
74,",,",Coriander old,9290,9307,9362,9252,9254,9259,9250,9297,10436,9135,9167,9373,9365
75,",,",Coriander new,8119,8438,8260,8581,8540,8645,8557,8856,7935,7518,7518,7394,8197
76,Jute,White,3650,3225,2825,4931,3383,3033,2800,3033,3033,3033,3033,3650,3303
77,",,",Tosha,13720,16790,17938,13700,12920,13000,-,14520,17000,12920,13780,14589,14625
78,",,",Mesta gor chhat,5845,4000,4000,4088,4800,4800,4300,4800,4800,5515,5398,5845,4849
79,Cotton,Shimul,30498,33486,33486,30489,31480,32219,35964,31706,30661,30847,30573,30498,31826
80,",,",carpus,15563,14150,14150,14150,14150,17417,17417,17083,15563,15563,15563,15563,15527
81,Tobbaco,Jati heavy,12567,10600,10600,10600,10600,10600,10500,16500,16500,12567,12567,12567,12231
82,",,",Jati Medium,8500,8500,6600,8500,8500,8500,8500,12750,12750,12750,12750,12750,10271
83,",,",Jati general,6600,6600,14497,6600,6600,6600,6600,10550,10550,10550,10550,10500,8242
84,",,",Motihar heavy,12527,14497,10803,14499,13293,14728,12888,13125,13125,12369,13131,11971,13387
85,",,",Motihar medium,11978,10803,7617,10800,11820,10825,10625,10014,10800,10014,10014,11234,10811
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
86,",,",Moti general,6475,6875,7617,7617,7617,7480,7500,6475,6475,6475,6475,6475,6963
87,"Hide skin:
COW",Light,26251,23854,23854,25135,23135,27225,27704,26775,27225,25979,2604,26251,
,,,,,,,,,,,,,,,25833
88,",,",Medium,37547,37033,37033,36301,38110,33296,-,33296,33296,33441,36437,33730,35411
89,",,",heavy,57441,56875,56875,56317,57774,53517,-,53517,53517,53700,53746,53997,55207
90,",,",katachera,12305,12429,12429,12305,11857,11500,-,11500,11500,11500,11500,11514,11849
91,"Hide skin
Bufello",heavy,50800,51750,51750,43393,43750,46292,54600,46292,54600,46025,45958,48692,
,,,,,,,,,,,,,,,48658
92,",,",medium,39125,39563,39563,39125,40714,39813,39813,39813,39813,40563,40750,41813,40039
93,Hide skin,Sheep,3639,3423,3423,3562,4518,2979,-,2979,2979,2979,2979,2836,3300
94,",,",Goat,6310,6331,5800,4544,5307,3774,-,3774,3774,3762,3620,3580,4598
95,"Chemical
fertilizer",Uria 50 kg,788,787,787,787,786,786,786,786,788,786,787,788,
,,,,,,,,,,,,,,,787
96,",,","TSP ,,",1090,1093,1093,1092,1088,1090,1090,1090,1090,1091,1091,1093,1091
97,",,","DAP ,,",788,789,789,788,785,782,-,782,782,782,782,786,785
98,",,","MP ,,",736,732,732,732,733,733,733,733,733,733,733,736,733
99,",,",Zinc LOCAL,2440,3378,3378,3296,3338,3250,3250,3250,3250,3250,3250,2440,3147
100,",,",Zinc foreign,5226,3963,3963,5259,3570,5265,3736,5265,5265,5265,5265,5225,4772
101,",,",Zipsum,260,174,174,185,183,221,-,245,238,239,238,258,220
102,"Organic
fertilizer",Cowdung 50 kg,116,117,117,117,117,117,117,117,117,117,117,116,
,,,,,,,,,,,,,,,117
104,Cow Milk,liquid,5228,5148,-,5118,5070,5228,-,5228,5228,5228,5228,5228,5193
105,Gawa ghee,-,82900,80550,80550,80720,80500,82900,82900,82900,82900,82900,82900,82900,82127
106,Dano,--,6325,6569,6569,6569,6569,6325,-,6325,6325,6325,6325,6325,6414
107,Red cow,-,5825,6175,6175,6350,6875,5825,5825,5825,5825,5825,5825,5825,6015
108,Anchor,-,5400,6000,6000,6000,600,5400,-,5400,5400,5400,5400,5400,5618
109,"Condensed
milk",One kartoon,2180,2184,2184,2183,2182,2180,-,2180,2180,2180,2180,2180,
,,,,,,,,,,,,,,,2181
110,"Hen/chicken-
Live",Local large(900gm+),34684,34227,36158,37423,38809,38855,37811,37522,35426,36548,36690,36805,
,,,,,,,,,,,,,,,36746
111,",,",",, medium(700gm+)",34144,34778,36799,37997,39163,39123,38174,37829,36804,36790,37127,37224,37163
112,",,",",, small(500gm+)",34109,34477,35947,37248,38217,38756,38026,37781,36410,36474,36710,37253,36784
113,",,",Farm broiler,11177,12239,13062,12974,12784,12262,11990,11424,12137,14127,14067,13882,12677
114,",,",Cock,22443,19998,25744,24513,25729,22313,21157,19552,21778,25079,24614,23887,23067
115,",,",Duck,28620,26643,30190,30240,30263,27119,27630,27595,26300,26607,26631,28719,28046
116,Meat,Cow,50074,51094,51786,52132,52723,52809,53229,52821,52855,53134,53219,52798,52389
117,",,",Goat,70633,71042,71490,71580,72083,72623,73021,72773,72705,72705,72705,71282,72053
118,Egg,Chicken local,1099,1083,1109,1108,1113,1098,1113,1127,1132,1140,1164,1203,1124
119,",,",Farm red,676,677,679,673,676,722,751,759,796,823,831,780,
,,,,,,,,,,,,,,,737
120,",,",Farm white,638,668,692,694,695,781,777,799,853,874,822,770,755
121,",,",duck,1041,1116,1038,1027,1027,1006,1024,1041,1063,1095,1141,1151,1064
122,Fish (Ka):Fresh,Rui local big(5+kg),34167,32607,32036,33750,34550,35917,32900,32619,32913,34153,33714,34092,33618
123,",,","Rui local
(2.5+kg)medium",28152,27306,27359,27304,27303,27796,28510,27848,27994,28387,28322,29003,
,,,,,,,,,,,,,,,27940
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
124,",,","Rui local small
(1.5+kg)",23851,24012,23961,23966,23992,24132,24057,23841,23936,24108,24065,23915,
,,,,,,,,,,,,,,,23986
125,",,","Imported
medium(2.5+kg)",23133,22989,23265,23437,23560,23563,23778,24457,24132,23130,22827,22654,
,,,,,,,,,,,,,,,23410
126,",,",Imported small,19642,19630,19428,19474,19368,19857,19830,19817,20523,19579,20012,20262,19785
127,",,",Katal large,30917,32650,34050,34038,36000,36000,36000,32800,30683,32047,32063,31813,33255
128,",,",medium,27940,27236,27268,27349,27795,27610,28121,28181,27836,27895,27797,27818,27737
129,",,",small,21676,21964,21928,21698,21727,21746,21579,21767,21807,22015,22011,21874,21816
130,Fish (Ka):Live,Mrigel large,19135,19411,18908,18918,18897,19420,19516,19784,18941,18940,19151,18995,19168
131,",,",small,14720,15156,14575,14644,14675,14253,16074,14623,15099,14511,14700,14662,14808
132,",,",Airr large,53656,53813,49563,49563,52650,61938,46583,53361,54508,63240,67000,69667,56295
133,",,",small,36250,38631,38929,38929,38536,40714,41375,41250,43198,43292,44042,46071,40935
134,",,",Boal large,61025,61775,62078,62078,62078,62625,68446,73354,64891,67516,68344,72767,65581
135,",,",Small,39847,43141,35657,35657,35712,37938,38906,38917,47335,46315,46417,43491,40778
136,",,",Chital large,73750,70000,70000,70000,46667,70000,46667,46667,57500,57500,57500,57500,60313
137,",,",Chital small,20492,37500,18150,19867,18119,19833,18150,37500,25250,37500,37500,18450,25693
138,",,",Pangush larges,11362,11447,11501,11395,11323,11372,11443,11529,11379,11493,11473,11463,11432
139,",,",small,9228,9107,9260,9256,9180,9813,9244,9337,9993,9417,9833,9586,9438
140,",,",Hilsha (small/ larges),59518,62336,64896,65410,66945,67612,69681,71284,69037,68332,72106,71954,67426
141,",,",Prawn bagda,62727,62795,62913,62913,63852,65190,65879,67420,66775,67888,69361,66727,65370
142,",,",golda,61350,60054,60186,60193,60366,61185,59507,63875,64728,66838,68550,63828,62555
143,",,",small,40215,40904,40929,40929,40897,42329,42775,44690,46237,46786,46567,45644,43242
144,",,",Koii,15699,15824,17082,17422,17067,15199,14706,14860,16601,16128,16865,16259,16143
145,",,",Magur,59087,55491,56598,56598,51445,51271,54536,51104,49729,47719,48240,45840,52305
146,",,",Shing,39963,40231,39583,39557,39330,39634,38909,38840,38804,38000,37961,36514,38944
147,",,",Silvar curp,12593,12603,12641,12675,12659,12842,13071,12883,12911,13028,13133,13166,12851
148,",,",Grass curp,15762,15970,15906,15977,15894,15897,16088,16128,15660,16122,16277,16291,15998
149,",,",Telapia / Nailotika,11460,11506,11584,11534,11484,11544,11604,11759,11734,11819,11930,12138,11675
150,",,",Rupchada,62375,63208,63208,63208,63208,70850,64750,71250,71250,72500,66719,68100,66719
151,Fish(Kha)Dry,Rupchada,133750,133750,133750,133750,133750,138333,135000,128969,138333,138333,137917,136833,135206
152,",,",Loitta,46653,46801,47011,47011,46989,44620,45102,44917,46796,46898,46764,47225,46399
153,",,",Puti,32475,32625,33875,33875,33633,34180,36250,36250,37250,38125,38125,40500,35597
154,",,",Prawn,70788,70688,67236,67236,67455,61766,60011,49932,63450,62929,67458,68395,64779
155,“,Kachki,43042,43292,42250,42714,42786,42900,43313,42778,43613,43656,43563,43747,43138
156,,Salted Hilsha,80000,80000,58250,58250,58250,80000,67833,77833,68375,69625,59625,69625,68972
157,Betel nut,-,80000,80000,58250,58250,58250,80000,47833,47833,48375,49625,49625,8021,35249
158,"Betel leaves
bangla",Large,9269,10143,10866,10586,10053,9658,9391,8638,7985,7676,7769,5387,
,,,,,,,,,,,,,,,9171
159,",,",Medium,6437,7038,7481,7749,7411,6717,6485,5936,5388,5137,5248,2924,6368
160,",,",Small,3820,4171,4520,4578,3744,3680,3449,3191,3050,2798,2817,2266,3562
161,",,",Sanchi,2250,2833,3343,3417,2617,1938,1865,2481,3695,3274,3258,,2770
162,Fruits:,Mango Guti,-,-,-,-,3746,3125,3020,3300,3750,-,-,,3388
163,,Gopalbhog,-,-,-,-,5708,4451,4075,5781,5275,5500,-,,5132
164,,Himsagor,-,-,-,-,5061,44448,4502,4995,5183,5500,-,,4948
165,,Langra,-,-,-,-,5025,4506,4442,5193,5020,5500,-,,4948
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
166,,Fazli,-,-,-,-,-,3907,4598,5930,6038,-,-,,5118
167,,Aswini,-,-,-,-,-,3960,3456,3710,4711,4533,8000,,4728
168,Jackfruits,Large(4+kg),-,-,-,-,11781,9411,8081,9481,10709,-,-,,9893
169,,Small,-,-,-,-,7656,6669,5347,6401,7623,8000,-,,7283
170,Fruits,Green Coconut,3409,3450,3624,3818,4218,4455,4069,4071,4285,4426,4387,4288,4042
171,,Batabi lebu,1908,-,-,-,-,-,1000,2143,2362,2225,2580,2316,2076
172,,Elachi lebu,365,431,471,529,411,336,309,320,313,315,316,318,369
173,,Kagozi lebu,371,426,452,511,409,323,326,298,294,292,308,329,361
174,",,",Guava,5996,6302,5855,5269,5316,5067,4355,3879,4300,4555,5261,5529,5140
175,",,",Amra,-,-,-,-,-,-,2343,2389,2370,2674,2884,2985,2608
176,",,",Orange,2333,1288,1339,1422,1488,1422,1489,1482,1599,1527,1464,1461,1526
177,",,",Apple,12546,12757,12874,14025,13706,13883,13696,14089,14447,14209,14411,13979,13718
178,",,",Boroi,6892,5761,5181,5077,4438,4417,4639,4375,4375,-,-,4500,4965
179,",,",Water melon (Tormuj),-,-,12145,9492,12113,12223,10360,13033,13033,-,-,-,11771
180,Fruit:,Melon (Bangi),-,-,4889,4958,4595,5108,7917,9000,9000,-,-,-,6495
181,",,",Ripe Papaya,6057,6656,6473,6594,7885,6594,6619,6172,6414,5917,6010,5946,6445
182,",,",Lychee,-,-,-,-,2680,3062,3275,3375,3717,-,-,-,3222
183,",,",Banana: Chapa,241,242,230,243,250,258,251,249,428,250,246,249,261
184,",,",Sabri,403,407,422,419,484,452,447,445,450,453,446,459,441
185,",,",Banana: Sagar,317,325,351,358,374,377,378,383,399,359,355,354,361
186,",,",Paineapple:Calengga,4167,3000,3740,3929,3641,3922,4124,4448,3960,5374,5700,6548,4213
187,",,",Jaldub,4250,-,2233,2546,2523,3000,2735,2902,3250,3438,3250,3375,3046
188,",,",Coconut,4057,4448,4661,4612,4888,4869,4804,4495,4354,4437,4470,4467,4547
189,,Dates,20934,25693,20725,20458,19438,21557,22882,23581,25832,25917,24352,24221,22966
190,",,",Tamarind with seed,8255,17600,10009,10476,8734,8836,8990,9064,9011,10954,10025,10122,10173
190,",,",without seed,11494,11488,12210,12200,12200,12160,12040,11975,9350,10188,14500,13750,11963
192,Vegetable:,Potato: Local,2221,1692,1753,1778,1935,1900,2017,2028,1910,1892,2051,2318,1958
193,",,",Holland White,1927,1463,1297,1345,1338,1496,1616,1638,1518,1520,1763,1960,1573
194,",,",Red,2051,1482,1314,1422,1360,1509,1623,1650,1625,1662,1744,1946,1616
195,Sweet Potato,,2513,2216,2103,2181,1975,1925,1859,2030,2230,1863,2081,2642,2135
196,Vegetable:,Brinjal,2089,1967,2172,3302,2515,3047,3081,3052,3684,3864,4037,2947,2980
197,",,",Patal,3263,4225,4219,3570,3115,2715,2576,2373,2820,2968,3010,2842,3141
198,",,",Chalcumra,2082,1958,2023,2288,2049,1928,1956,1876,1944,1929,2064,2156,2021
199,",,",Pumpkin,2015,1947,1748,1630,1625,1567,1749,1914,2187,2460,2524,2821,1982
200,",,",Lao,1799,1679,1496,1606,1614,1910,1967,1996,2011,2042,2165,2290,1881
201,",,",Uchehhe,4079,5038,3970,3730,3958,4127,4099,3944,3909,4738,4765,4500,4238
202,",,",Karalla,3562,3819,3777,3660,3355,3912,3989,3526,3429,4013,4659,4058,
203,Vegetable:,Green Papaya,1830,1836,1817,2055,2278,2553,2350,1861,1523,1372,1337,1439,
204,",,",Mukhi kachu,3217,3136,3336,3381,4448,3806,3171,2523,2311,2156,2184,2280,
205,",,",Pani kachu,3325,2225,2230,3025,2201,3083,2783,2302,2356,2339,2477,2802,
206,",,",Kachur lati,2897,3233,3762,3755,3394,3230,3095,2750,3053,3214,3230,3195,
207,",,",Kakrol,3653,3292,3328,6543,3922,3667,3068,2702,3008,3408,3634,3550,
208,",,",Lady's Finger,3746,3955,4193,3692,2925,2655,2631,2684,3136,3434,3829,3387,3356
209,",,",Sosha,2554,2414,2627,3017,2738,2946,2876,2424,2930,3111,2505,2315,2705
210,",,",Khirai,2202,2027,2050,2144,2045,2474,2359,2198,2510,2570,2609,2331,2293
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
211,",,",Beans,2278,1952,1999,2294,2249,2090,2016,2642,4704,7169,5454,3307,3179
212,",,",Barbati,3148,3375,3570,3744,3298,3625,3676,3519,4070,4161,4215,3721,3677
213,",,",Tomato Ripe,2717,1852,1330,1683,2031,2846,3970,4837,5308,7334,8161,5085,3929
214,",,",Motorshooti,5501,3971,3576,3593,3620,3943,4022,4055,3906,-,5567,5436,4290
215,",,",Jinga,3008,2783,3228,3780,2990,2865,2674,2664,2922,3101,3213,3063,3024
216,",,",Chichinga,2823,2771,3098,3022,2611,2530,2370,2149,2504,2782,2974,2942,2715
217,",,",Dundol,2665,2496,2675,2695,2204,2465,2205,1984,2333,2359,2453,2434,2414
218,",,",Radish Spinach,1252,1350,924,1790,1083,1360,1567,1333,1871,1872,1907,1566,1490
219,",,",Red Spinach,2014,1672,1643,1763,1701,1906,2071,2150,2137,2276,2307,2018,1971
220,",,",Palongsak,1409,1393,1326,1436,1297,1415,1342,1685,1840,2550,2603,2081,1698
221,",,",Indian Spinach,1561,1614,1592,1555,1463,1460,1465,1474,1520,1523,1627,1542,1533
222,",,",Danta,2460,1756,1568,1566,1469,1426,1462,1604,1788,1790,1756,1891,1711
223,",,",Cauliflower,1445,1095,1109,1092,1032,1121,1322,1098,2764,4996,4200,2798,2006
224,",,",Cabbage,1304,941,829,866,825,976,773,822,1908,3766,3084,2054,1512
225,",,",Oal kopy,1515,1486,1028,1165,1138,1281,1050,1275,-,-,4106,2547,1659
226,",,",Carrot,2696,2174,1827,1984,2020,2620,3523,3830,4732,6961,7688,3967,3668
227,",,",Green Banana,404,431,428,495,433,440,427,383,429,416,499,487,439
228,",,",Radish,947,882,769,951,776,783,1164,1005,2020,2336,2139,1688,1288
229,Bibidh:,Sugar-Local,6038,6100,6269,6689,6363,6415,6484,6765,7237,7471,7455,7383,6722
230,,Sugar-foreign,5995,6048,6199,6258,6273,6263,6284,6449,6782,7079,7172,7316,6510
231,Gur,Sugarcane,6852,6834,6856,6895,7091,7149,6930,6969,7392,7987,7394,7619,7164
232,,Dates,9074,9324,9298,9042,9304,9327,9403,11312,9214,9227,9183,10058,9480
233,Salt,With Iodine,2610,2712,2645,2584,2594,2592,2588,2575,2667,2688,2586,2471,2609
234,",,",Loose,1807,1552,1766,1782,1759,1832,1781,1805,1829,1782,1594,1294,1715
235,Vushi,Mashur,2937,2927,2928,2979,2940,2870,2982,3029,2921,2992,2990,2876,2948
236,",,",Chola,3671,3699,3658,3677,3671,3672,3673,3683,3697,3643,3687,3521,3663
237,",,",Kheshari,3256,3226,3345,3245,3253,3160,3146,3154,3170,3154,3171,2666,3162
238,",,",Wheat,2955,2962,2981,2995,3007,3007,3022,3022,3039,3044,3065,3207,3025
239,",,",Rice kura,1295,1311,1325,1420,1390,1355,1312,1340,1342,1358,1434,1515,1366
240,",,",Lakri cherai Mango,529,529,530,531,529,527,527,529,528,520,529,649,538
