District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
4,Khulna Division,1860,"2990.3
9",2807.39,1628,"1940.5
0","1401.3
7",6061,"6303.5
0","5980.1
5",43515,8244,"7381.5
2"
41,Jamalpur,219,69.00,67,0,0,0,146,182,180,103,182,180
42,Mymensingh,2410,"1052.0
0",1074,1552,0,0,131,2205,2538,2751,2205,2538
43,Netrokona,1,28.00,27,0,0,0,68,42,125,10,42,125
44,Sherpur,5,14.00,14,0,0,0,9,40,482,717,40,482
5,"Mymensingh
Division",2635,"1163.0
0",1182,1552,0,0,354,2469,3325,3581,2469,3325
45,Bogura,180,253.83,441,0,1.69,2.66,981,970.31,"1487.3
4",5195,972,1490
46,Joypurhat,94,75.10,74,0,0,0,283,336.07,162,1467,336.07,162
47,Naogaon,1140,493.13,464,0,0,0,402,401.76,407,3677,401.76,407
48,Natore,150,732.00,687,1729,216,168.70,616,"2048.8
2","1960.3
0",22062,"2264.8
2",2129
49,Chapai Nawabganj,132,325.08,140,0,0,1,338,325.08,332,502,325.08,333
50,Pabna,220,269.38,284,978,0,0,69,"1085.1
0",1105,2766,1085.1,1105
51,Rajshahi,930,677.74,679,34,89.07,87,2502,"2613.9
3",3311,18713,2703,3398
52,Sirajganj,45,30.52,30,0,0,0,393,208.47,168,419,208.47,168
6,Rajshahi Division,2891,"2856.7
8",2799,2741,306.76,259.36,5584,"7989.5
4","8932.6
4",54801,8296.3,9192
53,Dinajpur,430,80.92,80,244,3.20,1,1,947.80,478,430,951,479
54,Gaibandha,140,41.15,34.92,0,0,0,158,138,115.98,209,138,115.98
55,Kurigram,137,36.95,33.29,0,0,0,180,176.24,194.71,327,176.24,194.71
56,Lalmonirhat,133,33.63,34.49,0,0,0,91,49.14,51.44,153,49.14,51.44
57,Nilphamari,115,8.03,42.65,0,0,0,79,80.32,61.98,147,80.32,61.98
58,Panchagar,30,5.54,5.50,0,0,0,17,18.63,18.21,15,18.63,18.21
59,Rangpur,148,38.47,38.14,0,0,0,144,149.40,154.21,380,149.4,154.21
60,Tahkurgaon,50,5.25,57.08,0,0,0,29,30.29,61.60,85,30.29,61.60
7,"Rangpur
Division",1183,249.94,326.07,244,3.20,1,699,"1589.8
2","1136.1
3",1746,"1593.0
2","1137.1
3"
61,Habigonj,46,46.00,38,28,10.09,0,96,33.91,72.82,0,44,72.82
62,Moulvibazar,20,20.00,7.97,0,0,0,24,39.13,38.75,0,39.13,38.75
63,Sunamganj,0,0.00,0,0,0,0,0,0,0,0,0,0
64,Sylhet,254,254.00,266,0,184.44,0,11,759.56,15.10,1,944,15.10
8,Sylhet Division,320,363.41,312.17,0,194.53,0,131,832.6,126.67,1,"1027.1
3",126.67
BANGLADESH,,26099,"23441.
54","21628.
56",7626,"2717.2
0","1963.6
0",27729,"37470.5
1","38245.7
4",35355,"40187.
71","40209.
34"
