"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,Rajshahi Division,515,680,45959,167763,23674,157628,1336,24547,71484,350618,4.90
50,Bandarban,175,228,268,750,74,368,0,0,517,1346,2.60
51,Brahmanbaria,125,181,3899,15433,2765,19829,58,1008,6847,36451,5.32
52,Chandpur,171,248,6372,22835,2872,14831,0,0,9415,37914,4.03
53,Chattogram,6470,9304,12881,45298,1718,10208,80,1030,21149,65840,3.11
54,Cumilla,1445,2053,12548,44577,7480,62464,1081,13637,22554,122731,5.44
55,Cox’s Bazar,238,320,1207,4417,0,0,0,0,1445,4737,3.28
56,Feni,303,352,4094,15449,949,7757,47,751,5393,24309,4.51
57,Khagrachhari,141,201,807,2005,93,515,0,0,1041,2721,2.61
58,Lakshmipur,239,332,6027,21515,1869,9071,0,0,8135,30918,3.80
59,Noakhali,991,1285,11685,43419,434,3823,0,0,13110,48527,3.70
60,Rangamati,52,66,352,885,10,64,0,0,414,1015,2.45
,"Chattogram
Division",10350,14570,60140,216583,18264,128930,1266,16426,90020,376509,4.18
61,Habiganj,1099,1415,2502,8201,1166,7315,110,1185,4877,18116,3.71
62,Moulvibazar,3344,4445,2617,9759,1221,7998,2,27,7184,22229,3.09
63,Sunamganj,450,615,2437,8305,179,1345,4,55,3070,10320,3.36
64,Sylhet,856,1130,3472,10413,1657,8161,17,228,6002,19932,3.32
,Sylhet Division,5749,7605,11028,36678,4223,24819,133,1495,21133,70597,3.34
,GRAND TOTAL,32606,43710,243650,887923,109829,752164,18412,362461,404497,2046258,5.06
