District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden
(M. Tons)",,
24,Manikganj,50,21.76,25.37,1,0,0.00,25,40.80,158.88,26,40.80,158.88
25,Munshiganj,46,14.95,15.56,0,0,0.00,90,93.46,101.93,90,93.46,101.93
26,Narayanganj,59,23.50,16.76,0,0,0.00,185,178.57,163.26,185,178.57,163.26
27,Narsingdi,63,15.60,17.71,0,0,0.00,128,124.29,124.75,128,124.29,124.75
28,Rajbari,38,42.20,43.20,0,0,0.00,26,32.68,37.18,26,32.68,37.18
29,Shariatpur,165,28.20,32.80,16,0,0.00,1,200.50,232.90,17,200.50,232.90
30,Tangail,267,38.89,52.84,0,0,0.00,527,527.09,552.95,527,527.09,552.95
3,Dhaka Division,1186,380.40,380.45,43,0,0.00,1935,2050.80,2379.95,1978,2050.80,2379.95
31,Bagerhat,218,49.45,50.05,0,0,0.00,244,228.38,214.49,244,228.38,214.49
32,Chuadanga,11,4.27,4.22,0,0,0.00,20,20.37,19.10,20,20.37,19.10
33,Jashore,88,29.34,29.34,0,0,0.00,141,141.49,145.48,141,141.49,145.48
34,Jhenaidah,19,21.34,22.61,0,0,0.00,24,25.90,28.56,24,25.90,28.56
35,Khulna,68,34.52,35.01,2,0,0.00,46,75.84,79.95,48,75.84,79.95
36,Kushtia,1,2,2.00,0,0,0.00,2,2,5.00,2,2,5.00
37,Magura,55,16.43,15.59,0,0,0.00,215,212,175.66,215,212,175.66
38,Meherpur,2,4.07,4.06,0,0,0.00,1,1.58,1.66,1,1.58,1.66
39,Narail,19,24.81,28.04,0,0,0.00,19,19.92,21.54,19,19.92,21.54
40,Satkhira,23,38.73,40.39,0,0,0.00,17,19.43,18.31,17,19.43,18.31
4,Khulna Division,503,224.96,231.31,2,0,0.00,729,746.91,709.75,731,746.91,709.75
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
41,Jamalpur,154,99,102.00,0,0,0.00,398,440,460.00,398,440,460.00
42,Mymensingh,414,254,249.00,0,0,0.00,1004,979.45,941.00,1004,979.45,941.00
43,Netrokona,85,46,49.00,0,0,0.00,546,215.78,351.00,546,215.78,351.00
44,Sherpur,112,48,47.59,0,0,0.00,493,246.21,446.00,493,246.21,446.00
5,"Mymensingh
Division",765,447,447.59,0,0,0.00,2441,1881.44,2198.00,2441,1881.44,2198.00
45,Bogura,72,32,32.00,0,0,0.00,212,204,204.00,212,204,204.00
46,Joypurhat,66,19,20.00,0,0,0.00,134,140,132.00,134,140,132.00
47,Naogaon,124,39,45.00,0,0,0.00,331,342,389.00,331,342,389.00
48,Natore,73,30,36.00,0,0,2.42,215,211,249.58,215,211,252.00
49,Chapai Nawabganj,7,4,5.00,0,0,0.00,9,10,10.00,9,10,10.00
50,Pabna,36,9,11.00,0,0,0.00,61,61,78.00,61,61,78.00
51,Rajshahi,58,79.84,82.00,0,0,0.00,277,292.96,296.00,277,292.96,296.00
52,Sirajganj,71,11,11.00,0,0,0.00,178,169,166.00,178,169,166.00
6,Rajshahi Division,506,223.84,242.00,0,0,2.42,1417,1429.96,1524.58,1417,1429.96,1527.00
53,Dinajpur,131,56.84,48.00,0,0,0.00,341,334.39,333.00,341,334.39,333.00
54,Gaibandha,97,30.44,27.92,13,0,0.00,181,125,157.11,194,125,157.11
55,Kurigram,60,23.53,23.91,0,0,0.00,141,141.28,150.10,141,141.28,150.10
56,Lalmonirhat,178,161.88,162.53,0,0,0.00,330,325.63,345.91,330,325.63,345.91
57,Nilphamari,136,44.06,44.05,0,0,0.00,335,345.62,352.74,335,345.62,352.74
58,Panchagar,67,43.96,43.72,0,0,0.00,229,160.47,168.70,229,160.47,168.70
59,Rangpur,77,17.32,17.52,0,0,0.00,199,206.30,222.00,199,206.3,222.00
60,Thakurgaon,58,17.21,18.04,0,0,0.00,437,445.89,241.53,437,445.89,241.53
7,Rangpur Divison,805,395.24,385.69,13,0,0.00,2193,2084.58,1971.09,2206,2084.58,1971.09
61,Habiganj,15,8.69,17.85,0,0,0.00,25,45.60,41.06,25,45.60,41.06
62,Moulvibazar,352,149.78,113.98,0,0,0.00,958,756.91,671.26,958,756.91,671.26
63,Sunamganj,146,83,83.00,0,0,0.00,262,177,179.00,262,177,179.00
64,Sylhet,227,218.42,219.58,50,51.11,53.79,268,232.01,299.38,318,283.12,353.17
8,Sylhet Division,740,459.89,434.41,50,51.11,53.79,1513,1211.52,1190.70,1563,1262.63,1244.49
BANGLADESH,,7062,4198.80,3961.16,145,88.53,93.38,14923,14218.86,14838.19,15068,14307.39,14931.57
