District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
55,Kurigram,79,64,64.69,0,0,0,729,789,707.655,729,789,707.655
56,Lalmonirhat,79,86,83.82,0,0,0,921,917,917.03,921,917,917.03
57,Nilphamari,114,93,99.60,0,0,1.23,1971,2065,1740.19,1971,2065,1741.42
58,Panchagar,132,107,107.51,100,102,109.31,1621,1819,1746.69,1721,1921,1856
59,Rangpur,135,139,138.57,0,0,0,1903,1911,1958,1903,1911,1958
60,Tahkurgaon,461,428,28.03,0,0,0,749,759,765.15,749,759,765.15
7,"Rangpur
Division",1661,1509,1117.38,100,102,110.54,13358,13480,"13430.0
45",13458,13582,"13540.5
85"
61,Habigonj,1368,1038,1025.61,0,0,0,4046,4574,4715.08,4046,4574,4715.08
62,Moulvibazar,176,241,245.13,494,0,0,3041,3318,3526.23,3535,3318,3526.23
63,Sunamganj,175,506,508.00,0,0,0,2733,3078,2095,2733,3078,2095
64,Sylhet,367,328,574.00,92,0,168.6,1409,1516,1177.41,1501,1516,1346.01
8,Sylhet Division,2086,2113,2352.74,586,0,168.6,11229,12486,"11513.7
2",11815,12486,"11682.3
2"
BANGLADESH,,89786,89322,"74028.0
0",33788,34099,"34335.5
8",378085,368753,377633.98,411873,402852,"411969.5
6"
