Commodity,Unit,2019-20,,2020-21,,2021-22,
"08021290-Almonds, shelled",Kg,1399890,218417,2852029,446262,1956610,308616
1205 Rape seed broken or not,Kg,460005254,16468819,444155471,19036812,449398822,32038642
"12075090 Mustard seeds broken
or not",Kg,5894444,265963,18612921,898644,36185799,2377881
"1207 Oil seeds, other",Kg,6338596,428243,19220688,1089547,37702245,2866021
"1208 Flours/meal of other oil
seeds nec",Kg,1844320,119916,1783859,118852,853612,61318
"12091000Beet seed for sowing,
other",Kg,113488,5107,152,676,417,393
"12099100Vegetable seeds for
sowing",Kg,150501920,1722239,1792714,2453135,1301203,2211208
"12099900 Seeds, for sowing
other",Kg,4594232,783490,7462139,1122899,4106313,691510
"1211 Plant & part etc use in
perfumery",Kg,21492892,1440187,27686542,1909089,26040143,1769850
"12119019 Plant & part herb etc
for medicine",Kg,653541,38604,24969,3899,6528,3671
"12119091 Plant & part for
insecticidal etc",Value,75911,7719,167705,18127,200753,21433
"13021900 Vegetable saps &
extract: other",Kg,454870,174500,40430,169273,60758,307106
13023100 Mucilages &thickners:,Kg,19226,12221,20034,10089,17731,6660
"14049091 Vegetable products,",kg,3300,1136,8045,697,-,-
"other, nec degummed or not",kg,-,-,-,-,-,-
"1507 Soyabean oil/ fractions
other",Kg,1274851470,81219126,"141536109
3",111819513,1369191196,169855596
1508 Groundnut oil/fraction,Kg,27239,8880,27832,10515,28750,13777
"15091000 other Olive oil, virgin",Kg,1291023,351517,-,-,864,221
15099000 Olive oil/fraction other,Kg,-,-,1190,294,1175,70
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
1511 Palm oil crude,Kg,2875162968,152879778,"258956137
2",186823760,2602783037,283677394
"151190090 Palm
oil/fractions,other",Kg,2630562661,141073458,"254778399
5",183579571,2555097507,278519916
15131100 Coconut (copra) oil/,Kg,4402436,281702,1247,170,1088799,130052
15131900-fraction other,,663056,92620,985392,139054,1021617,182266
15132100 Palm kernel or,Kg,8657027,811361,9806981,1109249,7458658,1339245
"babassu oil, crude",,-,-,-,-,-,-
15132900 Palm kernel/babasu,Kg,3292005,479455,3481182,508906,4158074,640015
oil/frcton other,,-,-,-,-,-,-
"15132900 Castor oil and its
fraction",Kg,307113,92435,3481182,508906,4158074,640015
"15155000 Sesame oil and its
fraction",Kg,95859,11951,56966,8656,83116,15020
"15162000 Veg fat oil/fraction
hydrogenated",Kg,12688093,1340312,15241059,1753127,14807983,2267739
"15161000 Animal/veg oil fat boil
oxid other",Kg,225381,26593,18300,14360,898778,85998
1520 Glycerol (glycerine) crude,Liter,-,79,5,3,26728,2747
"15211000 Vegetable waxes
refine/colour or not",Kg,52511,18521,114067,33058,84871,29340
"15219000 Beeswax and other
insect waxs",Kg,10465,6524,29937,12341,28706,18589
"17011400 Cane sugar raw not
add flavor/color",M.ton,3424010816,103220692,"401630147
8",125532393,4775043496,185351047
"17011200 Beet sugar raw not
add flavor/color",M.ton,-,1,17,7,76,6
"17019900 Sugar cane/beet
chem pure/solid other",M.ton,12132629,4625887,90749741,3578761,102491505,4983069
"17021900 Sugar: Lactose, solid
form",kg,60060,35960,56972,17432,69190,32279
"17023090 Sugar glucose solid
<20% fructose",Kg,2528848,122970,2919316,165189,4283321,292325
"17026000 Sugar: glucose syrup
<=20% fructose",Kg,8071,893,7659,562,10234,1480
"17024000 Sugar: fructose/syrup
50% + other",Kg,34427,2765,24805,681,12928,591
"17041000 Chewing gum (sugar
coated or not)",Kg,142122,38348,2112,340,-,-
"1805Cocoa powder not added
sugar/sweet",Kg,2177542,316662,2400656,363412,2954562,516637
"1806 Chocolate/food prep contain
coca",Kg,2114264,684510,3194732,971627,4140344,1291244
"19011000 Malt/other prep for
infant/invalid",Kg,8067460,3343204,8769538,3636443,7631647,3009422
"19019011 Malt extract not for retail
sale",Kg,1386887,184201,19827637,3732259,25621374,6083690
"1903 Tapioca subst from potato,
other",Kg,9314848,489516,8365166,444136,11225897,607517
"19053100 Sweet biscuits,waffles &
wafers",Kg,177298,66245,337120,118572,314824,111372
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"2006 Fruit nut fruit peel prsrv by
sugr",Kg,281029,20681,389259,28824,259576,17330
"2007 Jam fruit jelly marma- led
fruit cook",Kg,137312,50454,153615,54400,221802,81839
"20084000 -Pears prep/prsrv /sugar
or not",Kg,1173,386,-,-,215,66
20091100 Orange juice other nec,Liter,40976,7751,41362,7718,164,23
20099000 Mixture of fruit juice,Liter,675382,91177,667095,90802,628202,85043
2102100 Active yeasts,Kg,5420286,861385,5345125,859516,5689303,903100
"21023000 Prepared baking
powders",Kg,481257,65508,496696,64777,461365,61947
"21039090 Sauces and
preparation, other",Kg,2338501,330974,2496136,341499,2795099,379943
"2104 Soup homogenise composite
food prep",Kg,754183,180887,988495,240267,1048003,265324
"2105 Ice cream/Ice cont cocoa or
not",Kg,21438,16048,11485,9852,35202,29975
"2106 Food preparation, other",Kg,12847758,5935568,13798578,7376229,15589884,8533508
"22019000-Water, nec",Liter,244071,17646,134303,9049802,320250,27912
"22021000-Mineral water cont
sugar/sweet/flvr",Liter,177713,16906,17100,14859,388695,40996
2203000-Beer made from malt,Liter,2436406,161694,2161459,113733,703817,95344
22041000-Sparkling wine,Liter,82426,34509,44465,16366,110492,71753
"22042100-Wine other grape must
cont <=2 liter",Liter,73453,26908,13490,7197,23825,10943
"22051000-Vermouth/other wine
cont <=2 liter",Liter,-,16,30,6,-,-
"22060000-Fermented beverage,
other not cider",Liter,-,6,3,1,-,-
"22082000 Ethyl alchol/other spirit
denatured",Liter,19741,19824,581142,238076,25708,31931
22083000-Whiskies,Liter,772811,337034,444510,20034,374293,159781
22084000-Rum and Tafia,Liter,7153,2696,20153,4242,1917,925
"22071000-Undenatured ethyl
alcohol other",Liter,1100512,180972,450111,149899,351374,94386
22090000 Vinegar/substi from,Liter,533605,54541,729302,79478,219800,25811
23040000-Soyabean oil-cake,Kg,375949421,13818860,691087436,26897640,472357031,22097618
"23091000-Preparations use in
animal feed nec",Kg,442648,21685,824688,31351,1301402,52443
"24011000-Tobacco N/stem/strip
flucure virginia",Kg,13982,639,42348,1759,31130,2741
24012000-Tobacco whole/part,Kg,1688507,1015894,1449008,819289,1431379,780036
stem/strip virg,,-,-,-,-,-,-
"31021000-Urea Aqueous solution
or not",Kg,1194802525,31827256,"108849374
1",28691608,1635018532,108210434
31022100-Ammonium sulphate,Kg,22985443,420532,22679818,407682,24884860,572094
3103-Super phosphate fertilizer,Kg,586420430,18683839,571030219,17949551,1148265820,73333714
"31039000-Mineral/chemical
fertilizer nec",Kg,2720,64,23,216,120,33
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
31042000-Potassium chloride,Kg,888149690,17871914,,,1447691425,56534746
310430000-Potassiam sulphate,Kg,9258465,428420,9147902,400136,12560841,665212
"38085000-Malathion,",Kg,-,-,-,-,-,-
"38089110-Insecticides, nec",Kg,16495814,9160799,24249749,13514340,22927975,15325699
"38092010-Fungicides for
agricultural purpose",Kg,--,-,-,-,-,-
3808401-Disinfectants,Kg,-,-,-,-,-,-
"40011000-Nturl rubber latex
vulcan or not",Kg,844347,150607,262364,59833,484010,95523
"40012110 Smoked sheet of natural
rubber",Kg,8533984,1117966,6007600,871590,5502665,947325
"40013000-Balata Gutta-percha
guavule chicle",Kg,19200,3211,57955,12549,12412,3005
"4403-Wood in the rough, other","Cu-
Mtr",262086190,8570176,2152234,132259,251269741,10216330
"45031000-Corks and stoppers,
natural",Kg,-,484,701,77,1200,201
"47020000-Wood pulp chemical
dissolving grade",Kg,-,-,-,-,-,-
"47032100 Wood pulp chem
semiblch/blch coni",Kg,33057020,1877346,33015661,1946316,23752887,2141939
"47032900 Wood pulp chem
semiblch/blch N/coni",Kg,356371,15598793,252850376,11680610,266417425,16399871
"47041100 Wood pulp chem
sulphite blech conifer",Kg,-,-,-,-,-,-
"47072900 Wood pulp chem
sulphite blch N/conifer",Kg,-,-,-,-,-,-
5002-Raw silk (not thrown),Kg,28727,22401,30387,23296,46615,31906
5105-Wool top,Kg,224729,285012,265554,144962,250523,207146
"5201 Cotton American RG(rolled
ginned)",M.ton,1674773607,290565357,"183080190
0",321373435,1840006117,393547485
"84081000 Agri pistonengine
disel/semi-disel",No.,4895,3164073,3842762,2986993193,2588766,1506054
"84089090-Internal piston engine
comp igni other",No,-,78854,143947,163337,140013,226108
84136000 Rotary pumps,No.,9214311,266412,15376816,4675424,10376187,3536910
"84242010-Appliance other
Agri/horticultural",No.,478170,381435,407693,246158,350999,238921
"84248110-Spraying machine used
in Agri",No.,-,277159,-,-,-,-
8432-Ploughs,No.,9417755,3562814,33908715,4469053,28844592,5059222
84322100-Disc harrows,No.,-,2800,1395615,108220,2505,643
"84329000-Parts, Agri horti mchnry
exel tractor",KG,9399107,626048,6370592,485858,4873608,419911
"84361000-Mchnry preparing
animal feed stuff",No.,5268,2401074,4629945,2421124,7947082,4873040
"843621000-Poultry-keep mchnry
incubator broodr",No.,1158,871101,857746,449393,482813,296695
"84362900-Poultry farming
machinery",No.,1149,389664,1561453,456815,3017820,1173107
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"84378010-Machry other for the
working of rice",No.,-,26221,201382,58283,194345,52060
"84379010--Parts nec of mchnry for
rice huller",Kg,2523159,304575,2505853,368003,2692203,405166
"84379090-Parts nec of grain
milling machnry",Kg,1031704,179072,1257751,242317,1201839,310556
"8701-Tractor pedestrian control
Agri, wheel",No.,1028,5456510,1935744,6582791,2242,8190259
