District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
45,Bogura,457983,185336,42.10,3.884,719759,461170,186633,41.83,3.858,720121
46,Joypurhat,169581,68626,44.08,4.066,279023,168643,68249,41.77,3.853,262958
47,Naogaon,458122,185392,47.88,4.416,818693,465879,188539,48.54,4.477,844068
48,Natore,148250,59994,46.68,4.306,258336,148159,59959,46.45,4.285,256899
49,"Chapai
Nawabganj",118339,47889,48.30,4.455,213342,124889,50562,48.41,4.463,225685
50,Pabna,134501,54430,46.82,4.319,235085,134567,54458,44.94,4.145,225720
51,Rajshahi,161465,65341,44.02,4.060,265300,162610,65807,44.57,4.111,270507
52,Sirajganj,347176,140495,45.83,4.228,593982,347326,140561,48.62,4.485,630375
6,"Rajshahi
Division","199541
7",807502,45.43,4.190,3383521,"201324
3",814769,45.73,4.218,3436333
53,Dinajpur,429961,173996,44.35,4.091,711737,425926,172370,44.20,4.076,702653
54,Gaibandha,321264,130008,43.68,4.029,523837,314754,127379,43.55,4.017,511704
55,Kurigram,276736,111989,43.06,3.971,444758,277400,112308,47.69,4.397,493847
56,Lalmonirhat,114112,46179,45.05,4.156,191901,116608,47191,45.42,4.189,197689
57,Nilphamari,204505,82759,47.23,4.356,360529,201724,81637,46.95,4.331,353538
58,Panchagar,77506,31365,41.54,3.832,120184,78848,31909,43.51,4.013,128067
59,Rangpur,326394,132084,48.15,4.441,586599,321878,130262,49.61,4.576,596092
60,Thakurgaon,144862,58622,42.22,3.895,228318,151556,61334,42.47,3.918,240282
7,"Rangpur
Divison","189534
0",767003,44.78,4.130,3167863,"188869
4",764389,45.73,4.218,3223872
61,Habiganj,295677,119654,39.64,3.657,437550,301859,122161,40.97,3.779,461591
62,Moulvibazar,138015,55852,35.16,3.244,181159,140959,57045,43.50,4.012,228871
63,Sunamganj,546442,221133,40.20,3.708,819988,549588,222415,47.51,4.382,974600
64,Sylhet,204408,82719,32.83,3.028,250496,202650,82011,36.72,3.387,277760
8,"Sylhet
Division","118454
2",479358,38.20,3.524,1689194,"119505
6",483633,43.55,4.017,1942823
,Bangladesh,"118291
50","478699
8",45.04,4.154,"1988528
3","118959
62","481456
3",45.46,4.193,"2018594
5"
