District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
5,"Mymensingh
Division","118855
2",480981,42.73,3.941,1895715,"113923
9",461044,41.73,3.849,1774474
45,Bogura,414760,167844,42.21,3.894,653557,414797,167866,41.37,3.816,640543
46,Joypurhat,157209,63619,43.73,4.034,256621,156247,63232,42.09,3.882,245481
47,Naogaon,432269,174930,47.62,4.392,768330.6,430805,174344,48.81,4.502,784905
48,Natore,139575,56483,46.26,4.267,241027.5,139342,56391,46.01,4.244,239310
49,"Chapai
Nawabganj",115975,46933,48.27,4.453,208975,121450,49170,48.39,4.461,219372
50,Pabna,129417,52372,47.09,4.343,227472,129525,52418,45.12,4.162,218147
51,Rajshahi,149861,60645,43.50,4.013,243349,145110,58725,44.10,4.068,238871
52,Sirajganj,309209,125130,46.48,4.287,536454,304097,123066,49.01,4.520,556319
6,"Rajshahi
Division","184827
5",747956,45.45,4.192,3135786,"184137
3",745213,45.73,4.218,3142948
53,Dinajpur,389448,157601,43.61,4.023,634033.7,363263,147011,43.31,3.995,587268
54,Gaibandha,229332,92806,41.87,3.862,358442.9,214524,86817,41.96,3.870,336000
55,Kurigram,176957,71611,41.49,3.827,274052.3,169785,68739,45.59,4.203,288932
56,Lalmonirhat,54297,21973,42.85,3.952,86846.73,49548,20052,41.49,3.827,76736
57,Nilphamari,105613,42739,42.35,3.907,166963.1,94551,38264,41.15,3.796,145232
58,Panchagar,56996,23065,39.66,3.658,84375.49,57595,23308,41.54,3.831,89306
59,Rangpur,207610,84015,42.15,3.888,326651.3,200562,81166,43.59,4.021,326334
60,Thakurgaon,122691,49650,39.92,3.682,182817.6,122868,49724,39.50,3.643,181160
7,"Rangpur
Divison","134294
4",543460,42.18,3.890,2114183,"127269
6",515081,42.75,3.943,2030968
61,Habiganj,186105,75313,38.25,3.528,265715.4,179347,72581,39.44,3.638,264033
62,Moulvibazar,127834,51732,34.97,3.225,166845.9,129463,52393,42.87,3.954,207170
63,Sunamganj,443060,179297,40.19,3.707,664658.5,398740,161368,46.76,4.313,695972
64,Sylhet,166739,67476,33.21,3.063,206688,167589,67822,38.26,3.529,239341
8,"Sylhet
Division",923738,373817,37.82,3.488,1303908,875139,354164,43.06,3.971,1406516
,Bangladesh,"929831
5",3762824,43.80,4.040,15202276,"902755
7",3653623,43.99,4.057,14823141
