District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
25,Munshiganj,93,97,99.92,34,0,13.59,708,600,814.06,742,600,827.65
26,Narayanganj,61,48,43.96,260,165,169.65,1192,861,632.59,1452,1026,802.24
27,Narsingdi,257,293,418.05,3968,4974,4516.17,1095,587,1584.83,5063,5561,6101
28,Rajbari,344,513,543.00,625,2314,2645.20,551,3813,3492.80,1176,6127,6138
29,Shariatpur,1057,98,97.45,71,299,307.53,12,821,911.86,83,1120,1219.39
30,Tangail,378,394,397.45,1198,1547,1683.59,3106,3437.74,3593.79,4304,4984.74,5277.38
3,Dhaka Division,4393,5754,3368.41,13532,15647,"16443.0
7",20002,"33534.7
4","25250.5
9",33534,"49181.7
4","41693.6
6"
31,Bagerhat,54,83,107,0,82,114.98,1044,1352,1253.62,1044,1434,1368.60
32,Chuadanga,141,142,137.06,2630,2548,2532.22,1042,1060,1038.08,3672,3608,3570.30
33,Jashore,874,841,239.94,14480,13326,1712.21,4066,3693,"15631.7
9",18546,17019,"17344.0
0"
34,Jhenaidah,282,489,499.04,7599,2129,2152.96,16063,4220,3949.84,23662,6349,6102.80
35,Khulna,187,171,172.72,435,351,318.86,2866,2223,2214.84,3301,2574,2533.70
36,Kushtia,187,300,29.00,2235,1655,2319.1,6524,3411,5554.9,8759,5066,7874
37,Magura,505,752,297.18,3497,4464,4485.44,293,2176,2237.36,3790,6640,6722.80
38,Meherpur,66,85,100.17,1195,1379,2014.69,421,426,392.31,1616,1805,2407
39,Narail,363,365,365,1609,1606,1612.36,2219,2177,2234.44,3828,3783,3846.80
40,Satkhira,405,341,407.04,1196,1744,1746.27,1754,1310,1079.73,2950,3054,2826
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
4,Khulna Division,3064,3569,2354.15,34876,29284,"19009.0
9",36292,22048,"35586.9
1",71168,51332,"54596.0
0"
41,Jamalpur,605,304,308.00,1540,798,528.48,3194,4506,4866.52,4734,5304,5395
42,Mymensingh,2745,1234,3247.00,819,7522,7642.49,19899,15271,"15572.5
1",20718,22793,23215
43,Netrokona,6,191,174.00,0,106,42.49,1672,3411,3382.51,1672,3517,3425
44,Sherpur,154,217,194.00,96,677,699.15,1391,2182,1542.85,1487,2859,2242
5,"Mymensingh
Division",3510,1946,3923,2455,9103,8912.61,26156,25370,"25364.3
9",28611,34473,34277
45,Bogura,409,436.60,441.00,4291,5232,5299.08,1361,1869,1764.92,5652,7101,7064
46,Joypurhat,77,62.12,74.00,569,928,891.18,729,835,983.82,1298,1763,1875
47,Naogaon,145,142.50,147.00,442,357,455.27,1786,1551,1832.73,2228,1908,2288
48,Natore,340,313.63,280,5094,2513,3725.28,3383,3478,3738.72,8477,5991,7464
49,Chapai Nawabganj,226,244.79,253,1329,1397,1476.14,1690,1763,1889.86,3019,3160,3366
50,Pabna,365,495.81,497,1558,1589,1626.4,5756,5805,5870.30,7314,7394,7496.70
51,Rajshahi,1362,1476,1687,47808,49450,64551,10630,10203,11258,58438,59653,75809
52,Sirajganj,350,297.66,294,436,310,343.98,7246,3643,4187.02,7682,3953,4531
6,Rajshahi Division,3274,3469.11,3673,61527,61776,"78368.3
3",32581,29147,"31525.3
7",94108,90923,"109893.
70"
53,Dinajpur,370,437,416.00,1135,1120,1289.65,2568,2718,2846.35,3703,3838,4136
54,Gaibandha,154,177.46,178.56,687,675,681.56,807,1154,1314.30,1494,1829,1995.86
55,Kurigram,176,184.15,176.93,193,193,159.60,1953,1994,1648.95,2146,2187,1808.55
56,Lalmonirhat,140,168.54,158.05,398,332,338.60,1501,1216,1192.83,1899,1548,1531.43
57,Nilphamari,72,69.42,81.4,100,138,162.44,1855,1880,2452.43,1955,2018,2614.87
58,Panchagar,71,74.71,76.57,195,298,309.13,1629,1436,1441.87,1824,1734,1751
59,Rangpur,234,234.12,234.89,929,973,1055,2410,2468,2621.10,3339,3441,3676.10
60,Thakurgaon,89,91.74,92.28,541,544,564.91,743,749,776.23,1284,1293,1341.14
7,Rangpur Divison,1306,1437.14,1414.68,4178,4273,4560.89,13466,13615,"14294.0
6",17644,17888,"18854.9
5"
61,Habiganj,32,8.58,40.21,87,24,99.60,217,696.68,311.81,304,720.68,411.41
62,Moulvibazar,486,263.19,224.41,0,100.70,100.80,1280,1303.50,1311.50,1280,1404.20,1412.30
63,Sunamganj,74,74,52.90,76,75.64,0,2,1.10,403,78,76.74,403
64,Sylhet,159,278.86,179.00,370,247.69,236.08,938,768.35,879.92,1308,1016.04,1116
8,Sylhet Division,751,624.63,496.52,533,448.03,436.48,2437,2769.63,2906.23,2970,3217.66,3342.71
BANGLADESH,,35107,"26393.1
3","21923.9
4",127362,"130608.
27","137863.
66",161351,"161732.
83","170071.
6",288713,"292341.
10","307935.
26"
